entj
요즘 마니 유해진 느낌
엔티제 안 가튼 엔티제
너넨 남을 개선시키면 보람을 느껴?
혈액형 성격설 믿는게 가장 한심
난 이 새키들이 왜 n인지 이해가 안간다
초면에 웃으면서 살갑게 구는 사람 보면 경계하게 되더라
entj여자랑 대화중인데
너희가 보는 인팁어떰?
MBTI 충들이 한심한 이유
심심한데 엔티제 질문받는다..
혹시 여기 갤러리 망했나요?
E/ISTJ가 엔티제랑 엔팁한테 상극일 수밖에 없는 게
엔팁인데 ESTJ 싫어하는 건 여기랑 비슷하네
빠지는 사람이 딱히 없으니 성정체성에 대해 고민했는데
Estj인데 n이랑 s랑 거의 비등비등함.
entj는 무조건 조장하려구함?
엔티제는 기본적으로 유한 타입이 아님ㅋㅋㅋㅋㅋ
가족 mbti
ENTJ는 참을 인 3번이 맞다
다른 엔티제들은 좀 유하고 너그로운 거 같은데
내주적은
너 자신을 알라
Estj는 주적이다
원인을 찾을 수 없는 우울
니네 공부할 때 효율성을 어떻게 따지는 거?
회사 팀원 엠비티아이 다 알게됨
사람 만날 때 이 사람이 나랑 맞는 사람인가 아닌 사람인가
너네 느낌 쎄한 사람들 구분 잘 하냐?
기초에 충실하자.
그래도 엔티제갤이 담백한 편 아니냐ㅋㅋㅋㅋ
내 상처를 치유하기 위해 타인을 이용하는게 타당한가 
⭐E⭐N⭐T⭐J⭐
Entj랑 1년 사귀면서 느낀점 적어봄 
짝사랑질문
Entj 여자 어케꼬셔요
⭐❤⭐❤⭐뿌쮸뿌쮸⭐❤⭐❤⭐
Mbti의 현실
나도 이거
이정도면 찐entj인가
일출 봤다
INTJ 9w8인데 entj 8번들 부럽더라
entj는 조현병 환자도 많은거냐. 아니면 한명이 분탕질 치는거냐
글 많이올라오나 했네
코끼리의 언어는
^^분배란건 대체 어떻게 해야 하는것인가?
잡담 ㅡ 개인적 피셜. 세상어 제대로 된 Entj천하는 여태껏 없엇다.
모든  ㅌntj들아. **
내가 하는짓이 그냥
엔티제
엔티제  뭐 별거없다
나는 막적어
뭐?? 자기일잘하는 능력있는여자가 이상형이라고??ㅋㅋㅋㅋ
너네가 생각나는 짤이라서 가져와봄
I/Estj랑 안 맞는다는 거 너무 쌉트루
mbti로 연애상담하는 이유
mbti로 연애 상담하는거 이해가 안 감...txt
내가 제일 무너지는 순간은
안녕 ENFJ 인줄 알았던 ENTJ임
entj 사회생활 힘들다ㅋㅋ
너넨 어딨음?
내가 인프피 존나 극혐했을때가
ENTJ 자기애 강하다는 거 맞는 것 같음
다들 왕년에 뭐엿음
istj 진짜 사람 피말리노
내가 좋아하는 사람
엔프제 놀러왔어요♡
부조리학/실존주의에 대해 어떻게 생각해?
엔티제 전남친이랑 짧은 연애 후기(단점)
아빠가 entj인데 입바른 소리를 잘함
엔티제들 알람맞춰놓고 노는거 원래 그런거야?
모든 유형은 N을 S로 바꾸면 더 좋아짐(펌글)
ENTJ들 열등감 잘안느껴?
수직떡락하기싫어서 내가 하는거
내성격좆같다
니네잇프제랑맞냐
씨발 엄마가 f인데
엔티제한테 궁금한 거 있냐?
엔티제갤 둘러본 후기
잇프피랑 엔티제랑 잘 맞나
엔티제는 상위 2% 이내 아니면 걍 매력 수직떡락임ㅋㅋㅋㅋ
나 이 갤 맘에 드는 게 뭐냐면
엔티제 남친과 짧게 사귄 후기2-장점
엔팁인데 술마시고 하니 엔티제 나와써용
엔티제 남친과 짧게 사귄 후기
잇팁이랑 어떠냐 너네
전남친이 잇티제인데 존나 병신같아
isfp인데 썸녀가 entj야
내가 젤 좆같아 하는 유형이 istj임
MBTI 유형별 선호도 조사
나 진짜 인팁동성친구가 너무 좋아 어떡하지
엔티제 남친 왈 엔티제가 빠져드게 되는순간
너넨 에니어그램 머 나옴 
엔티제 과몰입 특징은
엔티제들 특징 보면 소시오페스랑 닮지 않음?
스트레스 푸는 법좀
진짜 엄마때문에 넘 화남
난 spti이거나옴
에고그램 뭐나오니 엔티제들
Istj인 나
 친구따라 점집갓다옴
궁금한데 보여달라해서
ENTJ인데 이거나옴
그낭 갑자기 너무 힘들고 슬프고 감정요동치는데
entj인 내가 높게사는건
ENTJ들아 이상형 뭐야
엔티제들은 어떻게 연애하는걸까
너네 페르소나 뭐쓰냐
엔티제랑 사귀고싶다
엔티제 성격파탄들이라면서
나도 나랑 같은 엔티제 만나구싶당
번아웃 오기 쉬운 nt들을 위한 인지심리 기법 소개
Entj가 나한테 반했대
ㅋㅋㅋ
Intj인데 entj로 바뀐 사람은 무슨 계기로 바뀌었어?
극단적인 엔티제의 예시
베프가 엔티제인데
안냥!
귀여운 엔티제
entj 잘 찡찡대더라
Entj 남자는 귀여운걸 좋아하는듯
Entj는 자기소신 있는 여자를 높게 사는듯 
"누나가 인프제, 동생이 엔티제임"
엔티제 여자 학생인데
엔티제 남자들은 인프피 성격 여자 어때?
잇프피가 물어볼게 있다
너넨 너네 스스로한테 기 안빨리냐
[장문] 내 ENTJ 이야기. 쓸데없이 김 ㅈㅅ
너네도 친해지고 싶거나 좋아하는 사람한테
강아지 키울때 무슨생각함?
카톡 친추에 안친한 사람 몇년씩 뜨면 짜증 안나냐
나만 자존감무새들 짜증나냐
너네 자식이 공부하기 싫다고 하면 강제로 시킬거냐?
엔티제랑 연애하는 잇프제녀 또왔다
엔티제들아 너희도 이래?
엔티제 종특: 말로 사람 죽일 정도로 독설에 특화됐는데
원래 엔티제는 다들 자존감 높고 자존심 좀 있는 편이야?
엔티제가 쫌 재밌지않냨ㅋㅋ
엔티제 존나 사랑해
나는 엔티제인데
엔티제 롤 여챔 추천
ENTJ가 BDSM에 관심이 많다는 통계를 봤습니다
갤이 왜 망했나 했더니
내가본 타유형
ENTJ랑 ESTJ랑 궁합 어떤가요?
난 아무리 생각해도 엔티제 아닌거같음
우와 신기해
엔티제 징징거리는거
Entj는 isfp어떻게 생각해?
엔티제 너무 좋아
엔티제 님들 혼자있을때 외롭다는 생각 해봄?
엔티제랑 엔프제 조합 어때???
워마드에서 가장 많은 유형이라는 그 엔티제
가끔 지가 지 이상에 지쳐서 타협하는 내가 싫음
"난 여유롭고, 감정기복 적은사람 만나고 싶음."
intj가 쓰는 1n년지기 entj친구
본인 인티제인데 엔티제 동경함
엔트제 연애관련 질문(답해주면 오늘 하루 끝내주게 효율적으로 보냄)
"성공해야 하는 이유, 성공하고 싶은 이유가 뭐야?"
좋아하는거랑 사랑하는거 다르다고 느낀적 있나
너네들 중에 부모님한테 돈 붙이는 애들 있냐
내가 좋아하는유형
엔티제들 하나같이 ESTJ 좆같아 하는 거 개웃기네 ㅋㅋㅋ
집 가훈에 대한 잡소리
엔티제 친구 있는데 존나 이기적임
엔티제 상사눈에 들었으면 
ENTJ의 건강한 최종형은 제갈량이다
능력딸리는 엔티제는 김치없는 한국인이다
유형별 맞는친구들
옹 이런 곳도 있네
엔티제 전여친 맘을 모르겠어.
에고그램테스트인증
나는 뒤지게 스트레스 받아도  e->i로만 바뀌더라
어릴때부터 infp인 애들 많냐
새벽흉내
본인 유독 돈에 예민한 엔티제인데
mbti검사 첨 해봄
"f나 s, i보다 이해 안 되는 게 p 유형임"
Infp친구는 성공할 맘 없어보이더라
나는 내가 성취하고 싶은거랑 현실에 안주하는거 사이에서 괴리감을 느껴
모두가 다 성공하고 싶은게 아니란걸 이제 알았어
절대평가가 너무 싫어
으소개팅했는데 괜찮다느낀유형
너네 직업 뭐냐
엔티제들은 꼭 외국 가길 바래
주위에 엔티제 친구보고느낀게
엔티제들 적당히 열심히 살아야 함
근데 엔티제는 자기가 엔티제라는데 자부심 있는거 같네
mbti 할 때마다 엔티제 나오는데 내가 엔티젠 줄 모르겠어
과몰입 개심하노
나 8월초에는 intj였다가 방금 entj나왔어
ENTJ넘조아
ENTJ 너무 멋짐
안녕 며칠전에 글 올렸던 ISFJ남이야. 우울해서 하소연겸 질문하러왔어
entj가 n이냐 ㅋ
ESFP랑은 잘 안맞는것같음
entj랑 사귀는 isfj 여자입니당 +(๑?ᴗ?๑)+
엔티제는 보수적인 환경에서 고개 숙이고 일하는게 싫은거지
내 아가리는 댐과 같지.
혹시 여러분 어몽어스 잘하십니까?
ENTP 놀러왔어 애들아
인프피 여친이랑 결혼 앞둔 엔티제다
엔티제 누나가 자꾸 보고싶은 잇프제 남의 잡소리
도움도움도움도움×1000000((ㄹㅇ망함
내 경험상 infp보다는
MBTI 확 변할 수 있음
잘 맞는 인프피도 있긴 한 것 같음 (장문주의)
안녕 며칠전에 질문글 올린 ISFJ남이야
entj인데 난 답답한 인간이 세상에서 제일 싫음
intj vs entj 둘중 뭐같애?
아무리 생각해도 우리 아빠 entj인것같음
엔티제—♡
이거 내가 꼬인 거냐 너네들도 그러냐
Entj요약
안녕 ISFJ 남자가 ENTJ여자한테 관심생겨서 질문하러왔어
entj들은 초년에 실패 좀 해봐야됨 ㅋㅋㅋ
울엄마 estj 나 entj인데
다들 공부잘함?
Intj entj 번갈아나오는 인싸희망 엔티제인데
그냥 어디가서든지 솔직당당해야지 
infp인데 페르소나로 entj 씀
질문하러 왔음
entj가 istp으로 보일 수가 있음?
entj 짤모음
infj랑 오래 만나는 이유가 뭘까
엔티제 원래 이럼?
infp인데 너네 왤케 매력적임
Entj 사귀고싶단글 봐도
Entp인데 entj랑 큰 차이점이 뭐냐
본인 e랑 I 거의 50 50이고 검사결과할때마다 애매하게 바뀌는데
엔티제는 다이어트 잘해?
엔티제 여친 만나고싶
엔티제 여친 생일 선물 어떻게 할지 추천좀
엔팁 엔티제
내가 겪었던 ENTJ 여자들 특징 txt.
엔티제는 다좋은데 단점이 하나 있음
엔트제는 실연 당하면 오히려 자기 발전으로 레벨업 되곤 하지
이상형 물어보러왔어
레딧 가서 본글
난 인티제인지 엔티제인지 모르겠다
INFP인데 ENTJ만나고싶어요
인티제갤 정치글 너무 많아서 혐오스러운데
entj인 영화 캐릭터 누구 있을까?
INTJ  VS  INTP
무슨 망갤에 코드가 6개나 잇어
entj가 infj 좋아하는 이유가 뭐야
본인 엔티제 오늘 절망적인 날이다
그럼 니들 isfj는 어떰?
ISFP랑 1년 연애후기 부연설명 덧붙인다
엔티제는 인티제의 상위호환버전이라 생각한다
니들 인프피 어떻게 생각하냐?
entj랑 estj랑 리더로써 보통 어떤점이 다름??
여사친 짝녀 어캐 꼬셔야해?
16 Personalities 콘이 출시되었습니다.
P와 J중 P가 압도적똘추이고 T와 F중 F가 압도적똘추이기 때문에
경영학과에 entj 많냐?
mbti갤러리 둘러보는 중인데 infp가 왜캐 싫어하는대상이지??
엔프제보면 어때 애두라?
야 너네는 일하는날 = 데이트 안하는날이냐 ㅠㅠ
능력은 없으면서 노력만 죽어라 하는 엔티제 있음?
나처럼 입체적인 성격 가진 애들 있냐?
entj의 정치 종교 성향은 어떤편일까
또 생각이 많아져서 잠이안오네ㅜㅜ
앳티젠데 앤티제가 되고싶어
ENTJ행성 탐사 보고서
게으른 entj라는것도 존재함?
즉흥여행
Entj 감정적으로 힘들 때 있나?
연애경험 많은 entj들아
entj가 되고싶은 intj 
ISFP 여자랑 1년 연애한 후기
내 직장후배 entj인데 생각했던 이미지랑 달랐음
오늘 INFP랑 대판 싸움
감정이 한번 개입되는순간 너무 힘들지않냐
3번 다 entj다 
나처럼 즉흥-계획적인 얘들 있냐?
entj랑 어떻게 친해짐
엔티제 이상한성격인줄알았는데 실제로 착한애들도 많네;;
야 일주일만에 발전했다
아 ㅅㅂ 뭐만하면 그게되겠냐 하는새끼들 보면 개빡친다
내가 진단해본 내 성격 특징
1등이 버거운 사람 있냐?
소개받은 애가 entj임
나 어제 엔티제뜬 남자인데
현재 INTP인데 궁극적으로 ENTJ가 목표다
너네 원래 자기얘기 별로 안하는편임?
나만 entj인데 entp인 척 살아가나
ENTJ는 태생적 반항아 같음
나 완전 계획적 즉흥성임
estp 여자 어케생각해
16 마이너 갤러리 리스트
Entj들은 보수가 많냐?
엔티제라서 더 안 좋은 것 같아
존나게 힘든데 왜 힘든지 모르겠어
니네 남들에겐 ENTJ처럼 구냐
엠비티아이랑은 관련 없을것 같지만
Entj들어 너넨 열등감 느끼냐?
망상에서 벗어나세요.
MBTI 지표별 긍정적/부정적 면모
신병받아라
"INTJ, ENTJ 둘이서 협력하면 잘되긴 하는데"
"솔직한 글(ENTJ, 여)"
시험이 두 달 남았는데 준비된 게 하나도 없다면 어떻게 할거?
엔티제는 자신감 자기효능감 높아보여 부럽더라
내가 아는 사람 entj인지 좀 봐줄래??
이런갤도 있네
부모님이 isfj인 사람들 부모님 성격 만족함??
ENTJ중에 흙수저도 있음?
엔티제 과거(?)
부모랑 성향이 다르게나올수도 있음?
난 무조건 이기는게 최선은 아님
너네 페르소나 뭐쓰냐
엔티제 되고싶다
Enfj들은 좀 신중한 거 같은데 엔티제는 왜 직진이지
오랜만에 검사해봤는데 ESTJ-A나옴
요즘 효율추구하면서도 제일 비효율인거같음
엔티제들아 너네도 사람안믿음?
엔티제아닐까 싶은 롤 프로 2명
ENTJ인 내가 스스로를 혐오하는 이유
엔티제 남자 좋아
엔티제들아
기술발전에 대한 글에 댓쓰다가 길어져서.
ENTJ 일때를 즐겨라
앞으로의 미래 기술 발전에 대해 어떻게 생각해?
너넨 누가 뒤에서 무시하면 어떻게 행동함?
너무 힘들어서 못 견디겠으면 한달에 1-2일 정돈 쉬어도 되는거지???
엔티제지만 나서는거 딱히 좋아하지않는사람있냐
엔티제인데 엔팁같다는소리들을때있어
25살 entj 나 스스로 성격 평가
본좌 장차 왕이될 인팁이시다
나 엔팁년데
나 인티제인데 인티제 엔티제 연애 어떨 것 같냐
내가 intp유형이거든.....
너이들은 intp들을 어떠캐 생각해
Entj들은 휴식시간에 뭐함?
Entj 여자들은 자기가 고백해서 쟁취함? 
너희들은 감정을 어떤 식으로 여겨?
isfp놀러갔는데
엔티제끼리 연애 어떨 거 같냐
난 estj인데 entj에게 열등감을 느낌
이거 좀 말이 안되지 않냐?
요즘 쉬는 날하는 취미
MBTI  설문 참여해주세요 여러분
개인적으로 안맞았던 유형
엔티제들 너네 엣티제 보면 어떤 생각 드냐
개인적으로 싫어하는 화법
MBTI 특성 주워옴
Entj빙고중에 이거공감되냐? 무슨뜻으로 해석해
너네는 중간이sf인 친구들하고 잘맞음??
나는 f도 f 지만 내향성 강한 f가 제일 피곤해
ENTJ INTJ 차이가 뭐냐
f들이랑 대화가 안 됨
옛날에 나 무시했던 동창 찜질방에서 알바하고 있네
estj 싫다
"안녕하세요, MBTI별 설문조사 하러 나왔습니다."
나 내향성 외향성 거의 반반인데
mbti 유형별 성향표
기부를 한다고?
정기 기부 신청했다가 다음 달에 바로 취소함
기부 살면서 딱한번 했다
너네 기부같은거도 함?
너네 과거의 자기를 돌아볼때 뿌듯하지 않냐
멘탈 안정되어있는편이냐?
나 쉬는 법을 모르겠음
의욕없을때 혼자서 집에서 연설함
본인 동생썰
Entj인데 정신병 약 먹는 사람
너네 명품이 그만한 가치가 있다고 생각하냐?
어장 하루도 안되서 탈출함 ㅋㅋ
오랜만에 갤 와보니 글 많네
고딩인데 고민있음
부모님이랑 사이 안좋은 사람잇냐?
안녕 내 짝남이 ENTJ더라
isfp랑 친구인 사람 있?
엔티제 ㅈㄴ딱딱하고 멋있고 쿨하고 카리스마 넘칠줄 알았는데
entj 갤 흥하네
오아시스 좋아하냐?
엔티제 니네 성공하고있냐?
이거 공감하는사람 진짜 한명도 없는거니 
박원순 죽은거 굉장히 비겁한 짓 아니냐?
너네가 제일 좋아하는 유형 뭐임?
아랫글 보고 느끼는건데 
다들 연락하면서 지내지?
내가 자존감이 너무 높으니까 [일기]
"걍 지듣기에 아니꼬우면 다 ""왜 그런식으로까지 말을 해?"""
나 n인지s인지모름
엔티제가 성욕 4위더라
형들 궁금한게??
엔티제들은 금욜이랑 주말에 뭣들 하고 지내니
entj를 짤 하나로 표현해봄
가르치려 든다는 소리 꽤 들음
우리는 정말 흔치 않아
Infp였는데 entj로 바뀐 사람 윾??
너네 선물로 현금받으면 별로일거같음?
여기 근데 전부다 성격 비슷하긴 한 거 같음
나는 비계획형과는 다른 이유로 약속 잡는 게 싫더라
entj갤은 공감을 얻기 어려움
10년넘게 ENTP였는데 작년부터 ENTJ로 바뀜
이것도 엔티제 특임?
업무상 과실에 대해
나 인팁인데 인팁갤과는 다른 느낌으로 빡쳐있네
개인적으로 성공과 목표에 대해 이럭게 생각함
오늘도 개선된다
엔티제갤 왤케 됐냐?
일이 잘안풀린다
진짜 엣티제 미쳐돌아버리겠네
니들 회사에서 브이로그 찍는 후임 있으면 어떨 거 같냐
비루하지만 오늘 일과(원하는 사람 있길래)
피곤하다..
entj 취준 고시생들 힘내자 ㅜㅜ
일단 하루의 시작이 좋아야함
아버지가 오늘내일 하신다
엔티제는 인팁을 어떻게 봄?
안녕 정반대인 ISFP인데 놀러왔어
밑에 로봇에 감정이입글 보니깐 ENTJ연애궁합 이해됨ㅋㅋ
너희 덕분에
니들 음식 고를 때 얼마나 고민하냐
mbti만화
나 진짜
나 ISFP 고 ENTJ랑 8년넘게 만나는 중인데 조언좀 
난 목적이 없어
인티제든 엔티제든 j들어간 애들 자기관리 잘하는 편임?
원래 념글 저격한건데 일이 커졌네
외동이면 왜캐 사람이 답이 없음?
요즘 부쩍 토론글 늘어난거
entj가 infp이랑 성격 잘맞는 이유가 뭘까?
여기는 정치성향 그럼 일반적으로 보수임?
ENTJ 여행 특징
인국공 사태보면서
전 애인이랑 연락하고 지내는 애 있냐
아 딴데서 퍼왔다 이 짤 보고 어떤생각듦?
인간이란 무엇인가에 대한 고찰
니들도 일하면서 효율적인 아이디어 떠오르냐
요즘 계속 드는 생각인데
ENTJ들아 너네 바람 펴본적 있음?
뭔가 남이 하는 거 못 미더워
여긴 사주풀이를 긍정적으로 보는 놈은 없지?
니들 카톡 연락 집착하는 거 어떻게 생각하냐
코로나 때매 계획 다 틀어지고
성상품화 반대는 뚱땡이들이 제일많이하고
부모님 두분 다 엔티제인데
고졸 노가다 ?
왜 여기서 혼자 등대고 있어
엔붕이들 너무 귀여움
소개팅 선을 아무리봐도 답이 안나온다 ㅋㅋ
있잖아 내가 할 말이 있어 있잖아 내가 너를 좋아해
난 나보다 멋지지 않으면 끌리지 않더라
ENTJ 짝남이 있는데 ㅜ.ㅜ
Entj는 누구랑 젤 잘맞냐?
상담선생님 퇴근하셨냐
엔티제가 가장 힘든게 뭔지알아?
싸우지마 ㅠㅠ 내가 미안하다
ㄹㅇ 내 전 직장 동료 중에 제일 친했던 애가 있거든
ㄹㅇ 주위에 ENTJ 없어서 나만 이런거 싶다
고민거리 생기면 나 자신에게 매일 여러 질문을 하고 답하고 다듬고 반복
확고한 ENTJ인데 창업이 성격상 맞긴한데
zena야
entj인데 순서 정하고 중요한일 아니면 대충하고 사는데 
오늘 한번 필대로 살아보려고 했는데
나같은 사람있냐 ㅋㅋ
오랜만에 왔는데 뭐임
계획적으로 휴식한다는 말에 되게 공감함
회사에서 채용할때 엔티제 좋싫?
휴식에 관하여
인간은 타인이 불행할 때 상대적 행복감을 느끼는 동물이야
서류면접 붙었다
포기하면 편하다고?
니들 바탕화면 분류 잘하네..
이거 풀어줄사람 있냐
나 엔티제 맞는것같냐
사회생활 10년차
너희 엄마가 엣티제이면
"조금 쉬어가도 괜찮아, 포기하면 편해"
엔팁되고 싶다는 인프제야
니네도 이러냐
한번 게이에 대해 토론한 적이 있는데
혹시 가계부 쓰는 엔티제 있냐?
성취욕이라는게 그야말로 자기 만족감임
엔티제갤 활성화 되니 좋구만기래
엔티제는 니체가 말한 사자형 인간 같다
현 고3인데 요새 슬럼프 온거같다 어쩌냐
게으른 엔티제 특
ENTJ들에게 묻는다 성취하고 노력하는 것에 대한 궁금한 점
니네 유형 영향 티끌이라도 받아보자고
번아웃 관련 깔끔하게 해결해줌.
번아웃옴ㅅㅂ
내 대통령 테스트 ㅁㅌㅊ??
계획세우는 법 좀 전수 좀
지코가 entj네?
내 컴퓨터 정리 보여준다
시간단위로 일정이 있는 애들이 있네 ㅋㅋㅋㅋ
님들도이러냐
사회화된 ENTJ
갑자기 계획 관리 니들 어캐하는지 궁금하다 번아웃관리
엔티제라서 왕따드였던사람? 
여기 토론 카테고리 추가하면 안되냐
여기 활성화할려면 정보글이나 동기부여 가능하면 활성화 가능할듯
내가 isfp갤 가서 나눈 대화다 한번 봐봐
니들도 경멸하는거 표정 못 숨겨서 ㅈㄴ 혼나냐
난 어찌보면 소위 극우에 가까움
한국 보수당들은 일단 이름부터 바꿔야 한다
달 보면서 그런 생각 하냐
"니들 최하위 계층, 기초생활 수급자들에 대해 어떻게 생각하냐"
니네 살면서 다른 ENTJ 만나봤냐?
나 잇프핀데 엔티제가 선망의 대상임
니들도 이런 상상 하냐
Entj중에 대깨없지?
팀장이 되서야 알게됐다
내 노력의 원동력은 전 여친임
군대에서 이상한 취급받은애들 개많을듯
군대 선임이 한 얘기 기억나네
ENTJ 갤 악마라는 소리에
isfp갤에서 놀러왔다
근데 우리는 왜 마이너갤러리냥
니들 사실 헛점도 많은데 자존심 세서
마음에 안 든다고 무조건 들이받으면 엔티제가 아님
자신의 무능함을 인지하는 entj..
isfp 갤 놀러가봐라
무능한 entj는 정말 힘들 듯
지랑 친하다고 봐주는거
능동적 사고를 하지 않는 인간은 가축과 같음
엔티제 연애에 대해서 어떻게 생각함?
Isfj는 어떻게 생각함??
여기 비슷비슷한 성격 디게 많네..
니네 ESFJ남자랑 INTJ여자애보면 어떰?
오늘 엔티제답게 한건함
니네는 언제부터 그랫냐
내주변 Entj들 대놓고 잘난척안해도
상 entj특)
안녕하세요~
요새 MBTI 꽂혀서 존나알아보는데
엔디제 장점 분류 맞는 것 같다
엔티제는 좋아하는 사람한테 노빠꾸에 재지도 않는 것 같음
엔티제끼리 사귀먼 어케됨
엔티제의 가장 큰 장점은 분류라고 생각해
여기 전문직 많냐 
엔티제 최대의 적
나 미국 실리콘밸리에서 프로그래머로 일하다가
이 츤데레들
인프피 갤 다녀왔는데
estj도 멋진것 같아
 연애할때 특징
밑에 대통령테스트 결과
확실히 여기만봐도 얼추 비슷하구나싶네
난 내가 entj인게 자랑스러움
10년전에 estp였는데 entj로 바뀜..
인팁갤보다 왔는데.. 게시글보니 mbti가 진짜 맞다 싶네
무슨 학벌이 어떠니 직업이 어떠니
이사왔어
니들 존경하는 대통령이 누구냐?
반년동안 entj 인줄알고 살았는디
계획하고 이행하는 거
내가 원하는 성격 특징들로 선택하니까 entj 나옴
혹시 mbti결과 숨기는 엔티제 있냐
너희들 부모님 재산 받고싶냐
야 ~ entj중에 공부못하는 애들도 잇음??
Entj-t다 또 다른 심리검사ㅋㅋㅋ
엔티제 영화랑 책취향들이 어떻게 되냐 
여기갤러들 집에 돈 얼마나있냐
여기 성비가 어떻게 되냐
밑에 있는 다른 테스트 결과
테스트 결과
엔티제붕이 다른 성격 테스트 결과 올려봄
서울대 entj 입니다.
니네 진짜 리더자리 맡는거 좋아함? 사실 싫지?
너네 인프피나 엔프피 어떻게 생각해??ㅎㅎ
여기 entj랑 intj 중간인 애들 있냐?
니네 학벌 어떻게되냐
뭐 선물받는거 많이 부담스럽냐
직장인 엔티제
ENTJ-A인데 어머니한테 성격 별나단 소리 많이 들음
조별과제할때마다 안빡친적이 없었는데 처음으로 했던 이상적인 팀플
엔티제 정치성향
나는 참 단순하다.
너네 운명은 정해져있는거라 생각하냐 바꿀 수 있다 생각하냐
현타온 엔티제 + 요며칠 여기서 느낀거
entj들아 혹시 너네 주변에 esfp있냐
 E랑 J가 I랑 P와 뭐가 다른지 구체적으로 설명좀 부탁해
타유형인데 그냥 궁금한거 있어서와봄
엠비티아이가 유사과학이라는
entj가 정리정돈하는 이유
학교 맘에 안들어서 신문고에 찔렀는데
ENTJ 경험과 생각
엔티제 애교 많음?
엔티제는 말도 안 되는 상황에
엔티제 집착
너네 실행력은 어떠냐
친한 친구가 entj라서 하는말인데
고딩 전교회장인데
나는 사실
토론 상대 말 경청 안하는 애들 짜증남
난 애국심이 강해
엔티제 돈 제일 많이번다던데
Entj-t 다  소름돋는거 하나
집에 혼자 있으면 혼잣말 많이함
ENTJ 나온 나의 경력 및 성격
내가 entj였다니 ㅡㅡ
아 주변에 entj 한명이라도 있었으면 좋겠다
엔티제 동족혐오 있지않냐?
난 entj랑 intj 딱 중간인거 같은데
내 야망은 세계 최고의 대기업이 되는거다
mbti 또 해 봤는데
너네 주목받는 거 즐기냐?
엔티제들아 인생이 피곤하지 않니
엔티제는 
Entj는 정말 맞지않는 일 빼고는 다 잘하지않냐
Entj 카톡 텀
오늘부터 여긴 인팁이 접수한다
남자친구가 ENTj였는데
난 INFP인데 ENTJ랑 궁합 잘 맞는거 사실임?
인팁입니다..
내 주장 못굽히고 나랑 틀린 의견있으면 무조건 반박하는데
시험이나 평가 좋아하는 사람있음?
너네 갑자기 비현실 적인 일이 눈앞에 닥치면 어떻게 반응할거임?
컨셉 잡는 병도 ENTJ 특징이냐
엔티젠데 만만해 보이는 사람 이야기.txt
솔직히 엔티제는 연인으로는 별로일듯
내남친이 이 유형임
엔티제지만 엔티제 멋있어
mbti 검사로 entj 나왔는데
ENTJ랑 제일 잘 맞는 연애 타입이 뭐냐
엔티제는 융통성이 있는걸까?
엔티제는 절대 모르고 남한테 상처주지 않음
너네 돈 잘버냐?
인티젠데 엔티제 되고싶다
난 이 세상에 나 말고는 다 NPC 인줄 알았음
엔티제 없는 엔티제 갤러리
여기가 인프피랑 최상의 궁합이라는 엔티제갤이오
엔티제사랑해
엔티제는 원래 다른 사람한테 관심이 없나?
너희들이 대한민국 상위 1%안에 들놈들이냐?
ENTJ-A 나왔는데 좋은 거임?
너네 존나 부러워
