istp
Istp가 먼저 장난치고 놀리고 그러는거면
난 내가 반지의 제왕을 보고 판타지물을 ㅈ나 좋아한다고 생각했는데
이런 책 쓰는 거 어케생각함? 
내가 좋아하는 영화들
회사 특성상 n들이 많은데
이런새끼는 어떤새끼냐
개인적으로 정말 싫어하는 영화류 
esfj랑 결혼한다. 
MBTI는 사람이나 환경땜에 바뀌는데 
난 나의 열등한 점을 알기에 자존감이 높다.
와씨 커뮤질하다가 처음으로 밴당했음 
부탁한 거 들어줄 때 상대가 치근덕거리면 어떰?
이거 대박잘맞는다
나는여자안만날꺼임왜냐면
정병일기 쓰는중
estj가 제일 우월한 mbti 아님?
잇투삐두라 귀여웡~❤+
관심이확사라지는경우
안경 새로맞추기 귀찮아서 눈나쁜채로 산다
내가싫어하는여자
관심이 한번에 확 사라질 수 있어?
내이상형
게임에서 입은 왜 터는거야
엣티제 연상 누나랑 사귀고 싶다 ♥
소설아이디어 쓰려다 만건데 평가좀
나 인티제인데 인티제 갤보다 여기가 더 좋음
결국 포탈 다깸
아 실화냐 진짜
이제 폰 뒤집고 공부해야지 후
너넨 요리하는거 좋아하냐
안경끼는 사람들 안경빼면 눈 제대로 떠지냐
이상형 어케됨? 한~두줄 이내로 적어줘
5~6개월동안 걸은 거
"인티제는 잇티제, 인팁보다 잇팁이랑 더 비슷한거 같음"
너네들 문제집 풀고 채점하냐?
내 입시 공부 특
역시 겨울에 안경은 쓸게못된다
인간들은 너무 어렵다
우리집 MBTI
혹시 니들도
너희들은 이럴때 뭐라고 해줌? 
INTP 갤러리 찐자폐아 소굴 ㄹㅇ
나만 비오는 거 좋냐
우리집mbti
난 친한 사람이랑 안친이랑 온도 차이가 너무 심함
정시 망했다
제발 공부하는 법 좀 알려줘
솔직히 윤도영 때문에 수능 망한거 같다 개추
유리멘탈
야 너네도 초딩때 첫사랑 생각나냐?
사람을 좋아해본 적이 없음
인프제갤 눈팅해 봄
내 빡침 포인트
내 빡침 포인트
잇팁갤 화력 어떰
우리 집 mbti
우리 가족 MBTI
이모자어떰
Istp이 좋아하는 사람 생기면
진짜 하기 힘든일
제일 이해 안 가는 게 필찾이라고 뭐라 하는 거
사람을 싫어해본 적이 없음
진짜 사람 빨리 질린다
잇팁 선생은 어떤 느낌일까?
너넨 뭔 책 좋아함?
이제 게임 뭐하지
입갤
Korpiklaani 뭐임?
인생살면서 깨달은 점 하나
나는 학습해서 생긴 잇팁같다
책읽기 요즘 맛들려서 좋다
코로나 망한 듯 
난 내 유형 포함 모든 유형과 담을 짓고 살아가는데
가족의 mbti
INFP갤 보니깐
아 이런건 십프피고 뭐고 정신병이라 봐야되는거지?
방금들은 본인 첫인상
하 틴더에서 왜 인프피만 꼬이냐...
우리집mbti어떰
의외로 속에 여린면 있지 않냐
잇팁이 조용히 손절하는 이유
본인istp 난 누가 처다보는 것도 짜증남
아 ㅅㅂ 진짜 잠 많아진 거 개싫다
당근마켓 ㅁㅌㅊ임?
씹프피 미친년 지가 피해끼친건 생각안하고 화내면 지 기분 상했다고 지랄함
갤럭시노트쓰는데 무거워
18년 애플 삼성 사용비율 
잇팁겔 폰 반반이네
내 빡침 포인트
ISTP의 충격적인 사실....jpg
이거뭐라답할까?ㅃㄹㅃㄹㅃㅃㄹ
Isfp랑 맞냐 너네
이제 그만 잇팁갤을 떠나려고 함
너네는 어떤 때에 화가 잘 나냐?
업소 갈 확률높은 mbti
편지 잘 쓰는 애들 보면 신기함
잇팁을 빡치게 만드는 법 
유형별 말 안하는 이유(내향)
오 나도 드디어 성격변함 
ISTP이 ㄹㅇ 간지나게 사는것같습니다
본인 제일 힘들 때
ISTP 일하다 간섭당하는거
남매 mbti ㅁㅌㅊ?
좌우명 있냐
infp 엄마 ㅈ같은점
바람피는거 진짜 대단한거임
istp가 보수일 수 밖에 없는 이유
잇팁이 가끔식 살기가 싫어질 때는
다들 폰뭐씀??
장거린데 걱정돼
직업 뭐가져야되냐?
점심
회사 씹프피가 나보고 친해질수 없겠단 생각에
가장 친한 애가 estp인데
ISTP가 느끼는 mbti 우월성
estp친구랑은 서로 지 할말만 함 
개념글보는데
혼자살면가장먼저할일
내가 생각하기에 우리는 
연애는 나같은사람 만나고싶다
가족 mbti
잇팁갤에서 가장 이해안가는 새끼들 
잠재력 테스트
코재력 테스트
내 잠테
엄마아빠가 왜그렇게 청소를 좋아했는지 알겠다
잠재력테스트 결과
잠재력 테스트 나이 먹으면
본인 잠재력테스트
관상테스트 말 안되는 이유
학창시절때 받은 고백편지 념글 갈수있냐?
아빠랑 카톡하는데
카톡에 '수능' '화이팅' 치면 신기한거 뜬다
잠재력 테스트 해봐라
혼자살면 진심 매일매일 고민이다 
좆같은 나이똥꼬새끼들 존나많아 시발
부모님이 둘다 씹프피임
부산이라고 다 집에서 바다보이진 않음 
잇팁이 진짜 한말은 꼭 지키는거같음
이젠 하다하다 mbti로 연봉도 나누냐 
까고 보니 인프피ㄷㄷㄷㄷ
예술하는 istp 많냐
잇팁중에 중경외시이상 있냐?
가족 mbti ㅁㅌㅊ?
코로나 때문에 처음으로 빡침 
INTP ISTP 커플인데
겨울이라 그런가 
이거 내가 챙겨줘야돼냐?
ISTP들은 뭐해줘야 좋아함
당연한거 물어보면 존나 빡침
니네연봉얼마냐?
남들 눈치 보는거 싫음
우리아빠가 찐 ISTP인데
INTJ입니다 ISTP행님들은 타인에게 어떤걸 원하시나요?
Istp 개빡치는 상황 특
같이 뭐 정할때 줏대 없는사람 개극혐 
우리가족 나빼고 다 j임
난 군대가 ㅈㄴ싫었음
나 진짜 사회성 없음
istp은 꽤 단순한듯
우리가족 MBTI ㅁㅌㅊ
참을인 세번이면 살인도 면한다
멘탈 갈린다
우리가족 mbti ㅁㅌㅊ
istp는 군대가면 힘들어함?
관상학적으로 분석해주는거 믿는편은 아닌데
가족 명박티아이 ㅁㅌㅊ임
들어본말중에 젤 빡치는말 뭐임??
너희는 INFP어떻게 생각해?
관상에 대해 어케 생각함?
잇팁들 이과 많냐? 
intj 어떰
enfp infp 특징
너희들 꿈이나 목표 있냐 
나만이러냐
호들갑 떠는 거 개꼴보기싫다
ISTP계속 나오다가  ISFP 왔다갔다 하는데
이번엔 잇팁이 나오네
부모님한테 잘해드리지 못하는 거 같음
웹툰같은거 주기적으로 잘챙겨보는 사람있음?
사귈땐 무조건 얼굴보고 만나야함 
다른 유형 될 수 있다면 어떤 유형 되고싶냐 
프라모델에 관심있는 사람 없음?
고백할 거임
너네는 여친이랑 결혼하고싶다는 생각하냐
퍼즐겜은 ㄹㅇ 못하겠다
제일 친한친구 3명이 istj랑 isfj isfp인데
ISTP들은 도박장가면 절대안될것같음
잘맞는사람한테 엠비티아이 뭐나왔냐고 물어보면 거의 대부분 이거드라
자존감 올라가는법
스타듀벨리 샀다 예이
istp녀를 2년 넘게 좋아하는 중이다
게으른거랑 mbti랑 상관있나
게임할때 공략없으면 차라리안함
구체적인 내 성격 정리해 봄
이거나옴
isfp 친구랑 같이 인프피 욕함
mbti 처음해봤는데 평가좀
사람 손절해본 적 있냐? 
난 살면서 좋았던친구 딱 한명밖에 없음
남자인데 성격 완전 여성 같은 애는 뭘까
이거 골때리누 ㅋㅋ 잇팁쎅
인프피죽여버리고싶다
씹프피 섹스.jpg
너네 왜이리 x프피 싫어하냐 난 엔프제가 더 좆같은데
같은 istp끼리 연애해본적있음?
스타듀벨리 혼자 하기 괜찮나
초면인 여자는 너무 대하기 어려움
훈수두는거
저 여자친구 생겼음
여기 istp 전라도 출신 애들 있냐? 
너네 현실에서 친구들이랑 mbti 유형 얘기하냐? 
복수는 약해빠진 사람들의 변명이자 자기합리화다
isfp 친구 앞에서 인프피 욕하다가 손절당함
잇팁이랑 인팁이랑 받침 빼고 비슷해서 햇갈리노
가끔 세상이 다 가짜같다는 생각 안 듦? 
남자친구한테 생일선물로 올라프 스탠드 받았거든
인팁갤 찐자폐아 소굴임 ㅋㅋ
잇바
글쓰려다 지움
인싸갤 어디냐
너네 첫인상 물으면 자주 듣는 말이 뭐임
살려주세요
확통 ㅅㅂ
사람들은 다 나 E로 생각함
못생겨서 자2살하고싶어짐
못샹겨서 죽고싶음
웹툰보다가 주인공 민망하거나 쪽팔리면
이제 겨울인게 체감되는게
치과무서워함?
오바떠는인간 개싫은데 이거보니맘바뀜 
별 되도않는거갖다 공감해달라하니까 좆같지
맨처음 검사했을때 인팁 나왔는데
와 내가 싫어하는 유튜브들 다 infp였네
내가 잇팁갤할때 특징
사랑니 나거나 뽑아본 사람
잇팁의 공감은 공감이 아니라 이해임
여자들아 너넨 서로 감정 확인하고 썸인거 누가봐도 맞으면
뭐만하면 배째라 될대로 되겠지 이런애들 mbti 뭐같음?
계획 짜는건 좋아하는데 실천은 하나도 안하면 
어릴때 악질쉑들있었음
너넨 사교성 좋은 사람들이랑 맞냐?
보면 왕따나 정치질같은거 당해보면
근데 주딱 바뀜?
안녕하세요. 혹시 MBTI가 어떻게 되시나요?
너네 무채색 좋아하냐
istp 남자들아 니들은 옷 어떻게입냐
대나무숲이나 지역 익명페이지나 ㅋㅋㅋㅋㅋ 
대나무숲ㅋㅋㅋ
옷 잘입는건 인프피들이 최곤데
리엑션 존나 못해서 고민이다 진짜
n은 대체로 옷 존나 못입는것같지 않냐 
잇팁이 공감능력 없다고 해도
Istp 공감능력이 없다고하잖아
istp이 일진이 될 수가 있음??
어른들 있는 자리라던가 모르는 사람들 잔뜩 있는 곳
어렸을때 쾌활했는데 성격 바뀐사람 있음?
시발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
쿨찐처럼 보일수도 있는데
학교수업 좆같네
이게뭐냐??????
잇바
ㅎㅇ
잇티제 24프로 
SJ  SP  NF  NT 단점
너네도 불합리한거 잘 못참고 따지는편?
귀여운 잇팁남 가지고 싶다...... 
ㄱ낼저거해봄
주피터 어쩌고 테스트
인팁갤 구경하다 싸우는거 봤는데 웃겨서 가져옴 ㅋㅋㅋ 
잉 뿌삐!!
정식검사 왜이렇게 비싸냐
귀찮은게 너무 심해서
두개다해봄
망갤에 희소식
난 좀 극단적인거 같음
사교모임테슷트
에고그램
연애고자테스트&사교모임테스트
사교모임 성향 테스트 해봤냐?
먹는거 귀찮아서 살 안찌는듯
난 옜날부터 상자모으는거 좋아했음
밑에 연애고자테스트하고왓다
연애고자 테스트
이게 뭐고
나같은 개 아싸있어??
좋아하는 감정이 갑자기 확 식을때 있음?
복수한다
어휴 시발 ㅋㅋㅋㅋㅋ
안녕하세요 짱개입니다
노래 추천
확실히 한국 사회는 t보다는 f정서가 강함
연인은 헤어지면 그냥 남이야
뭔가 어릴 때부터 잇팁이었던 거 같음
자영업이나 요식업 종사하는 게이 있음?
인스타 같은 거 할 때 나도 그렇고 아는 잇팁도 그렇고
개인적으로 isfp 가 제일 호감임
공무원 준비하는 문돌이있음?
나는 손으로 뭐하는거하면
나 왜 istp에서 바꼈냐 
sns 열심히 하는 애들보면 피곤해서 어케하냐 라는 생각든다
너네 카톡친구 몇명임?
갤이 정화된 느낌이 드냐
비율 테스트 해봄
잇팁 애들이 T중에선 가장 착한 듯
본인 관심사의 변천사...jpg
니네 태블릿 쓰냐?
새로운 기능 생겼네
약속시간 늦는 거 존나 싫어
이메일함 정리 어떻게함?
인생 최고로 용기내본 경험 있냐 
잇팁들 약속시간 5분 늦게 도착하는건 국룰이냐?
이상한거에 강박 있는 놈 있음?
니들 자존감 높음??
Istp 는 엔지니어가 천생연분인거 같다 ㄹㅇ
요즘 신기한일 있음
새로운 기능 생겼네
형들 왜케 인프피싫어함ㅠ
아시발 이건 뭐여
내리막에서 아드레날린을 주체하지 못한 결과...jpg
외로워도 연애못하겟는게
병신같은 치킨게임 흔적
집에서 대체 뭐하냐고 안심심하냐고..
공감능력 F라서 높고 T라서 낮고 그런거 아님
남의 일을 내 일처럼 생각하는 공감은 t식 아님?
너네도 자존심 세냐?
도시에서 태어났어야 했는데
공감능력이란게 따로있는게 아니라
이거보고 소름돋름
이런갤도 있었네 심심해서 mbti해보고 왔다 이기
히코코모리
인간관계는 
본인 관심사는 2년주기로 바뀌는듯함
완장 ㅂㅅ
니들 좋아하는애한테 티내냐
내글은 왜삭제당항걸까
명대사
공감능력이 뭔지 모르겠다 
근데 만약 공감해주는 법을 안다고 한들
공감 병신인거 확 느낀적
폰 배경화면 어때
인정?
엔프피 왔오
니들은 싸울때 심기건들리면 반응 어떠냐
니들은 막 싸우면서 의견 관철하냐
나만 이럼?
폰 기종 뭐쓰냐
너넨 얘기할 때 공감 해주는편?
부모님이나 담임 선생님으로 만나게 되면 젤 무서운 mbti 유형 뭐같아?
찐따 얘기 나와서 하는 말인데
와 시발 존나 오글거려 내가 이런말을 하노 십창
우월감은 곧 열등감이다
찐따랑 왕따랑 뭐가다름?
ISTP 왔음
결과 이건 뭐냐
여기 애들은 찐따 혐오가 있네 
인팁이랑 잇팁이 이런 느낌맞냐
ㅅㅂ 너드 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너넨 어떻게함?
연말이네 이제
잇팁 자유로운 영혼이면 전동킥보드어때
난 망상은 습관적으로 거의 하루종일을 하는데 상상력은 부족함
하이틴무비 심테
니들 이상한거에서 완벽 추구하는 경향 있냐
ㅅㅂ 의자설명서있는거 이제알았네
잇팁 여태까지 사회생활
갤좆망? 
주딱아 잇팁갤을 정전시킬 셈이냐?
열려라 참깨라면 개맛있네 
니네 바람 피우고 싶냐
뭐야 주딱 돌아왔네
~~ 어서오고 이 말투 나만 극혐이냐
블프라고 겜할인 많이하네
다음주 수능인데 씨발 진짜 좆같네
디시말고 할게없음
평화롭다
머하지
마갤꿀팁)파딱은 달라는새끼 주는거 아니다
완장님들 화력지원 입금 기다리고 있읍니다
시발 차단 풀자마자 글삭한거
건강식해먹을려고 두부사논거 2달동안깜빡함
자기가 친절한 거에 자부심 갖던 년 손절함.
원래 열사는 사라지는거다
좆되기공부법시작한다
그니까 지 자작짓한걸 내가 잡았다고 나 차단맥인거지?
자고왓더니 한바탕햇엇네
정상 영업함
다시해봄
통상좀 하자했더니 한큐에 개화까지 해버림 
줫같은돌대가리새끼들
갤 지랄났냐
본인쟝은 잇팁맞음
야 갤러리 좀 더 불태워서
완장을 위한 꿀팁
근데 왜 갤불탐 먼일인데
갤 분위기에 대한 생각 말하자면 
저어는 완장들 적극 지지합니다
예아
얘들아 미리 인사할게 내일 다 글 썰려있을것같다
너네 스스로 생각하기에 바람끼 많냐
루리웹 출신 주딱 파딱이 운영하는 국내 최대 istp 게시판에 오신 걸 
갤분위기 ㅆㅅㅌㅊ노 ㅋㅋ
근첩 새끼 박멸좀
무슨상황이노?
야 씨발 소름이네 한국다람쥐 크트 통피 차단 실화냐?
어 나 차단 풀렸네
술먹고 왔더니 갤이 무슨일인진 모르겠으나 
일단 딱 하루만 지켜보고있자
주딱일 안할거면 넘기든가 전 주딱도 있더만;
힘들면 나한테 넘기셈
조까고 빠구리나 한판 뜨자
잇팁인데 잇팁혐오 생겼음
리젠율좋구연
그냥 수능공부해라
그러고보니 주딱 고3아니었음?
씨발 주딱 여자였음?
big5 해봄
급식갤매게이야...
아
야 진짜 그때랑 똑같다고 잇팁갤주때랑
뭔데 왜이렇게됐노
아까부터 크트 통피 차단 ㅈㄴ 박히네 ㅋㅋㅋ
아니 주딱아 근첩 구별 못하냐?
왜 잇팁갤은 중간이 없서
잇팁갤 타유형 금지 푸니까 활발해져서 좋구만
나만의작은잇팁갤이..
주딱 씨발아 ㄹㅇ 이노
너네는 왜 이 세상을 살아가?
병신들아 이거 완장 자작극일걸?
지금 ㄹㅇ istp 쿨찐들도 섞여있네
내일보자 다들
정식검사 인증한사람만 글쓰기하자
난 잇팁 맞음
117.111 통피임?
아니 하루만에 너무 극단적이어진거아니냐고...ㅋㅋㅋㅋ
시발
istp이 esfj랑 estj랑 잘맞냐?
야 완장들아 여기 근첩 네덕 새끼 차단은 안 박냐..
118.39같은 분탕글이나 썰지
야..주딱파딱 왜그래
엔팁갤에서 왔음
여기서 관심받으려고 하는 인프피들 그냥 냅둬 
그러지 말고 infp랑
진짜 신기하네 여기 갤 몇 명은 진지하게
파딱 자리 하나 주실?
머선일이고
 공지 바꿔주십시오
내가 저 밑에 인프피 숙녀분께 실례를 저질러서
니들 하얀늑대라는 옛날 겜만화가 아는 갤러 있냐
와 씨발 지린다 나 infp인데
~에서 왔습니다 ㅅㄲ들아
나 infp임
근데 다른사람 mbti는 왜 궁금해하는거임
우리아빠 아무리봐도 istp같음
아니 아무리그래도
발톱잘라야하
잇프피 똥글싸러왔뜸
인프제갤에서 왔습니다
인티제갤에서 왔습니다
(장문) 30대들에게 연애질문하나 해봄 
마갤 신청 2회째 반려댐
어케하기로했냐?
헬스장고양이좀 이쁘냐?
진지한 사람하면 mbti 유형 어떤게 떠오름?
요즘 과자취향이 늙은이 댓음
스압)잇붕이가 추천해준 마갤마갤 관람 후기
잇팁은 인프피어떰..?
섹스
애초에 초기주딱은 거의 손도 안댔음
진짜 이제부터 공부시작한다
완장한테 추천하는 갤러리
페레스트로이카 소식 듣고 분탕치러 왔습니다
운영 방식
에고그램이머임
흑화하니까 더 괴롭히고싶네
군대 안에서
시발갤좆망했노
내가 과몰입이래ㅋㅋㅋ
남자친구놈 istp인데
그냥 답답해서 마스크 벗고 다닌지 한달된 후기
자자 싸우지 말구
생일날 죽는거 좀 간지남
연예인 같고 긍정적이고 친절하다는 말 많이 들음 
ㄹㅇ 느낀점 쓰는게 세상에서 제일 힘듦
근데 애초에 주딱이 과몰입임
니네는 티비에서 유니세프같은거 보면 무슨생각드냐
원래 istp인데 요즘은 intp이랑 왔다갔다 하
정식검사가 뭐냐
투 두 리스트 이거 되게 유용함
난 이런거보면 이해안됨
잇팁존나싫어 istj되고싶음
정식검사하면 mbti 별거아님
남들이 보는 모습이랑 좀 다를수도 있음
아무것도 안하고싶다
근데 전부터 궁금한게 있는데
아니 누가봐도 나 외로워 힝 ㅜㅜ 이런 애들말고 ㅋㅋㅋ
근데istp안같다 유사잇팁 이러는애들은
야 근데 솔직히 mbti 한 놈들 중에 정식검사 받아본 사람 있긴함?
ISTP 존나 짜냈다 ㅁㅌㅊ
도저히 쓸게 없다
본인 ㅈㄴ 피곤한 성격임?
고닉 필독
현모양처..jpg
에고그렘해봄
근데 타유형 막는거
도대체 왜 레포트를 소감문으로 하는거야
근데 주딱은 뭐 돈받고 하는거냐
너네들은 에고그램 뭐 나왔냐?
나어제 아보카도 먹어봄
의자 빨리왔음좋겠다
여긴 잇팁갤아님ㅇ자유주의를 표방하는 잇팁이 180석 못따라해서 안달이네
뭐야 갤분위기 씹창났네?
어제 남자 코스프레 게2야 고맙다
결국 그래서 타유형 몰아가기랑 글삭 한다는거냐?
관리자 봐다오 
잇팁중에 진심으로 운동 좋아하는애들 있냐
떡밥 무엇
이제 끝난 같아서 대충 정리해봄 
지금 갤 분위기 씹창 났는데
잇팁 존나 어이없는걸로 울기도하냐?
걍 냅두는게답인거같다
갤 분위기 환기좀 하자 
천하제일 잇팁대회냐;;
노점상 보면
잇팁스럽다는 기준 만드는거부터
대학친구못사귀겠노
카테고리라고해야되나 그거 만들어서 관리하던가
타유형을 막는다는걸 최우선으로 함을 전제로 생각해보면
손가락 비율  테스트?
정확한 기준이 필요하긴 한듯
여기 개념글에 infp 글은 왜 이렇게 많음? 
istp 나오긴 했는데 개애매함
난 남자긴 한데
잇팁여자들은 외모취향 어떰??
화가 나있으면 이걸 숨기려안하고 나 화났다고 분위기냄
잇팁은 진짜 존나얼빠인듯
타유형의 글쓰기를 금지함
퀸스 갬빗 재밌음?
공감능력은 딸려도
이런 갤러리 있는거 첨알았는데
난왜 isfp istp랑 섞인거같지
밑에 급발진 보고 생각났는데
여기 애들 존나 띠껍게 말하네라고 생각했는데
니들도 틱틱거리는거 가끔씩 자제 안되냐?
군바리 잇팁 심심해서 글싼다
슬프다
직장인 밸런스 게임 뭐 선택할거임?
시발 무슨 말만 해도 짜르네
병원 노쇼했는데 ㅈ된거?
난 찡찡거리진 않는데
코로나 확진자랑 같은 그릇에 밥먹었다
istp 결과 좀 바줘
열심히란 말 나만 싫음? 
근데 이런거쓰면 별로임
머 할일 기한까지 미루는게 잇팁 특징임?
사람들이 말 잘거냐?
념글 infp보고 소름돋음
사회실험<<영상 보는 이유가 뭐임?
지친다
여기 애들 왤케 날서고 불만충인 애들이 많냐
여기서 말하는 씹프피가 머임?
나만 사귀는거보다 썸이좋음??
배민 특징
족같음
하이 유입등장
가끔 타인에게 내가 바라는 것
잇팁용 이모티콘
속보) 잼민킹 ISTP
축구가 싫음
일요일시험인데 아직 공부시작안함
아니 친구끼리 기념일을 왜 세냐? 
요즘엔 그냥 살기 귀찮다
Esfp 갤러리 키워드 개웃기네 ㅋㅋㅋㅋㅋ
난 온라인게임에서도 좆목 못하는데 정상이냐?
갤러리 별 키워드 누가 또 분석 안해주나
오늘 글 리젠수 머선129
아 진짜 좀 친절해졌으면 좋겠다
원래도 istp라 성격 안좋아보이는데 재수하느라 더 씹창난듯
에니어 왜 이러지
난 개인적으로 가장 비슷한 타유형이
여자 잇팁은 isfp같이 행동하게 되는 거 있지 않냐
여자 istp는 어떤 느낌임?
근데 니들도 물건 자주 잃어버리냐
점빼본잇팁들아
저새끼 탈갤한다 해놓고 안한다 백퍼ㅋㅋ
뼈 제대로 때려주셈
나는 내 isfj친구가 너무 좋음
mbti 유형별 현실에서 친했던 사람수랑 내가 느낀 점 
잇팁에 부심같은거 있는 애들 왜그러냐?
가만보면 잇팁갤에 있으란 잇팁은 없고
만두콘 평소에도 쓰고싶음
걍 재수끝나고 애들이랑 술이나 퍼마시고 싶다
아 요즘 먹을 거 존나 땡겨서 뒤질 거 같음
결정 잘내리냐 너희들
니들 이성 좋아해본적 있냐?
감정의심하는 거
istp 힘들면 무기력감이랑 귀찮음 쎄게 온다는거 ㄹㅇ 같다
왜이렇게 빈말을 못하지
"퍼즐,레고 존나 좋아"
자기객관화 ㅈㄴ 잘돼서 좆같을때도 있음
istj로 나오는데 스스로 절대 아닌거 같다고 느끼면
내 자신이 너무 싫다
우울하다는게 정확히 어떤 느낌임?
귀여움이나 측은함 느끼는것도 감정의 종류라 볼수있냐?
감정기능이 열등이라고 확실히 느낀게
와씨발 념글 찐프피한테 당하는 이유 ㄹㅇ 소름돋네
여기 항상 화나있는것도 씨발 나랑 비슷하긴 하네ㅋㅋ
드디어 깨달았다
좆됐다 수능 D-8이네
너네는 우울한거를 느낌?
집 분위기 어떨거같아
내 주변에 잇팁 한명 있는데
근데 씹피프들 ㄹㅇ남잘따라하는것맞는듯
인성 고치고싶음
고구마 먹고 사이다 마신 일
외롭고힘들때 보통머함?
잇팁절대아닌거 같은데 잇팁인 주변인있으면
너네 성격 따라하려는 사람 있었음?
진짜 보석십자수같은건 어떻게 하는거냐
스스로 공주라 칭하는 여자 istp 존재할 가능성 몇 퍼센트 ?
이해 안 가는 거 
타유형 몰이하지 말라고
버러지 취급 당하는거 존나 짜증난다
사랑이란걸 해보고싶다
나 istp 1번 intp 2번 나왔는데
mbti신빙성없어도 좋음
신입 잇팁받아라!
근데 이렇게 대답하는 사람들 은근 많네
다들 아침은 어캐 해결해? 
여기 애들 진심 수준낮다 ㅉㅉ 
여긴 항상 똑같내
휴대폰 수리하는 건 어디가서 배우면 되냐?
4회차 기사 준비하는 사람 있냐
손절 해본적 한번도 없음
난 의외로 INTJ랑 ISTJ 새끼들이 좆같던데
너네 외모관리도 귀찮음??
게이 어떻게 생각하냐
istp이 estp이 될수 있을까
마피아 게임
너네 이거 어떻게 생각함?
너네에니어머나옴
intp<< 인식어떰
글씨 좀 잘쓰고싶다
mbti 성적지향 비율
성비 이거 구라인듯
