isfj
ISJ는 ㄹㅇ 살면서절대바뀔일없겠네
수험생들에게
꽃테스트 히비스커스 ㅋㅋㅋㅋ
남자+isfj는 아싸맞냐
isfj이긴 한데
너희는 표정같은거 못 숨기는 편이야?
너네 이상형이 정말 인권의식 높은 사람이냐?
아니 나 모쏠인데 번호따였는데
잇프제들아 너희 카톡할때 상대방이
isfj는 사업하면 어때??
나만 옷 고를때 이러나
잇프제남이랑사귀게됐는데
꽃검사 도라지꽃인사람ㅋㅋ
오랜만에 왓슴
코로나 세대 20학번이 쓰는 대학생활
그냥 뒤져버리거 싶다 ㅋㅋ
나 나중에 죽으면 어떻게 될 까 궁금하긴 해
잇프제 연락문제는 심플하더라고
ISFJ를 유혹하는 특별한 방법 (장문)
하고나서 후회 / 안하면 안후회
친구 필요없음 가족밖에 없음
부모님이 싫은건 아닌데..... 본가만 오면 불편해진다ㅠㅠ ㅋㅋ
가끔 n이 되고싶어
질척대는거 싫어하는 사람
ISFJ 친구들아 미안한데 나 고민있어 도와줘!!
ㄹㅇ 이타적인성격은아닌거같은데
연애고민 좀 도와줘!!
으엉...
연애 그다지 관심없는 사람
나만의 에너지 채우는 방법
잇프제인 개인적인 나의 특징들 ㅎㅎㅎ
Isfj남 사물함에 빼빼로데이때 몰래 선물주면 부담스러워할거임?
Isfj 남 짝사랑 중인데 어떻게 다가가는게 좋음?
잇프제 본인 입대함...ㅜㅜ
근데 진짜 외향성 내향성은 절대 안바뀌는것같다
동물테스트해봄
잇프제인데 너무 외로운 사람들 있음?
성격 예민한데
최적의 고백 타이밍..?
"잇프제가 아싸중에 인싸, 인싸중에 아싸라는데 공감?"
잇프제녀가 친구라는 단어 많이 쓰는데
잇프제 남자옴
노래방 가면 나만 그래?
오랜만에 MBTI검사했는데 역시 isfj 나왔네.
손절
나 진짜 타갤가서 상처받았어 ㅠㅠ
다들 친해지고 싶은 친구 있을 때 어떻게 해
계속 받기만 하는 거 같아서.. 하
MBTI 검사 처음 해봤는데 내가 있을 곳이 여기래
인팁인데 isfj 남친이 본인 고민거리를 말을 안한다
남편이랑 말싸움했어
ㅎㅇㅎㅇ
사람 만나고나서 가장 필요한것..
잇프제 여자들은 어느정도 친해졌을때 고백받는게 좋냐?
잇프제랑 인프피는 많이 다른가?
잇프제들 먼저 잘 표현이나 스킨십 안한다그러는데
사람사는거 다 비슷하네
나 가끔 들어오는데 갤 분위기가
내주변에 isfj 특징
Isfp녀가 본 isfj
잇프제녀들은 어떻게 고백 받는 게 좋음
잇프제들은 아무거나 상관없다고 하는거가툼..!
isfj 여자한테 용건 없는 선톡 보내봤는데...
여기가 그 사기캐들만 모인 잇프제 갤러리인가여?
동물 테스트
친구들이랑 롤 5인큐할때 잇프제 특
꽃테스트 거베라는 성향이 뭐야?
화난다
빅이슈 취지가 좋아서 한번쯤 구매해보고 싶었는데
잇프제들은 순한거가툼..!
갠적으로 생리한다고 짜증내는 사람 이해안가
현실적이지만 이상을 쫓고 있어
너네 맞춤법 틀리는 친구한테 지적해?
잇프제랑 있으면 보호받는 느낌이야
울엄마 잇프제 울아빠 엔프제
계획
(재업) MBTI 여자친구
대체 갤 단톡방을 왜만듬??
호구테스트했어..
이제 남 눈치 안보려고 노력하게
너네 이별 힘들지 않음?
s인 사람들 길 안잃음? 소설책 주인공 이름 생각 안남?
꽃 테스트 에리카는 어느 성향쪽이야?
isfj 나무위키 왤캐 정확함
단톡방 다 좋은데 놀아줘 만나자 이런거 안했으면 좋겠음
뒷북이지만 난 꽃 이거나옴..
속얘길 안하는게 종특이야?
isfj가 눈치 빠른건 맞는데
코수술 할지 말지 고민이다..
Isfj애들 눈치 빠르다고했자나
난 꽃 요거나왔다
잇프제 소개 받은 적 있는데 
난 진짜 살면서 시간약속은 다 지켰는데
얘들아 난 너희들의 취미가 궁금해
내 짝남 잇프젠데
잇프제들아 너네 너무 좋아
INFP인데 10년지기 ISFJ 친구있음
왜 하필 슈퍼인싸랑 궁합이 ㅅㅌㅊ임ㅋㅋㅋㅋ
친구들이나 아는 사람들이랑 연락하는거
꽃테스트 나는 작약나왔는데
다시해도 ISFJ네
꽃테스트 거베라
"ISFJ, 히비스커스인데 세무사 잘맞음?"
너희들 혹시 디씨할땐ㅈㄴ 지랄맞게 갤질하는데
방금 해본 mbti 테스트
응애 나 씹덕 잇프제
갤에 물소가 있네
꽃테스트 소름돋게 히비스커스 나옴
오늘 꽃 테스트 해봤는데
친구가 갑자기 밖에 나와서 걷자고하네
잇프제 스킨쉽 특징
향수 테스트도 해보세여
잇프제들은 좋아하는사람한테
잇프제 꽃테스트 하니까 잇프제 성향이랑 비슷하게 나옴ㄷ
이상형 머야 다들
잇프제남자 만나고싶다
isfj중에서도 자존감높은 사람이 진짜 최고라고 생각하는데
처음 만난 사람들이랑 대화할때 잠깐 사운드 비면
꽃 테스트
꽃테스트 ㅋㅋ
남친이 잇프제인데
잇프제가 내 꿈 꿨다고 그러는데 
ㅊ ㄱㄱ ㅎㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ
아시발또꿈
히비스커스나와서
포기하니까 편하당
너희는 카톡 답장 오랫동안 안 오면 어떤 기분이야
첫인상얘기들을때 항상 차가울거같은데 지내보면 안그렇다
너네가 봤을땐 꽃테스트 이런사람 어떰?
엔팁이 싫은 이유가 뭐야?
꽃 테스트 진짜네ㅋㅋㅋ
잇프제 연예인
요새 주말마다 나가서 놀고 평일에도 자주나가다가 오랜만에 집돌하는데
나 엣프제? 엣프피처럼 나옴
이건 istj쪽인가...?
이건 잇프피인가..
이것도 ISFJ인가
잇프제 특ㅋㅋㅋ)
나 istj인데
님들 꽃 테스트 해보세요
아 여기 정든다 ㅋㅋ
찐친 MBTI 시켜본 결과
옆동네 잇프피 꽃테스트 히비스커스나와서 놀러옴
2021 대학수학능력시험 MBTI 탐구 영역 ISFJ 과목
손만 잡아도 설레는 연애 하고싶음
지친다 (긴글주의)
이거 왜 욕먹는지 모르겠어
만나던 애 때문에 미치겠는데 어디 하소연할 데도 없고 ㅠ
잇프제는 장교가 적성에 맞을까??
힘들당
ㄹㅇ 연애에대해서 놀란점
이거해봐봐 ㅋㅋㅋㅋ 뭐나와 ㅋㅋㅋ???
벌써 주말이야
친형이랑 더럽게 안맞는다고 생각했는데
내 실수 때문에 식탁 엎었다....
잇프제들아 너네 이런 경우 친구들한테 얘기해?
잇프제는 일 vs 연애 어느쪽이야?
내 연애성격 개노답인줄 알았는데
잇프제 너무 귀여워
나만 친구한테 섭섭함 자주느낌?
나만 새벽되면 심심함?
나만 밤에 잠 잘 못잠?
잇프제남이랑 썸?타는 거 같은데 고민있다
너네 정색 빨아본적 있어?
난 infp고 전남친 isfj였는데
여기 말하는거만 보면 잇프제들 죄다 호감있는 여자가 널렸을거 같은데
아 진짜 공부하기싫다..ㅠ
잇프제들은 엔프피 어떻게 생각해?
불안 애착유형
26살에 대학교 1학년이면 노답이지..?
편한 친구 사이인데 싸는 얘기 하면 가망없냐?
이거 ISFJ로 봐도 되는건가
친구 손절할까 고민중이다
나 존나 게으른데 ISFJ 맞나?
isfj남자들 너무 매너남 착한남 컨셉잡더라
님들 카톡같은거 막 보내고 답장없으면
너네 편지좋아해??
나랑 여친이랑 둘다 isfj인데
유형 그만 생각하고
잇프제한테 빼빼로 줬는데
잇프제 연락 중요시한다면서 내 썸녀는 왜이럼
다른유형에 비해 얼굴크게안따지는거같음
너네 어느것에 가장 트라우마 찐하게 남을것같음?
아 모고 꼴받네
연락에 개 쌉 집착하는 잇프제도 있는듯
이거 왠지 내 얘기인거 같아
내 가치를 알아주는 사람
얘 살 가망 있어보임?
isfp isfj 차이점 뭐라고 생각함?
너희 직업 뭐야?
얼마나 스트레스 받으면 세달째 생리를 안하지 ㅋㅋ
INFP가 본 ISFJ
확진자 300명대로 늘었났네...
ISFJ 남자인데 직업도 간호사임
와우 나 잇프제인거 좀 전에 알았는데
수능준비 하느라 친구들이랑 말 별로 안함
내방법참고)잇프제랑 잘되기 별로 어렵진 않았어!
난 istj일까 isfj일까
사람이 댓글을 쓰면
진짜 너무고민ㅇ야....
나는 잇프제인가 엣프제인가
ㅃ.오늘 학교 끝나고 친구들이랑 커피 마셨어요
글젠 늘려줘
하아 ㅅㅂ
잇프제가 나한테 편하게 말걸면
나는 안정형인데
내향적인게 상대에 따라 바꿔기도 하나봐요??
가족 엠비티아이 ㅁㅌㅊ?
어장관리한다는 오해 받아본적있어?
짝남이 잇프제인데 쌍방호감인건지 나만 좋아하는건지 모르겠다
안녕
ㅋㅋ 사랑이란게 이런건가?
분신님들 난 지금 어떤 상황일까
공격보다는 방어에 끌려
킹무위키 타고 왔는데 골때리네
잇프제 기본적으로 해바라기 아님? 
여긴...잇프제 연애상담소같아 ㅋㅋㅋ
mbti검사 맨처음했을때 ISFJ나온 게이 입갤한다
잇프제 짝남한테 다가갈건데
내 주변사람들 다 잇프제인듯
잇프제는 너무 수동적인듯
INFJ로 변해가는 게 느껴짐...
난 영원히 혼자 살아야 할듯
잇피제친구들 너가 좋아하는 사람이 너한테
ISFJ 인사드립니다.
2년 사귄 잇프제 남친 후기
에니어그램 어디서하는지 알려준친구 꼬마어
처음 인사 드립니다. ISFJ 입니다.
얘들아 에니어그램 여기서 뭘해야 날개까지 알수있는거야?
잇프제는 원래 선톡안하냐...
개인적으로 싫어하는 타입
잇프제 연애에 대해 생각하는 개인적 고찰은
잇프제 남자가 호감 표현하는거에서 더 바라지 마라
잇프제 ❤ 잇프제 
혜민스놈같은 애들보면 그냥 악하게 등쳐먹고사는게 답인가 싶기도
잇프제 직장생활
나 mbti 하니까 이거 나오던데 나같은 사람 있냐??
"독립,자취"
다른 사람들을 보면 꼭 해주고 싶은 이야기가 있는데
잇프제애 내마음에서 내보내기로 했어
잇프제들 왜 톡 안해???
esfp어떰?
애착유형관련해서 자책하는 잇프제들 있는거같은데
나 잇프제남인데 어장관련말이야
잇프제남 어장관리 안함?
여중여고
불안형은 괜찮은데
애착 유형 테스트 해봤는데 불안형 나왔네
헤어짐 극복어케하죠
요즘 너무 힘들고 우울하다...
잇프제남 때문에 고민이 많아..
여기 잇프제들 애착 유형이 어떻게 돼?
잇프제 괴롭히는 최고의 방법 하나 알려드림...
귀여운 잇프제들아 궁금한 거 있으니 들어오거라
잇프제 급발진해서 한 번 당황시키면 두 번 다시 친해지긴 어려움?
저 여기 있어도 되나요?
잇프제는 돌직구 던지면 도망가냐?
잇프제녀랑 요즘 얘기하는데  질문 좀 할게
안녕!
30살 순시생 자살마렵네
얘들아 우리 엄마가 ISFJ여서 물어보는데
나는 당연히 사랑하는사람이 생겨서 연애하는줄 알았는데
f인지 t인지 모르겠음
엔팁 어떻게 생각함?
체크리스트 좋아하는사람
너넨 정없다는 소리 종종 듣냐
잇프제 예스맨의 최후
너네 사주 믿니?
외롭고 슬픈데 절대 겉으로는 티 안내기
의지박약인거 잇프제 특징이었냐??
짝남한테 mbti 유형 물어보는거 좀 그런가
나는 시나 자기계발서가 왜이렇게 싫지
이거 진짜라고!? T와 F 칭찬방법
istp랑 사귀는 사람있음??
간만에 돌려봐도 isfj
최근에 코론바 스타일 노래 꽂혀서
잇프제 약간 중독이 잘되는 성격이니?
아니 잇프제들아 너네들 입장좀 말하라고
마음이 뒤숭숭할때 노래만한게 없는거같다
잇프피 잇프제의 썸은 누가 힘듬?
t 성향 더 강하다고 생각한 계기
잇프제들 직업 궁금해
난 지금의 인간관계가 서러워.
infp가 본 isfj 여친
난 잇프제 남자임
하 고민좀 들어줘... 의미없는 감정소모가 너무 싫다
나 좋아한다고 말해줘
나 너무 헷갈려 잇프제들아 제발 도와줘 ㅠㅠ
밑에 댓글 봤는데 mbti 이제 인기없어?
내면이랑 겉이랑 달라서 현타옴
다들 짝남/짝녀 mbti는 어떻게 아는거야
자책하는 잇프제 있어?
가끔 드는 생각이
INFJ가 되어보고 싶다
잇프제 특징)
 이갤 있는지 첨알았는데
isfj-a 내 성격
태생 ISFJ인 나의 성격.TxT
잇프제 특
길에서 담배피고 꽁초버리는 사람들보고
잇프제 a랑 t랑 구별하는 테스트라도 잇어??
Mbti는 선천적일까 후천적일까?!
연애에 도전하는 잇프제남의 내면은 혼돈의 폭풍임
나이가 먹을수록 인간관계에 미련이 없어져서
Isfj-t들은 타인으로 인한 부정적인 감정을 입 밖으로 꺼냈을때 
잇프제를 댕댕이로 비유하면 리트리버임
에니어그램 날개는 어떻게 보는거야?
이거 내가 다가가야 하는 거야?
잇프제들 짝사랑할때
힐끔힐끔 쳐다보는거 잇프제 특이야?
Isfj끼리의 썸이나 연애는 어때?
ISFJ남자들 하소연 많이 보이네..
istj에서 isfj로 넘어옴 
ISFJ 남자들은 어딜가야만나...?
에니어그램 검사해보신분?
"""잇프제"""
나 너한테 줄 선물있는데
오늘 페페로쉐 초콜릿 받음ㅎㅎ
isfj 남자를 쟁취하러 왔다
부모님 결혼기념일 선물 추천좀해줘
별로 안친한 애한테 연락오면 어때
연애는 그른것 같다ㅠㅠ
잇프제한테 다가가는 법 좀 
너희 말싸움 잘함?
과거에 내 자신을 아끼지 않고 사랑하지 않은게 너무 후회가 됌
잇프제 남자분들 썸붕된 경험 많아요? 확신 없으면 마음 접어요?
난 isfp인데 isfj되고싶어
ISFJ남자 어떻게 연애할까
[번역] ISFJ-A와 ISFJ-T의 차이
너네 게임에서 정치당하면 어때
너무 답답해ㅠ
유형검사 하고 나무위키 보다가
뒷담할때 동조하는 편이야..?
난 잇프제 남자가 좋아
밑에 취향글보고 생각났는데 찍먹vs부먹
잇프제의 짝사랑 국룰 힐끗힐끗 처다보기
좋은건 좋다고 말하는데 싫은건 대답안함
헤어지고 관련된거 전부 버림?
잇프제들아 너희 인스타 할 때
은근 잇프제 자기취향 확고함
너한테 톡 하나만 오면 좋겠다
선섹후사 절대 불가?
나 데려갈거 아니면 잇프제남 좋다구 하지말아줘
최근에 ESTJ 친구랑 노래방갔는데
잇프제 갤러리보면서 잇프제좋아짐
힘든일 겪고 t성향 압도적으로 높아짐
아니 카톡 선물하기 서버터졌네
응애 나 아기 잇프제 빼빼로 받고싶어
ISFJ들 새로운 맛 과자같은 거 먹어보는거 좋아함??
우린 참오래만났는데..
잇프제들은 좋은 엄마가 될거같음
이게 뭐야
isfj 누나 있는 사람이 많더라
날 키워주는 여자가 좋아
잇프제 애인 좋아 자랑할거야
8기능 어떻게 해석하는건지 모르겠다ㅋㄱ
오지랖부리는 사람들
나는 enfp esfp랑 잘 안맞음...
생일선물로 오르골 어때..?
얘드라
잇프제 남자들 아트박스 좋아해?
내가 좋아하는 음악
잇프제랑 가장 쿵짝맞는 타입 뭐임?
나도 f55 t45 나오는데.. 아래글 충격임
보닌특징)t/f반반임
영어버전 해보셈
혹시 자기분석하는거 좋아하는 사람?
너무 지독하게 연애 한번 하니까
난 느긋할때는 계획에 맞춰서 하는데
친구들이 자꾸 만만하게 봐 ㅠㅠ
'안쓰럽다'는 감정을 느끼는게 너무 싫어
평소에
혼자 서점가는 거 좋아하는 잇프제있어?
잇프제 남자 비율
잇프제로써 아주 만족스런 하루였다
머릿속에 isfj애가 가득해
너희 시 좋아하니?
부담스러워 하는 것 같은 잇프제는 거리둬주는게 맞아?
관심받고 싶은데 주목받긴싫은 잇프제는 오늘도...
빼박인듯
8기능 테스트 해보셈
잇프제들은 카톡에 1을 남겨두지않지ㅋㅋ
Isfj 갤러리 신기해서 타 MBTI갤 가봤는데...
잇프제가 누구좋아하면 인간나무위키된다는데
잇프제인데 T랑F랑 거의비슷한사람?
isfj가 실제로 간호사들 중에 제일 많다더라
잇프제들아 궁금한게있어
잇프제들 성격이
안녕 너희들의 도움이 필요해
mbti 과학적인거임?
잇프제들아
나만 이래???
말주변
애들이 맨날 나한테 신기해하던데
양심고백
거절하는거잘해?
연애할 때 이런 거 해주면 좋다! 하는 거 있어?
isfj 여자애한테 고백했는데
내 성격 쓰레기인거같음
isfj랑 isfp의 차이
님들도 부탁하는거 잘못함??
나 눈치 빨라서 여친 바람 피우는거 바로 알아차렸었음
난 좋아하면 표현 안 하진 않고
나 isfp인데   isfj들 솔직히
되게 무계획적인데 왜 ISFJ로 뜨지 생각했었는데
내가 많이 사랑했지만 나를 상처받게 했던 너의 모습들
취준생인데
월급 많이준다고해도 책임자 되라고하면 못할거같은편
나만 선톡 자주 하나??
너넨 친구한테 먼저 만나자고 말 잘해?
isfp인데 너네가 좋다
ISFJ 남자 교대생입니다....
enfp인데 너희들이 좋다
나 잇프제인데 나만 이런 성향인가?
취미가 뭐야?
표현을 못하니까 떠나가는듯
어차피 똑같은놈들밖에 없으면서 자꾸 잇프제특징 이러는거야?
'나' 특징
"무뚝뚝한 첫인상을 고치고싶어,,,"
칭찬을 안좋게 받아들이는건 
잇프제가 이제 나한테 관심이 없는 거 같아
ISFJ인 내 대표적인 특성.
친구들은 에니어 뭐 나와??
혹시 리마인더 쓰는 잇프제 없어?
친한 친구들이 자길 보고 두려움을 느낀다는 사람 있어?
isfj들 너무 귀여워
사람이 한번이라도 흐트러지면 다시 돌아가기 어렵더라
이미 지난 기억들은 사라졌지만
잇프제들아 무슨 음악 좋아해?
남자 잇프제로 살기 힘들다
별거아닌 '나' 특징
이 글 ㅈㄴ 신기하다
으앗
왜 잇프제남자 만나고싶다면서 나 안데려가는거야
와 어떡하지
어 맨 앞자리가 바뀐 갤럼도 있나
야붕이 오늘 처음 mbti 검사해봄..jpg
Isfj가 좋은 isfp
사랑한다는게 참 좋은듯
서비스직 isfj 있니?
나 약간 웃긴 경험 있음 ㅋㅋ
여기댓글보면 수동적이고 소심하다고 적어놓는애들잇는데
얘들아 너네는 서로 좋아했다가
계획에 따라 잘 움직인다(X) 계획을 잘 생각한다(O)
나 j 기능 궁금한거 있음
아무리 생각해도 j는 아닌거같아서... 다시 해봤는데
ISFJ인데 말을 직설적으로 하는 갤럼 없냐
미대선 실시간 개표 영상 보니까 꿀잼이당
요즘 너무 행복하다
귀한 잇프제 남자들아 너넨 어떤 여자 좋아해?
니네 무슨 대화 주제 젤 좋아하냐?
님들 잇프피어떰?
잇프제도 SJ긴 하더라 ㅋㅋㅋㅋㅋㅋ
잇프제 남자들은 이런경우에 헤어지는걸 선택해?
너넨 읽씹 vs 안읽씹 뭐가 더 싫음?
게으른완벽주의자에서 게으른 빼고싶어..
잇프제가 원래 섹드립 안좋아해?
너무 중간이야
토론같은거 ㄹㅇ못하겠음ㅋㅋㅋ
오잉?? 남자한테 귀엽다 하는건 칭찬 아니야??
응애 나 아기잇프제
너네 카톡 칼답 잘함?
울엄마가 isfj나왔는데 봐줘
님들 mbti 3개나 나왓는대이거정상인가여 ㅇㅅ?
일단 난 엔프제이고 그사람은 잇프제야 
헤어지고 시간 좀 지난 뒤에 재회해본 적 있는 잇프제도 있어?
잇프제 남자들아ㅠㅠ
Mbti 이상하네
sf성향이 강한 친구가 있는데
카톡 최대 난제 (도와주세요)
놀자....
근데 은근히 자기주장강하지않음??? 나만그런가
mbti isfj나와서 왔는데 소름이다..
잇프제와 제일 비슷한 유형이 뭐임?
잇프제 남자들 투표해봐
여자들아 귀여운 남자 어떰
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
오늘 동아리에서 자그마한 할로윈 이벤트 해봤다 ㅋㅋㅋㅋ
entp갤 가봤는데ㅋㅋㅋㅋ
친구 문제 고민
우리아빠 isfj인데 여기 다 우리아빠같은 사람들만 있네 ㅋㅋㅋㅋ
내가 무조건 놓아주어야 하는 상황
Isfj-A하고 isfj-T하고 뭐가 달라?
우와 안녕 얘들아
난 항상 보고싶으면 내가 찾아가
ㄴ ㅓ 무 외롭고힘든데아무나친구하실분있나여?????????
니들은 esfp랑 놀면서 일탈을 좀 배워야함 
요즘 이노래에 꼿혔어
요즘 코알라올리는 잇프제 안보이네ㅠ
Isfj 여친 담배끊게 해주는 방법 좀 가르쳐줘
잇프제 남자 맘을 잘 모르겠음
아휴 20학번 신입생인데 대학생활 못해보고 군대가네
나 istp라
다들 건강 조심해!
잇프제 남친 존나 귀여운데 이게 특징이냐?
아는얘중에 여자 잇프제는 있는데
카톡만큼은 잇프제들하고만 하고 싶다
난 너네들 보면 유해지더라
기억나는말중에 젤 감동적이었던 말
좀 고민 되네요
잇프제라는걸 다시한번 깨닫게 되네
isfj 성격인지 평소에 사과를 잘 못하겠어
다음주에 코로나 또 늘겠네
불편한사람한테는 말걸기
아따 반갑노ㅋㅋㅋㅋㅋㅋㅋㅋ
자기 감정 터놓기 어렵다는 글 되게 많네
누구 차본적 있어?
차라리 여자였으면 더 편했을텐데
다른사람이 관심갖고
ㄴ ㅓ 무 외롭고힘든데아무나친구하실분있나여?????????
안녕~~~난
잇프제녀가 자기얘기 술술  털어놓는 경우
isfj는 원래 자기 이야기 잘 안 해?
어제밤에 찍은 보름달 사진.jpg
놀자구~~~
잇프제 3대언어...txt
잇프제녀들아 데이트 어디로 가는 게 좋니??
entp어떰?
ㄴ ㅓ 무 외롭고힘든데아무나친구하실분있나여?????????
나 잇프피남인데 잇프제녀 만나는 거 어때??
너희는 고백받으면
관심가는 사람이 ISFJ 라는데 
이거 너무 공감된다ㅋㅋㅋㅋㅋ
"지금 20,30대 isfj 특"
"(푸념글) 팀플, 발표하기 싫다..."
mbti 알고 내 성격에 대해 알고나니까 진짜 좋아진듯
isfj는 관심이나 호감이 빨리 사그라드는 편이야?
디씨애 이렇게 건전한 곳이 있는건 처음보는데
니들은 좋아하는사람한테 티내거나 적극적으로 못감??
나만 그런가? 내가 친구들 불러서 놀 때
만나자 심심해 놀자
여기 대체 무슨 갤러리야?
좋아하는 사람 앞에서
잇프제 성향 거르고
날춥다
우리 회사에 항상 5분씩 늦는 직원이 있어
isfj인데 상황에 따라서는 esfj 되는 사람?
좋은 순으로 나열하기 
너네 예민하다는 말 많이 들어?
enfp만 만나면 왜 할말이 없을까
잇프제 다들 종교가 뭐야??
속마음을 말하지 않는 이유가 뭐지
왜 내 자신을 털어내는게 안될까
잇프제의 애정표현
이거 나만 이런거야?
인프피여 잇프제남 어떨까
잇프제 사귈때 연락 엄청 많이해요 ?
잇프제 남자들아 나 좀 도와주라 ㅠㅠ
이런사람 있음?
isfj 찐따유형이냐??
술자리는 어려워
다들 너무 힘들게만 살지 맙시다.
너희 연애할때
사회생활 스킬이 부족한 건지
istp이 보는 isfj
극과 극은 통한다고
누가 나한테 훈계하면 그게 그렇게 싫더라
도와줘....
요즘 뭔가 t 성향이 늘어나고 있는 기분임
가장 대하기 싫은사람
친해지고픈 사람 유형
J : P = 51:49인 isfj야
기획력이 꽝이야
❤☣⭐✅♿♋사랑해❤☣⭐✅♿♋❤☣⭐✅♿♋사랑해❤☣⭐✅♿♋❤☣⭐✅♿♋사랑해❤
Isfj인데 욕달고 사는사람 있음?
님들 혹시 이런거 있음???
난 내친구 때문에 ISFJ에 혼동이 옴
총대매기는 싫은데 뒤에서 보조하면서 많은 권한을 쓰고 싶음
isfj 남자들 질문 여자볼때 외모 많이 보니?
MBTI 유형별 선호도 조사
잇프제들이 칭찬을 받아도 자존감이 높지않은 이유
isfj들은 친구나 연인에 대해 판단을 하는 편이야? 안 하는 편이야?
너희는 좋아하는 사람있어?
크리스마스에 영화 보러 가자고 하면
잇프제 남자들에게 궁금해
ISTJ랑 ISFJ
너네들 sbti해봄??
착하다는 말을 많이 듣는데
아니 착하다는 칭찬이 싫으면
