isfp
나 틀딱인가
매니저 부재중인데 이렇게 청정한 갤러리 처음봄
너네 플레이리스트에 몇개저장되어있음?
지듣노
내가 좋아하는 노래인데 들어줄래?
본인은 쓰레기랑 연애하는 사람들을 보면서 깊은 고민에 빠졌다
이노래들어줘ㅠㅠ
20대 중반 넘어가니까 성욕이없어지는거같다..
잇프피남 연애사 얘기해보려니
엥...?
잇프피 여자 연애사 정리함
내가만난 isfp남 특징
이상형 밸런스 게임
Isfp들 노무커여운데 상처받아서 맴아프노
N수 잇붕이 서러워..
진짜 나도 ISFP지만 진짜 개짜증나네
아싸 집에혼자임
당연하게 생각하는 이성이 극혐임 
Isfp 여자를 만나면서 느낀 점
난 좀 만만한 이미지인데
단둘이 있을때는 쉽게 말걸수있는데 단체로 있으면 쭈굴이됨..
잇붕이한테 12월 너무 가혹해
건어물마냥 방에 널부러져있지말라는말이 확 와닿네
귀찮음 극복이 애정의 척도?
연애를 하고 싶어서 한다는 말이
휴.. 일 쉰지도 10개월째다
Isfp-t 남친이랑 연애중이에요
한국은 남의 세계에 관심이 너무 많아
infp 나왔다가 다시 해봣는데 isfp 나왔노
님들아 저 재수 망했어요
이제는 확실해
수공예 취미인 갤러 있어?
ENFJ 가 ISFP 썸녀를 만나게 되었어요
언제나 걱정만하는 사람 있어?
칭찬 많이 해주는사람은 어때?
현활 어케끄냐
베이킹 취미인 사람 있어?
평화주의인 전쟁광있니
용건도 없는데 연락하는사람들 신기함
솔직히 화난 상태에서 사과하면 안 받아준적 없음
잇붕이 재수망했다..
좋은 하루되세영
후 대체 너네 성격 진짜 미지근한 아아같아 
TMI)종교 안 믿게 된 이유.ssul?
ISFP는 착한척하고 속은 이기적이다는 말
너희 종교가 뭐야?
너희는 좌우명있음?
아 ㅅㅂ 나재수해......
너네 선물로 식물 받으면 어떨 것 같음?
나도 할로윈 코스프레 같은거 해보고 싶음. 
웹툰띵작적고가
나는 질투가 너무 많은데 나만 이러냐..?
아 공부하기 존나 싫어
읽씹 기준이 뭐임??
내 삶을 계속 이끌어주는 원동력
궁금해서 질문. 착하다 대신 어떤 말이 나음? 
말편하게하세요~!
요즘 무례한 사람들이 많은것같음
연애질믄 좀 할래. 너희들 infj 나 infp 랑 잘 맞는거같아? 
잇붕이...시험 일정 잘못봄..
발표 좋아하는 잇프피 있니??
이갤에 제일 마음에 드네 
잇붕이 수능봤다ㅋㅋ
잇프피 성격상 갑자기 뿅타고 그러진 않잖아?
잇프피인데 지인들이 나 E로 많이 알고 있었음
나 다꾸하려고 스티커 엄청 샀는데 예쁜쓰레기됨
너희들 청소하는거 좋아하냐 
너희들 나의아저씨본적있어? 혹은 아이유때문에보거나
잇프피 도망가게 하는 법 알려줌
읽씹=꺼져 ㅅ발 안읽씹=소중한 존재이기에 신중을 기하는중
안사귀는데 파트너로 지내는건 어떨까
여친 못보는거 너무 서럽다
연락하는 여자애가 잇프피거든? 
후.. 잇프피 남자 꼬시는법 알려줌 진짜 ㅈㄴ 쉬움
잇붕이들인기많노
isfp 공시준비 스터디 도움될까?
잇프피 꼬시는 법 알려줘
전여친 한테 너무 미안해
너네 신년 기념 다이어리쓰는거 신기록몇일이냐?
극 J와 일 하면 좀 피곤해
여자가 용기내서 좋아하는 티 내볼만한 행동 뭐있을까
다이어리말고도 공책 쓸때
니들도 관심없는 이야기에 집중안됨?
난 군대에서 일기 다썼는데
나는 진짜 갈등이 싫은데 우리엄마는 이해를 못함ㅠ
원슈타인 isfp일거같음
시발 갤보고 다이어리 생각나서봤더니
다이어리 포기하게 되는 과정
잇붕이 다이어리샀다
유형별 말 안하는 이유(내향)
아 미래설계하기가 넘 힘들다
mbti별 절대하지 않을 행동
잇붕이 수능 끝낫어
너네 셋이걸을때 가운데 서본적있냐?
ISFP 남자의 유튜브 시청시간 jpg.
따끈따끈한 수능 후기
유일하게 볼링치는게 취미인데 코로나때메 못가네..
머야 우리엄마도 잇프피 나옴
난 내가 존나한심하고 장점도없다고 생각하지만
인프피와 잇프피의 결정적인 차이는 뭘까
MBTI 검사가 신빙성이 겁나 높은 이유
엔프제남인데 궁금한게 또 있어
잇붕이들아
남자들아 너네는
나 금붕어새낀듯
너네 질투 심해?
"NTR,공포 장르는 도저히 못보겠음"
어제 면접보는데 뭘 가장 따지고 중요시하게 생각하냐 그래서
직장동료가 나 자존감 낮은사람 취급해..
걱정이 너무 많은거 같아
사람들이 이 유형 인간들을 너무 오해하는것 같다.
ISFP 정치성향 좌파 vs 우파 어디가 많을까?
나도 주위사람들한테 관심 많음
관상테스트~_~
되게 작은 변화도 쉽게 눈치챔
이 성격유형은 연륜이 좀 들어야 장점이 나오는것 같음
너희도 사람에 대한 기억력이 안좋니?
잇붕이 치과치료받다가 턱빠졌다
오늘 수능 보시는 분들 다들 잘하구 오세요
좀 덜친한친구중에 츤데레 하나가있는데
전체적으로 완벽한 관상
근데 연애 해봤다는 사람들은 대체 뭘 한거임?
아 오늘이 수능인데 잠이 안온다 ㅜㅜ
잘 못보도 잘 못들음
학창시절때받은 고백편지 념글 갈수있냐?
관찰하는거 좋아하는 잇프피들아 !!
너네 왕따 당해본적 있어..?
관상테스트 남자로 했는데 남편얘기를 왜해
이성애자 남자의 관상테스트
한소희는요
와 옾챗에 영어 첨삭해달라했더니 다 너무 잘알려줘서 감동받음
관상 테스트 이상해
관상테스트 오류났다
관상테스트 세번했는디 세번 다 같은 결과 나옴
국내 김수현 강민경 송중기 안소희 갤러리
나도 관상테스트해봄
엔프제남인데 궁금한거 있어
관상테스크 해봐따
낼 원래 있던 대면수업 취소됐어ㅎㅎ
잇픕남한테 선톡옴 ㅎㅋ
나도 관상테스트 해봤다
인공지능 이새끼 뭘 쫌 아네 ㅋ
관상테스트 해봤음
내 인생 두 번째 수능이야
나 isfp인데 여친한테 mbti물어보니까
야 나 영단어좀 외우라해줘
잇프남 이상형
너넨 우울하면 뭐해?
아 엄마한테 담배 걸림
isfp 공대 다닐수 있나?
나는 평생 연애 못할듯;;
mbti 이거 신뢰성 있냐?
너희 사관학교 지망했거나 지망한 사람 있음?
가족 mbti는 원래 닮는건가?
너네는 폰 어떤거써?
isfp인데 istp 뜨길래 istp성향어떤가 갤러리들여다봤더니
가족 MBTI (추측)
우리동네 영희좀 보고가셈
Isfp남 사랑할때
우린 개인주의지 이기주의가 아니야
공부 개졎같은거
벌컥벌컥
혼자 있는게 편할때가 많다
니들도 망상 많이 하냐?
죽기전에 꼭 봐야한다! 싶은 드라마있어?
잇붕이 내일수능
mbti 이거 하기전에는 혈액형같이 못믿었었는데
다른 갤은 어떤지 궁금해서 EXXX갤러리 가봤는데 분위기 다르닼ㅋㅋ
대한민국 고딩 체험하러온 악마라고 생각하면 공부재밌음
난 개인주의 성헝이라고는 듣는데 연인과의 연락만큼은 칼같음
난 겨울만 되면 연애세포 미칠라 그러는데..
아 겨울냄새 너무 좋다
부지런하게
나 같은 잇프피 있냐
집밖에 나가기 귀찮어
나 남코하는데 어떡하지
잇붕이답지 않게 오늘 부지런하게 하루 시작함
요며칠전 환장시퀀스
잇프피랑 싸우면 어케해야돼?
isfp가 연애를 귀찮아 하는 이유
연애가 귀찮냐 이 배부른 놈들아
니네도 연애가 귀찮음?
요즘 악취미
이상한 습관때문에 고민임
인생의 낙이 없음 다 재미없어ㅋㅋ
Isfp랑 데이트할 때 뭐 할지 추천좀
잇프피갤러리 너무 편안하다
연애고수인듯 ㄷㄷ
Isfp들에게 물어볼꺼잇음
지금 수면제먹고 몽롱한 상태인데
난 ㄹㅇ 자랑안함
잇프피 오빠와 잇팁 동생의 카톡
인방 볼때가 제일 행복해
코로나 어느정도 많이 풀리면 동물원가고 싶어
전여친이랑 전화할때 기억남는거
응애나아기잇붕이
난 용건없으면 먼저 선톡 잘 안하는 것 같애
그리고 또 본인쟝은 전화 엄청 싫어함
상대방이 칼답안해주는건 딱 하나밖에없는거같다..
개인적으로 카톡은 일부러 안읽씹하는거 아니면
보닌썸탈때답느리다고
잇프피 썸탈 때 답
그래도 좋아하는 사람은 답장 잘해준다
안해도 될 야근함
아 내 방이 있었으면 좋겟다
2019년도 곧 끝이야
다들 헤어진 이유 물어봐도 될까?
ISFP 문제생겼을때 가장 공감가는 구절은
ISFP친구들에게 추천하는 노래
하나꽂히면그것만하긴하는듯
세상에 무슨 별에별 테스트가 다있네
지인이 나를 평가할때 가장 많이듣는말들.list
에반데
isfp 알게 모르게 자기자랑 함?
나도 테스트해봄
ㅅㅅ테스트도 있네
사고싶은 옷 사이즈 없어서 못샀어
개명할건데 이름 추천 좀
나 확실한건 고1때만 해도 
이거 올빙고네
오늘 2번 간이검사 해봤는데 다 잇프피 나옴 재작년엔 잇팁이었는데
코로나땜에 피폐해지겠네
아무것도 하기싫어진다..
이건 약간 정신적 문제이려나
잇프피가 잘생기지 않은 흔남들한텐 치명적인 단점이다
나 isfp 맞나?
결혼하면 어떨 것 같아?
본가만 오면 살찌네
isfp 공부하는 방법
연상 동갑 연하 머가 취향이야?
나 영화는 살인하고 식육하고 잔인한것만 봄
내가 인생에서 제일 중요시하는거
시험이나 과제 미룰때까지 미루지만 결과는 좋은..
이게 맞는건가..?
애인 식습관 때문에 걱정이다 ... 고민좀 들어줘
인맥 정리 해본적있는 잇붕이 있냐
주변 사람들이 나한테 자기 비밀 존나 잘 털어놓음
손절하고 싶은 사람. 
Isfp는 우울증은 있어도 살자는 절대 못할긋..
이거 뭐 해명해야할까? 그냥 사는게 낫겠지?
이번해 이뤄낸거
난 N들어간 성향이랑은 진짜 안맞나봐
내 강아지 멍비티아이 뭘까?
너희 사주 믿니?
한 건 없는데 12월이네
무조건 손절하는 사람 유형 있음??
너네는 누가 너넬 편해하거나
작은 동물 너무 귀엽다
ㅎㆍㄹ
어후 살기 싫어
시험 끝나고 ㅈㄴ 놀고 싶은데
여자들 기싸움 하는거 본적있냐
자발적이든 비자발적이든 혼자있으면 너무 편해
오늘부터내이상형은
내 특징
잇프피 특징이 고양이 좋아하는거냐?
잇붕이들 좋아하는 연예인 있어?
i랑 e 차이 많이나?
내가 아직까지 친구한테 마음못여는 이유
살기위해 행복을 쫒기 vs 행복하기에 그냥 살기
제발 칭찬바라면서 일하지 말라고
잇프피는 대체 어떤 존재일까??궁금한점
능청스러움은 잇프피엔 안 어울리지 않나?
약속 파토나는 거 싫어하는 잇픞 있어?
Isfp 원래 현실이랑 온라인이랑 다름?
담배 끊는다
혼자 여행가서 생각 정리 좋지
나 존나 고민인거
질문)너네 여행 좋아하냐? 궁금하다
잇픕여자댓좀
Isfp는 고양이보다 골댕이야
infj친구를 만나면
나는 나를 리드해줄 수 있는 사람이 좋아
너네는 개찐친이라 생각했던 이성친구랑 연인관계로 발전하는 거 가능?
존나친절하게 보냈는데 답장으로 '네'한마디 오면 뭔생각 드냐
잇프피가 고양이같단건 고양이에게 실례다
크리스마스에 독서실가서 공부하려했는데
잇프피 남자 보통 데이트 몇번 째 이상이면 사랑에 빠질 수 있어?
19금은 아닌데 남자들 들어와보셈
연애 테스트 이거 맞어..?
너넨 똑같은 말 자주 하는 사람 어때? 
난 물음표 살인마가 너무 싫어 너넨 어때?
단톡에서 대답없으면 좀 그래
리트리버 화내는 모습이 isfp 화내는 모습같앙
"넘겨짚기, 의미부여 하는 사람"
너네들도 옷 좋아하지
크리스마스=알바가는날..
곧 크리스마스잖아
누가12시마다기절시켜줫음좋겟어
뜬금없지만 갤에서 글 썼다 지운게
이거 떴네
애착유형 빙고 화나는 부분
잇프피 남자들아
이게 어떻게 가능해...?
쿠쿠쿡..
이거 정확하네요
너희는 영적존재를 믿어???
리트리버 볼 때마다 드는 생각
고양이파인 이유
사교모임 테스트
강아지보다 고양이인 이유..
좆냥이키우면
근데 잇프피 하는 행동은 고양이인듯
개 vs 고양이 뭐가 더 좋아?
너희들도 고양이 같은 동물 볼 때 귀여워하잖아
밤하늘에 별을 보고싶어용
내가 싫어하는 mbti 유형
귀엽다는 뜻이 놀려먹기 좋다는 뜻이었나?!
지듣노.......
리액션 고자가 나왔어용
올해 코트 사놓고 한번도 안입음
isfp가 귀엽다고하잖아
내가 청소를 잘 안하는 이유를 알겠어
이거 안좋은거지?
너네는 슬픔을 나누면
눈온대
나는 내향적일까 외향적일까
아기자기한게 좋다. 
나 istp 인데 개인적으로 isfp 가 제일 호감임
연애고자테스트 
내편만드는법 알려줘
나도 연애고자 테스트
나 isfp 성격 맞아?
연애고자테스트
오늘 생일인데 연락오는거 너무 부담스럽다
isfp 공무원 잘맞아?
잇프피여자 사적으로 선톡하면 부담스러워함?
분명 댓글이 달렸는데 댓글이 안보여
이거해봐
카톡 디엠 쌓이는 이유
너네도 추억에 연연하는 편이야?
잇팁...?
아 타투 하고싶다
요즘 노래 듣는게 좋다?
집에 있으라 하면 나가고 싶어
난 편지함 지저분한거 못참겠고
왜 나만 카톡 깨끗해?
ISFP특징
이메일에 가능한 빨리 회신하려고 하고 지저분한 편지함을 참을 수 없습니다
한입만
ISFP 아웃픗 유재석 특징
Isfp분들중 전역하신분?
난 그나마 엄마가 ESTJ라 사람된듯
테스트 해본것들
나도 연애고자테스트 해봤는데
이게 뭐지
연애고자테스트
내 폰 배경화면임
안자는놈들
Isfp랑 infp랑 뭔차이임?
말주변 늘리는 방법
너넨 폰배경 어때
mbti 겁나 신기한거
고민상담 할 때
나도 지금 여친이랑 썸탈 때
스무살 잇프피 손!!
잇프피 진짜 어렵다ㅠ
나만 그런가 ㅋㅋㅋ 관심가는 사람 정보수집하는거
너네 친구많냐?
유재석은 진짜 노력했나보다 존경스러움
고양이 그렸음
세계여행 해보고 싶지않음?
오늘의 목표
최근에 한 성향 테스트 3개
과제해야하는데 이제 겨우 3페이지만들었다
아니 진짜 성격 많이 바뀐거 같아
잇붕이 남친 군대간다!
혼자서 할 수 있는 일을 찾아야겠다
나는 항상 목표를 위해서안살면 진짜 의미없게느껴지는데
"잇프피특:앞에서는 ""와 진짜 걔가 그래서 힘들었겠다"""
잇프피들앙 나한테만 잘해줌 vs 모두한테 상냥함
어제욕먹은 트젠인데 여자옷입는게 왜 욕먹어야되냐
똑똑하고 귀엽고 말랑말랑 귀요미 isfp님들
다이어트 어떻게하지?
오늘의 일은 내일의 나에게~
예나 지금이나 ISFP나오는거 고정이네 ㅅㅂㅋㅋ
티비속 캐릭터 검사 이거나왔어
진짜 운동 좀 해야겠어..
텐션
내 다중지능검사
공감능력이 너무 없어서 사회용 리액션 따로 있는 사람 없냐
잇프피와 잇프제의 차이점 .8기능론
잇프피랑 잇프제 차이가 뭐라고 생각해?
고3붕이 7시반에 온클출석하고 자랑스러웠는데 토요일임
난 isfp 가 의외로 강하다고 생각함
난 내사람 만드는걸 좋아해
나 개꿈꿨어
잇프피한테 삶의 의미를 묻는건 바보같은 짓이다
또프피
정
나 유치원시절부터 잇프피였을듯
Isfp 남자들아
다중지능검사 해봤니
잇붕이들아 가사 예쁜 노래 추천해줘
얘들아 잘있어.. 종종 놀러올게
내가 좋아했던애는 mbti가 뭐였을까
으어 공부안해
너네는 왜 이 세상을 살아가?
뭐든 해보고 싶고 도전하는게 즐거운 사람 부럽다
아 씨부랄거 담배 걸림
f:t=6:4 쯤인 잇붕이
알바하는데 주방이모님이 나 착하다고 피자랑 반찬주셨는데
자취 잇붕이 늘 식사메뉴가 고민된다
거의 4~5년동안 연애가 귀찮아져서 안하게되더라..
내가 먼저 좋아해서 상대가 나 좋아하는거면
너네 소확행하는거 어떤거있음?
나만 그런가 ㅋㅋㅋ 아무리 싫어하는 애여도
잇팁갤 타유형 금지 품
편의점 알바 교육받다 떨어짐
술자리에서 좋아하는사람 
나이 들수록 외강내유형 인간이 돼 가는 듯 해
자존감 진짜 어떻게 키우냐
사람에 따라 카톡하는게 변함
말걸기귀찮아서
내 에고그램 실화냐
아니시발 나 사회성 떨어지는게 아니라 상황별 대처능력이 느릴뿐이야
꾸미는걸 넘좋아해서 남자옷여자옷 다입 는대 비정상?
진지한 사람 vs 능글미 넘치는 사람
이런갤을 처음인데..인프피?
잇프피의 눈에는 동태가 있어
정상인이 되고싶다
난 집돌인데 집에만 있기는 싫어
드디어 찾았다ㅋ 내 성격유형
난 오늘부터 근육호랑이가 될거야
근데 남자 잇프피는 본적이 없다
isfp는 뭔가 변화가 많은 성격같지 않냐
너넨 옛날 노래 조아하냐
나 20대초반에는 인픕이였는데
난 자취시작하고 삶의 질 ㅈㄴㅈㄴ 올라감
isfp 칭찬 좋아하는 거 맞으?
8기능도 잇프피
뭔가 밖에서 물건 파는 어르신들 보면
확실히 알바하면서 성격이 망가지는게 보이더라..
너네 웃음 많어?
가끔 나는 스스로를 너무 외부로부터 차단시키는 것 같아
목욕은 힐링되지않냐
인생 적게 벌고 적게 쓰면서 소박하게 살고싶다
나5년째 isfp인데 밖에돌아다니는거 개좋아함
썸녀가 처음 스킨쉽하면 어때 ?
씻는거조차 귀찮아하는건 오반가..?
isfp인 사람 자체가 적나
나만 이런생각하나..?
누워있을수있는데 왜앉아있음
가끔씩 혼자 싸돌아다니면 기분 좋음
내가 에너지 회복하는 방법 
난 밖에선 빠릿빠릿한거같은데
그래도 현실 감각 있어서 다행임
다이어트 한다고 다짐은하는데 5년째 그대로네..
아까 갤에서 욕하고 싸우길래 당황했어;;
누가 나한테 뭐해주는거 진짜 부담스러움
저녁고민중
계획을 안 세우게 된 이유
박명수 찾습니다
님들 왜 다 내 얘기 쓰고 계심?
너네 죽은담에 다시 태어날 수 있다면 싫어?
왤케 다들 기운이 없어
여성적인?남자는 세상에서 딱히 안조아하드랑..
미용실 가는게 일이다 일...
잇프피한테 빠릿빠릿함을요구하지마라!!
병원 노쇼했는데 ㅈ된거?
잇프피 남자는 힘들어
나 펭수나옴
나만 신디 나왔니
밑에 테스트 나도해봄
이거 완전 잇프피 아니냐ㅋㅋ
아 진짜 
"가끔씩이긴 한데, 자는게 귀찮을때도 있더라.."
잇프피라고 항상 느긋한건 아니다
문득 생각났는데 핸드폰 컴퓨터가 없으면
아 확진자 500넘어가서 수업 진단서낼까 고민했는데
아 뭐냐고 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋ
친해지고 싶은 누나 있었는데
호구테스트
내가 좋아하는 사람들은 다 ESFP다
시벌 밤샜다
내가 isfp가 맞긴 맞나보다
이성끼리 친구 가능 vs 불가능
말 느린 유튜버 영상 배속 올리기
키배뜨는넘들 이해가 안간다
내 유튜브 구독목록
얘들아 나 바로 밑에 글 쓴 앤데
ISFP 너무 이해가.안되 이해를 못하겟어
씻는거 왜이리 귀참ㅎ음
밑에 운동하려고 아령 샀다는 친구야...
왜캐 잇갤만오면 입이 근질근질하냐
나 보험이나 광고 전화오면 확 끊어버림
배려형 개인주의 라는 말
잇프피의 게으름에 대해 조사와 고찰
잇프피남이랑 밀당하려하면 안되는듯
나 아령 주문했어
연애를 연하랑만 했는데
내 이야기는 뭔가
너네 솔직히 얼빠지?
잇프피는 왜 다 긔찮아하는걸까
 연애
나도 거절 잘하고 싶다.
잇프피손재주좋다매
타의적으로 사는 삶
물류 상하차 해본 잇붕이들 있어?
연애할때 너희들도 이러냐?
니네도 사기 잘당할것 같단 소리듣냐
지듣노
연애유형테스트해봄
이씨발고객사개같은새끼들
특유의 개인주의적 성향을 좀 고치고 싶다
느네 스트레스 어케풀어
왤케 다들 화가 나있을까
영문판 해봤는데 충격 받았어
내 성격이 싫어..
동물 테스트 했는데 소름
수능 8일남은 나
난 돌연변이 잇프피야
아무리봐도 남녀 사이 짱친은
잇프피랑 잇프피 연애...
밑에 테스트 해봄
이거 해보고 소오름 
사람 변하는거 한순간이드라
영문판 16 퍼스널리티 결과 INFJ 떴다
난 좋아하면 티를 너무내서 문제야
난 좋아하면
어제 중학교때 짝녀만났어
근데 ISFP는 또 막상 시키면 다 하긴하잖아
고백을 해서 사귀었다 vs 고백을 받아서 사귀었다
새벽이니까 하나 고백함
잇프피는 혼자 살면 안돼
아 공부하기 싫어
짝녀가 내가 지를 좋아하는걸 아는지 확인하고 싶은데
잇프피 본인 공부법
집에서는 ISTP되는거 같음
나를 싫어하는 것 같은 사람이 있거든
잇프피 공부법
Isfp가 원래 말이 많은가??
isfp는 관심있으면 보내는 시그널 잇을까?
공부할때 특
너넨 유투브 구독 누구했니?
너네 미련많냐
잇프피 공부 잘하는 법 좀 알려줘
나도 어두운면 테스트 해봄
ISFP랑 ISFJ가 부부일때?
entp여자 isfp 남자 짝사랑 중인데 조언구함
오 이기주의
난 사리추구형은 높은듯
예전에 어두운면테스트했던거
어두운면테스트 나도해봤는데 뭐고
맹다닥
어두운면 테스트 이거 뭐야 무서워
예전에 어두운 면 테스트 한건데
mbti 영문판으로는 isfp
나는 손짓보다는 눈으로 얘기하게 되던데ㅋㅋㅋ
님들 ㅅㅅ성향은 어떰?
코로나 이후로 이상한 습관 생김
대인상대용 겉성격 따로 가지고있지 않니?
나 isfp 맞나?
너넨 오글거리는 거 잘 참음?
미쳤나봐 낮밤 바꼈다ㅓ
행동력 부족으로 뭔가 손해보는느낌?..
나호프집에서 일하는대 의욕없어보인대
난 잇프피가 떠서 그런갑다 했는데
인생 재미없다
킹메이커란 말이 너무 좋음
티 없이 맑은 A++흑우 ㅋㅋㅋ
잇프피 애인 맨날 통화하다 잠듦
미쳤다 소름돋네
어떻게 해야하지
난감했어 오늘..
이거 설레도 되는거 맞음? 
조금이라도 어색하면 연락 안읽씹함ㅠ
솔직히 연애하는거 귀찮음 왜 하는지 모르겠음
MBTI 카카오톡 오픈채팅방 놀려오세요^^
INTJ갤러리 ...jpg
잇프피남들 이상형
연애는 신뢰라고 생각함니다
와 처음으로 istp 떳다
윤왕호 <<-- 말하는거만 보면 씹인싸
이번에 검사하니깐 infp 세번 연속 뜨네..
연애 하기 귀찮은 잇붕이있냐
곧 생일인데 거리두기 2단계라니 너무해
가족사 말하고 싶을 때
잇붕이 오늘자 핸복
잇프피 남친 사귀는 인프피 놀러옴
너희들 ENTJ가 반대라고 생각하는데... 엔티제는 너희 반쪽이다
잇프피 특
말랑카우를 잇는 흑우
학교다녀와서 씻기도 귀찮아
ㅎㅇ인티제입니다
흑우 테스트: 흑마법사
흑우 테슷트
요즘 mbti 이후로 뭔 테스트들이 왤케 많어
얘들아 호구 테스트나 해봐라
열등기능 Te라는게 구체적으로 뭔지 아는사람
이것도 잇스피임?
잇프피 뒷담 내가 생각한 특징
잇프피 보통 부탁 잘 하냐?
뒷담 쉽게 하는 사람
"보통 찐따라고 함은,,,"
mbti 너무 맹신하지마
딱 입대 전날까지 2단계네
원래 잇프피가 성격이 다 이래 아님 얘가 이상한거야? 걸러야 할지 모르겠
영어로 한번 해봣는데 이것도 잇프피뜨네
INFP에서 ISFP로 진화햇오!!!!!!!!!!!!!!방가어!!!!!!
MBTI반반 섞인 사람들 있어?
인프피에서 잇프피됨 
나는 왜 i 인가
안녕 isfp야 반가워
나 사주 봤는데 귀신 껴있대 시발 너무 무섭다
나 isfp 아닌거같은데 왜 isfp가 나왔을까
나 영어로 다시 해봤는데 istp나왔네
찐따는 성격이 문제가 아니지않나
왤케 극단적이야 씻팔
나 우울증이었는데 다 나았어
다음생에는 여자로 태어나서 여캠하고싶다
화내고나서 문제가
진지하게 화 어떻게 하면 무섭게 잘 내 ?
방청소랑 빨래 못했다 ㅋㅋ
인생 유전자가 다 하는 거 아닌가
착한게 아니라 착한척이 맞는거 같음
수능끝나면 하고싶은것
그냥 사람들 앞에서 연기를 잘하는 거 뿐이지
겉과 속이 달라
안 우울한데 우울해야할 것 같은 상황이야
두시간씩 목적지 없이 걷고..
성격변한거같애서재도전햇는데
인생 ㄹㅇ 노잼이네
근데 도대체 어떻게 화내야 무서운거임?
요새 성향좀 바뀐듯
나 너무 서운하다 
근데 내 친구들은 다 E성향이던데
잇프피랑 인.프피랑 둘중에 뭐가더 찐따야?
조용한 사람이 화내면 무섭다고하잖아?
내 성향
내가 화내는법
사과문 올렸던 얘인데 잘 해결돼써
잇붕이들아 조카님 옷 좀 골라줘
미루는거 귀찮아하는거 ㄹㅇ 잇프피 공통인듯
주말에 하루종일 놀면서 미루다가 이제일한다
너네 롤이나 옵치같은 게임할때 정치 해?
난 저 사과문 받자마자 손절각봄
수능 끝나면 주기적으로 헌혈할예정
너네 혹시 가위눌리면서 환각보거나 환청들음?
ISFP한테 굳이 저렇게 장문의 사과문을 보낼필요가 있나
집구석 ㅈ같애
꽃 mbti
너희도 치킨먹을 때 다리 양보함?
오늘하루 한거
잇붕이 코로나검사 했다....
사회생활 하면서 사람들이 때 안묻었다고 한적 많음?
전역하면 담배 끊을 수 있을까?
도라지 도라지 백도라지~~
도라지가 떴노
도라지도라지꽃
작약 도라지 수국 나오네
꽃테스트 결과
닭갈비집 알바 잘할 수 있을까?
오
꽃 떼스뜨 결과
섹스
나 엣프제 엣팁나옴 ㄷㄷ
프리지아 없냐
무야 나만 라넌큘러스 나옴?
너희 약았어
ISFP 79%
잇프피가 공감잘한다고 나와있는데
수국 나왔어
난 안읽씹의 장인이야
mbti 처음해봤는데 진짜신기하다
도라지꽃 손들어
도라지꽃이다
나 수국나옴
mbti 검사할때마다 어떻게든 전이랑은 다르게 고르는데
에리카 나옴 ㅋㅋ
밑에 영어로 된 밴다이어그램?? 해봤는데
잇픞들 거의 작약파티야??ㅋㅋㅋㅋㅋ
나만 수선화야....
