entp
내가 주딱 자르는 법 알려줄까?
뭐야 왜 글하나씩 없어지는데ㄷㄷ
당사자만 짓껄여주세요
굴러가는 떡밥을 주체하지 못하고
이제 파딱한자리비겠노
자 비하글 괸련된거 알려준다
이 규정이 좀 그렇네
이거 보고 님들이 판단해
맞다이 뜰꺼 아니면 그만해 시발련들아
근데 주딱이 저 옵챗방을 늦게 발견하고 벤했다쳐
심증으로 밴하는 건 정상적인게 아니에요
이제 상관없는 사람들 다 닥쳐
제3자가 올리는 토론글
주딱아 파딱아 사건 당사자들 말해줄거 있음
아까 화해하라고 멍석 깔아줫잖아 시발
잘시간 갤질자제로 밴먹인게먼저냐 옵챗한게먼저냐?
그냥 눈팅만 간간히 하는 유동이 건의좀 할게
"여성인권, 임신 운운하는 년들 특징"
제발 적당히 좀 하자
걍 노래추천함
심증으로 친목은 뭔 개소리야 진짜
가만히 눈팅도하고 댓글도 간간히쓰고 글도 올리는 ENTP유동인데
잘못을 반성 못하면 방법이 없어요
야 나니까 너 생각해서 말해주는거야
여성인권 타령하면서 임신 운운하는애들은 심리가 뭐냐
entp 되고싶당
이거 인증하래
마지막으로 하나만 부탁하자
여태까지 재밌었노
엔팁매력녀만 좆목하자 나랑
님들저랑좆목해요
걍스1쿼트를하는중
내가짱이야님 방명록 확인하시고 글 올려주세요
뭔 념글 절반이 인프피 욕이노
방명록 다 뒤져서 없던 죄까지 만들어 내겠네
좆목밴은 동의함
분위기 전환 씹프피 떡밥 입갤
이거 인증하래
씹프피 특성 한짤로 정리
상황다정리된건가요
2주 간신히 버텻는데 
주딱 나는 여기 좋아서 욕설벤을하던 뭘하던 상관없는데
나도 도킹하고싶다 
코로나덕에 예전에 사둔 스타듀밸리 깨는중
방금 전반적인 내용 읽고 왔는데
차분하게 얘기했는데도 지우는건
생존신고
시발 나도 엔팁여자 먹고 싶다고
나랑도 만나자 엔팁년들아
솔직히 쟤는 7일벤 먹을만 했네
Infp 데리고 와라
그니까 차분하게 얘길하면 될걸갖고 분탕치지마
정리
합리적 의심
폭탄받아라 우우우우웅
뭐가 문제인지 모르나봄
마갤은 시발 이 애미뒤진 루프를 벗어나는걸 본적이 없노
무차별적인 주딱몰이 글싸지마라
걍제대로말해주면 끝임
그만 싸워라 진정해 
나 인증
그냥 신경끄고 내 갤질이나 해야지
내 얼굴
"""나 지각"""
심테갤 좆목갤인데
주딱게이야 이거 벤이유는 말해주고 가라
주딱 왜 자꾸 사라지냐고
고닉들은 다 심태갤 가라
잘시간 밴이라는게 그냥 만나지말고 쳐자라고밴한거?
주딱 대답좀
걍줄담배를피는중
심테갤 가지마 찐따새끼들아
쿠데타임?
1시간만 자고 올래
일단 3가지 정리
잘못한거 감쌀생각은 없는데 ㄹㅇ궁금해서 그럼
그냥 밴 다 풀어주고 화해해라
최근에 친목 심해진 건 맞지
와 이거 괜찮다 직접 만드는거래 
고닉 안파면 되는데 집착하는 이유 모르겠음
솔직히 잘못한거 감싸주면 안됨
주딱봐라
뭔일이야 왜 싸움 났냐
파딱 임명은 주딱 권한입니다
이노래뭔곡인지 아는사람있냐
 타유형이 부매니저 자리를 맡지말라는 법은 없습니다.
도대체 자야할시간이라고 벤줬다는건 뭔소리임?
갤 구성원 생각은1도 안해놓고
코로나 때문에 존나 할거없네
인프제 여자친구랑 속궁합 ㅆㅅㅌㅊ인 것 같음
무슨일이노
근데 지금 문제시 되고 있는 점은 그게 아닌거 같은데(의견)
친목규정 강화합니다
지금 갤 좆창 났으니까 
마라탕 사와서 신나게 갤질하면서 먹을려했는데
시발 힙합춰야 겠네ㅠ
오잉 뭔일임
응애 나 아기엔팁
엔팁인팁 성향 둘 다 잇는거 가능? 
주딱 봐라
존나 괘씸한건 뭐냐면
안녕똑똑이들아
엔팁보다 인팁이 더 아나키즘이지 않나
너희는 뭐할때 행복하냐
좆밥새키들아 다 덤벼라 
핫초코 어디서먹을수잇긔? 꿀걱굴걱
솔직히 윤도영 갤 닫고 수강료 먹튀한거 좆같으면 개추
Enfp가 가장 인싸 중의 아싸라는데
좆리버드기상
얼버기 갤떡뭐?
즐거운하루의시작
예민한 인간
너네 다 어디감?
초더지는 오늘 할일을 다끝냈어요
배도 존나 고프고 일도 존나 많다
밤낮이바뀐지 약 4일째
취급 설명서
하...직장인검사...
와진짜 오늘 과제존나새상에서제일열시미햇음
82년생김지영 별거 없던데
얼버기들 왓네
퇴근하고 회사 전회오면 받냐 씹냐
얼버기
얼리버드등장
유메나라바 도레호도
써지컬 스틸만 보다 은반지로 넘어가니깐 사이즈도 다양하고
난 갓직히
『카라다와 츠루기데 데키테이루』
완장 나도
어어..지초박이 이새끼가 어디간거지?
완장 읽어봐
여기애들 왜다 글 삭제해?
이모티콘은 짠짠맨이지
다음주 정신과 간다.
김승리vs박광일
갈때까지 가버린 스님.jpg
근데 진심 -A랑 -T 차이 심한 것 같은데
도서관 데이트 하고싶다 
나 갤 여기밖에안해서 잘모르는데
사랑받고싶을 때 있음?
하이
오 존나 신기한 프로그램찾음
주딱 왔다간거냐
2시간50분뒤 기상해서 봅시다
내 뇨자친구
친목질 ㅋㅋㅋ
그이모티콘리름뭐임
와 라이언여자친구?맞나
Entp 병신들아 닥치고 수능국어는 김승리다
와 이거쓰는새끼는
덤벼 개 병신새키들아
나도 내 질문 다 만들었어 해줘
개쩔게멋있다
아 쭈쭈만지고싶다...
ㅋ 이거하나만쓰는새끼들
창의력 수준
하 시발 수학공부하다 발기함.
그거?
모두들 뜨밤 하세요~
나 이것도 해줘
아 ㅆㅂ 디시안하고 인스타좀하려니가
질문답변 뽕 좀사라지면 와야겠다
새로운 테스트지 만들어왔다 이기야
시발 왜 삭제시켜
첫만남에 이상형이다 싶은사람 본적 있음?
나도 신유형 해줘
나도해줘
진짜 이름 생겼다
나두해조
huh 신유형
신유형
다음주 끝나고 뭐하고놀지
개 쩌는 야동 추천받는다
이거 나도 해줄수 있냐
너네 주기능 어떻게 풀어??
가루로 된 콜라겐 먹는 사람 있냐
자야지..
나도 가져왔다
즐거운하루였어
종종 내 상태가 이상할 때 옆에서 누가 알려줬으면 좋겠다
02는 술집에서 3 2 1 못하냐
데이식스 많이 좋아해주세요
귀여워 퀴즈가져니오니까
ㄹㅇ 돈고르는건 다들일관성있노
야 나도 해줘
나도 뒷북
야야 니네도 펜트하우스 뷰냐?
하 시ㅡ발 할 일 좆나 많은데 그냥 야동보고 잘까
내거 어려울걸
씨발 호텔인데
너네는 사귀는 사람이 있는데 
좀더재미있는거없나요
나 수능 끝내고 왔다
밑에 테스트 꿀팁 전수한다.
나도 해주셈
다시돌아옴
나도 할래
디시에서 닉넴쓰는유동은 정신병자임
이름생겼다
나니까할수있는
아 기분 꿀꿀한데 맞담 할사람
너네는 왜 놀리는 걸 좋아하는지 이해가 안 갔거든
본인 강림
토할것같다
차카게 살게요
쇼미 스포한다
쓸쓸하구만
근데 길빵하는 새기들은 때려도 정당방위 시켜줌 안되려나
"개같은 세상,피토하는 음악"
다들 갤 떠나지마
걍 줄담배를 피는중
남자들 의리 좃같은점
너네 연애 이야기하길래
자기싫다
나 엔팁 아닌 것 같음
내친구 디씨 깔았대
걍 디시에서 사람만났을때 존나놀랐음
나 자신이 개찐따히키코모리 같이 느껴지면 어떡해야되냐
남자친구썰
탈갤합니다.
내가아는데 탈갤합니다라고 말하고떠나는사람없다
저도디시하면서 만난친구있음
혹시나해서 하는말인데 진짜 쇼미 스포하지마라씨발 스포하면 
나는 누가 나를 터트려 줬으면 좋겠어
탈갤합니다.
우하하~~ ^^ 우하하~~^^
와 ㅆㅂ
나를 좀
아아아아
와 미친 전여친 존나 예뻐졌네
푸 푸르르 푸린 푸르르 
인터넷 인간들은 실제로 보는거 아니다
"""이제는, 맘을 놓아도 되겠지?"" 1부, 완(元)"
나두 갤에서 연락해서 만난 적 있음ㅋㅋ
디씨하는애랑 연락해본적 있는데.TXT
트럼프 젊은 시절
배달기사님한테
많고 많은 사람중에 그대 한 사람
에엥몸무게가 더빠졌다
난 연상만나다가
니네이상형이머임?
나 시발 왜 정신병 진단 해보니까 다 있는거같냐 좆같네
버걸킹시킴
알아따...나도 자러갈게...
다 자러갔냐. 리젠좀
이거 넨도 있음ㅇㅇ
갬성 시러!! 열혈이다!!
자기애성 성격장애인 사람 있냐?
라흐마니노프 시발년아 일로와
10대 힙찔이가 좋아하는 노래
근데 난 애매한 얼굴 본적이 없는거 같음
entp 특징 보니까
얼마 전에 알게 된 띵곡
아 왜치킨만먹냐고 울가족은
노래추천 2 이번엔 팝송
갬성곡 음추시간?
난 잘생김
그냥 나 못생긴 걸로 하자
노래추)아...10대 영혼의 냄새가 나네요
노래추천
너네 싫은 사람 있냐
이노래 좋은데 어떻게 생각함
시간이 왜 아직도 22시 22분
얼평 받는 방법 좀
플스5사주세요
아따 시발마 후딱후딱 글안싸냐
존잘 존예 인팁 인픕은...
내 미래의 아내가 infp였다니..
초개념에서 사진 얻어옴
ㅋㅋㅋㅋㅋㅋ아
흐응...나 몸 이상하다 진심 자야될듯
인프피 만세
공부 집중하는 비결좀
술먹고 연락하는거
아 밥먹으니까 피곤한데 정상이냐
------------내 위로 첫글 infp-----------
걍 블서를깔음
혼술하는이유 갓성비때문에아님?
과학적으로 entp=infp래요
혼술하면 뭐가조음?
인프피특)
아 시발 오랜만에 꼬냑 먹었는데
지금 인프피갤 존나 웃기네 ㅋㅋㅋ
아수제맥주먹고싶다
아잇 시팔
맥주맛없는데왜마심
그래서 오늘 먹어볼 것은 바로
자꾸 비슷한꿈 존나꿈
잘게 얘드랑 ㅎㅎ
??? : 트럼프 infp인듯
굉장한 걸 봤어
요즘 소설들 중에 끌리는 게 별로 없네
아쪽바리년들진짜도뢋나
도스토옙스키가 제목을 죄와 벌이라고 지은 이유는 무엇일까
와이샠기들 책도존나게마니읽내
엔팁이 나 싫어하는거??
엔팁은 유연한 합리주의자 같음
소설책재미있는거추천좀
죄와벌은 읽은 게이 없음?
나 솔직하게 가끔 너네보면
대충 멍청도식 캡쳐
인디언캠프 읽어본 사람
내 인생 소설
그래도 너무 무감각해지면
안좋은 이야기는 힘 빼고 말함
내 인생 책
본인 3년째 못끝낸 책...jpg
오늘도 맥날로 
난 주로 내 감정을 표출하는 쪽
F:슬픔은 나누면 절반이 된다
제3자의 눈으로 내 감정보기
책 때려침
게이들아 enfp 극혐이냐?
사교활동 좋고 처음보는 사람들이랑 친해지는거 쉬움
읽고픈 책 리스트
의도적으로 신경성 낮출려고 노력하는 중
난 집 밖에 나가서 누군가와 대면하게 되면
가족이든 친구든 말과 행동 철저하게 가림
애초에 왜 터놓음?
남자가 외출할때 체크하는3가지 
책 추천함
엔팁들을 위한 책 추천
책 안 읽는 이유
쇼미더머니 방송까지 약 1시간20분
난 생각해보면 나를 너무 몰아세움
책추천함
무슨 ㅅ발 문자가
책 추천 함
책읽어야지큐큐
맘마넨네
진짜 정신문제있어보이는애들
감정 자체를 잘 생각해본 적이 없는듯
나를 매일 시험에 들게 하는
시간이 지나면 알게되긴해
왜 그런 감정이 들었을까 !!!
몬스터 남은거 걍 다 마실까
필스버리 도우보이
하암
슬픈날~
이거
아시아나가 좋음
그냥 롤이나켜야지
명기석..명기석..
여기 들어올려고 e 칠 때마다
ㅋㅋ미안한데~ 나도 너 별로였어~
안녕
샤워할땐 
헬퍼 봤던 사람있냐?
이런새끼들 보면 묶어놓고 죽을 때 까지 고문하고싶음
몬스터 반캔만 마심
자작만화 카연갤이랑 만갤중에 어디에 올려야함?
2번 말인데
아 카연갤에 메롱시티 아는 사람
예거밤은 4대1이 맛나는듯
18원주고이름을까버리노
글삭시발
ㅂㅂ
시발 너 누구야
혹시 실제로 주변에 근첩 본 적 있으신 분
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
여자 찐따 갤이 재밌는게 모든 인생 불만이 다 있음
여자 귀엽다
슬슬 글리젠이 안되는걸 보아하니
냄져 어감찰떡이노
밥먹는데 모든 에너지 소진
한남이지만 일본캐릭터 갤러리 눈팅했었음
일단 문재인 죽여봐
와 오늘 깡패? 양아치 새끼랑 시비붙음
겨드랑이
나의 미인계를 사용해서 갤매니저?할거야
나 한남치고 보익 940점 쯤 될듯
솔직히 한남 입장에서 쿠션어 쓰는 여자 귀여움
트위터 원래 ㅈㄴ 극혐했었는데
남자패션갤러리<<<<<진짜 개웃기네 ㅋㅋㅋ
근데 마라탕이랑 훠궈 맛 비슷함?
말 막하며 매일 싸우고 자기 잘난 맛에 사는 망상충 엔팁
갭모에 느끼적없음?
MBTI 과몰입충들 특)
혼밥중이긔
ㅋㅋㅋ존나 굿이네
엔팁 남자가 말투 여자같을수도 있냐;
생각없이말하는건 엔팁이아니라 걍 미1친놈아님?
야 근데 이거 한번 우리끼리도 토론해볼만하지 않냐?
난 카카오톡 옾챗은 죽어도 못하겠던데
공항에서 밝은 화면으로
주인님기다리는중이래서
너네 진짜 친구 있니?
huh?
아시발
이거 코로나 언제까지 지속될것같음?
누나같은 연하 vs 연하같은 누나
누나찾는 것들 대부분.
누나 취향인 사람들 왤캐 많음
huh <----이 말투 왤케 웃김ㅋㅋ
막나가자 이거지?
두꺼운 고기에 양념을 입히고
ㄱㄴ¿
힘들고 지칠때 
와퍼 3개 있는데 먹는 순서 추천좀
혼밥중
같이 모텔가자
뭐하는데
남대문 근처 사는 사람
ㅅㅂ 대상포진걸린듯 
infp랑 싸웠다
7시 까지만 갤질 하고
노래선택할때 변치 않는 규칙
본인ㅋㅋㅋㅋㅋ중학교 가창평가 c임ㅋㅋㅋ
코노 가고싶은데 못가니까
신카이 마코토 영화보면서 떠오른 명언
노래 선택할 때 가장 많이 보는게 뭐임?
야이씨
씹덕 거르고 이 플리 조음
너의 이름은 이나 볼까
바람 존나 시원하다
나 옷좀 사줄사람
걍 그린데이 노래들으면서 대학가 산책함
이런 날은 밖에서 술이나 한잔 해야하는데
entp 여자는
텐텐 4개나먹어버렸다
어제 내가 구한거 실검에 뜸ㅋㅋ
ㅋㅋ 야 재 일어났다
만화 만들라는데 배경추천좀
카톡 대체 뭐가 124개나 밀린거지
남 기분 생각 안하고 말하냐?
오늘따라 모르는 번호로 전화 많이 오는데
해외 유학갔다온 애들은 대부분 대마초 펴봤다더라
마약이 그렇게 대단한게 아님
근데진짜뭐먹지
다들 통제에 익숙해졌네
마약 해본 사람 있나?
이젠 서울 경기도 지역갈등 일으키려고?
나 인프피 여친 생김 ㅋㅋ
K 방역 자화자찬하더니
본인 강림
지금 군사 독재시절임?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ9시 이후로 불을 왜 끔?ㅋ
오늘 저녁 뭐먹을까
나 좋아하는 사람은 어떤 사람들이냐 넘 궁금
우리회사가 인근에 유명한 화물기사들의 무덤인데
본인쟝 수업시간인디 엔갤중
걍 키크고싶어서 텐텐을삼
오랜만에 초코랑 단빵만
은따 당한거도 존나 좆같은 이유였음
요새는 학교폭력잘없음
실제로 고1 2학기때 한학기 따당한적 있는데
내가 경험한 학교폭력
내 특징)나 entp같냐 intp같냐
틀딱 학교폭력 썰
다들공부해요
헤어진 진짜 이유를 알게됐음
업무가 내 성격이랑 너무 안맞는다 ㅅㅂ
학폭이란게 존재하며 가능함?
인싸들 놀러갔냐..?
유동닉도 구분 가능함?
이어폰 안가져오니까 오히려 좋네
내 성격대로 하니까 상극나옴ㅋㅋ
걍 학원1좆까고 낮1잠때려?
썸추진력ㅋㅋ
아마존 사장 나옴
남친이 entp인데
와뭔새벽보다 아침이더춥냐
걍1시부터공부함
자랑해야지
우리 이제 자자.
지금자면
그 UFC 헤비급들 보면은
우라질년 왁싱하면
sleep is five. not
남잔데 나도 왁싱 받고 싶다
다리털좆같아서 전신제모함
암내나서 겨털 왁싱했더니
ㅂㅅ들 다 회사원부캐테스트하러갔네
회사용부캐테스트 해봄?
엔팁갤 급식 왜케 많아졌냐
아 진짜 좆됐네
실패했다 실패했다 드립 원조가 일본임??
토익 볼때
드디어 꿈나라 입갤
토플 봐본사람있음?
본인쟝 어린시절 일화
밥먹는 얘기 하는데 미안하지만
승리자의 입맛
입맛취향
꼭 만들어졌으면 좋겠는 알약 2개
이게 만화야 노무현 사진집이야...
라면에 황태나 미역 넣으면
오랜만에 만갤갔는데
아 방금 진순에 대패삼겹살 넣고
롯데리아 뭐 먹지
내가 아무리 민초랑 파인애플을 좋아한다고 해도.
나는 토마토가싫어
너무졸리면 자기가뭔말을 하고있는지 인지를 못함
페퍼로니 피자에 파인애플 토핑해라
"본인 좋아하는거 : 민초, 하와이안 피자, 진라면 순한맛"
진순보다 하와이안피자가 더싫음
"""잘가라"""
밸런스게임 하자
진순을 왜쳐먹노
만약에 나 공무원 붙고
이번 생 목표
근데 가끔 그런 생각한다
법적으로 코로나 5단계 되면 중국인 보면
"코로나가 독감, 감기처럼 매해 발생하게 되면"
걍 라면끓여먹음
제발코로나 5단계 가자
아 36분 압축수면 가능?
걍 스쿼트하는중
등교정지될까 무섭다...
"나,강림"
하아 잠자고싶어 근데못자
니들도 이런적 있음?
인터넷방송은 E I 크게 상관없는게
대단하다...K-방역!
걍 스1트레칭해야함
우리집개임
이런 만년필 선물 받으면 글 쓸맛 나겠어?
내 유일한 인생보험은 신풍제약임
얜울집개임
걍 우리집개임
아.언제자지
아 속쓰려ㅅㅂ
어제 9600일때 우리바이오 샀는데
걍밥먹음
사랑은 헷갈리게하지아나~~~~
아아아 주임님 너무 사랑해요 
이거 뭐냐
인생 = 될놈될안될안
걍오늘 약국가서 텐텐살거임
스트리머중에 intp 엄청많더라
야친한테 앙끝딸꾹 쓰면 어케됨?
얼버기
근데 그브 점화 왜 드는 거
둥근해가 떳습니다 자리에서 일어나서
제발데발 나 엔팁갤없으면 못살아자살해자살해
아..
고춧가루소금이지씨발
비기검술(祕技劍術) 해동검무(海東劍舞)
그 cd 아직도 못 들음
그냥 가 끔 
시발시발
떠나요 혼자서 모든걱정을 다 짊어서
얼리버드
다들 정슨병자 밖에 없네.
슬슬 다 자는가봐
피곤쓰
나 한다리 밑에 여사친 있는데 
다들자니
지금 듣는 노래
귀여미섹붕이여러분들 
나 진짜 엔팁만 나오는데 친구들이 안믿음
미룰 때까지 미뤘으니까
지들이 존나 반쯤 벗어놓ㄱㅎ
애국심 나만없냐? 
난 무논리인 사람이 제일 싫음
누나ㅋㅋ 내가 그렇게 싫었어?
시발 왜잠안옴 
아진짜 영화씨발 왜있는거임
독후감 3페이지과젠데
치즈불닭먹을거
내첫휴대폰기종은 고아라폰이었음
장원영 입갤
니네 연령대가 어케되노
이것만 보고자야지
요즘 잘 지내냐는 카톡
역시 너구리야
니미
괴생명체 어딧냐?
먼가 남 시선 신경쓴다는 말 들으면
울팀 탑 닉네임 뭐냐?
난 게임 존나못해서 맨날 욕쳐먹음 
피시방 옴 딲좋다 이기
디코 가능?
근데 너넨 어떤장르음악들음?
내가 내맘대로하는게 죄랴면
사랑한다1
 esfj랑 일년사귀고 헤어진 썰 푼다 
엔붕이들은 수능 잘 쳤을라나
이거 재밌음
play play 지초박!
만약 통속의 뇌가 아니라면?
롤하고.. 헬스장 등록해야지
기타치고싶다
운동 다 하고 왔어
진정해
오램만이다  엔붕이게이들아 
남자 궁금한 점
여자 궁금한 점
ㅋㅋㄱㅋㄱㅋㅋㅋ진짜개지랄
나한텐 시시티비가잇엇는데
아...이근자감 도대체뭘까?
지금 남친 깨워서 롤하자할까.
ㅁㆍㅡㄷㅡㆍㅇㅣㆍㄴㄴㆍㆍㅣㅇ
머리떡존나지고
이게 머선일이고....
ㅇㅏ 시발
이거 미친거 같음 에니어그램분석
러브데스로봇
다 뒤졌네 맥날이나 갔다옴
난 남잔데
운동하고 올테니까 자지마
남자 음모 아예 없으면 그렇지 않나
부랄이 6개달린남자가있다?
씨팔 30분걸렸네
내 취미 ㅁㅌㅊ?
나도 집이랑 수업들을땐 안녕쟈기인데
애미가 멋대로 내 안경 맞춰서 왜 안경 멋대로 맞추냐 햇더니. TXT
슈크림빵 <----얘가 진짜 존나 음탕하지 않냐?ㅋㅋ
나도 함
이상형 검사지 이상한게 
종강하면 알피지겜 아무거나 일렙부터달릴분
난 여잔데
난 여잔데
난여잔데
고백
내이상형 
아니 난 여드름씹타쿠라 씹타쿠 오바싸는 말투 쓰는가 봄
대충 듣기 좋은 말 골라하면 성격 좋은것처럼 되는게 맘에 안듬
내 이상형
이상형탐구 어쩌구 해봄
운동해야 하는데 왤키 응가가 마렵지
너 나없으면 어떻게 살래~
오늘 수능 후기
이상형 탐구능력 검사지
내가 ㄹㅇ지초박인게
확실히 고닉을 파고 나서 내 인생이 달라졌다.
니네는 고닉하지마라..
고닉 어케해
아메리카노먹고 담배피는데
스산한 밤...하나 더
너무 인기가 없는게 고민임..ㅋㅋ
만약 내가 이성으로 태어났다면
잘있어라 ㅂㅅ들아
군필인샊있내?
고딩 엔붕이 조언좀
여자력 빙고
일본 3번가봤음
게이한테 대시 받아봄?
나도 무서운 이야기 하나
본인쟝 5시반기상인데
점프
디시하면서 여기가 가장 편한데 정상이냐
진심 롱패딩 좆대는점 
니네는 만성질병중에
사실나는신임
이거 욱김?
SSRI는 잉쁘삐 약물 아니냐ㅋㅋ
나 요새 호르몬에 관심 있음
아메키라노쫙빨고
아 시발 일본살때 사진 다 어디감
난 전생체험 저거 해봐도 암것도 없던디
오늘은 전생체험 해봐야지
다 서울사냐
인천 가기전에 이미지
1기 신도시부터 3기 신도시 가보고 싶네
아 놀러가고시퍼서 걍 돌겟음
아니 근데 별마당 도서관에서 뭐함?
좋았던 여행지(한국)
글구 머지 요즘에 막 한복대여 그런 거 하잖아
너네집으로 여행가고 싶다 난
일본이 여행가기 딱 좋긴 함
근데 롯데월드근처사는사람들
서울도 좋자나
불건전바랑 일반 바랑 어케구별함?
미안하지만 난 전주 한옥마을 별로였음
이시발롬들머라는거야
21살이라 혼술 안해봤는데
어딜가냐도 좋지만 누구랑 가느냐도 엄청 크지
전주가 ㄹㅇ 씹가성비던데
근데 관광지보다는
아 에노시마 가본사람
한국에 관광지 없는 이유는 간단함
관광지만 볼 필요가 없지ㅋㅋ
건대에서 혼술하기 좋나?
하아 일본도가고싶다
님들
건대에 헌팅포차 많다던데
홍대=케주얼 건대=음침
아 강릉가서 한 삼박사일 있고싶다
홍대 진짜 한번도 안가봄
김정은 머리 = 슬릭백
최근에 동묘 가본 사람있음?
잔다
내년에 경기도 남부 싹 다 돌고
2015년정도까지만해도 강남코엑스 건베
강남 코엑스 특
본인이 먹은 지역들(전철역)
내가 갔던 곳 중에
강남이 나와바리인 넘이 어딨어ㅋㅋ
지방러한테는 이세카이 이야기
겨울엔 파르나스몰 로비 가야됨
가장 마지막에 코엑스 갔을때 먹었던 아몬드..
컵누들
삼성코엑스는 내 나와바리여
오늘 수능썰
러브데스로봇 
서울 사는 사람 많음?
강남역 근처 카페 맛집!
코로나 관련 유튜브 댓글들 좆같네
나 오늘 수능 보고옴
내 임시저장글
ㅈㄴ ㅆㅂㄴ ㅇㄴㄷ
키가크고싶다면?키크는법 갤러리로 놀러오세요~~~
쉽게 말 못할 기적같은 일들
치고박고 싸운거라던지
본인은 펜 좀 사랑함
걍진짜자러감
님들 그거 앎??
다들 임시저장글좀 풀어
걍 174한남으로살고싶지않아요
찾았다..
고1인데 키175면
과외생 수능성적 올랐다..
이영지도 entp임 
내가 자주 듣는 피아노곡
나 힙찔이냐..?
얼마전에 올라온 동양이 이성이 없다는 글 어디갔음?
걍 축구하고싶음
제 69회 엔팁갤 노래방이라도 열자
나는 카연갤 유입런데
12시에 
디시 유입썰
사실 난 고급 자위를 위해 전립선 운동을 했다
첫 ㅅㅅ 썰
난디시 해축ㅈ갤유입임 축구보러디시가입함
디씨 윾입된썰
시발 과로사가 뭔지 이제 처음알았네 ㅋㅋㅋㅋㅋㅋㅋ
남자 입장에서 야스썰을 풀기 좀 뭐한게
나두썰풀게
나두썰풀게
주제던져주면 썰풀어줌 ㅇㅇ
미안하다
gif파일은
본인 수능 2번 봄
시발 수능떡밥 급식새끼들 깝치네
본인반수할때 썰
야 시발 나 탈모온듯
틀1딱들 썰좀풀어봐
자퇴 혹은 자퇴 예정 댓글 달아봐
흥미로운 주제는 만들면 생기는건데
학교뛰쳐나올때가 생각나네요
처음 딸친 새끼는 누구일까
현역 수능 벼락치기 후기
시발 수학 30분 남았었는데ㅋㅋㅋㅋ
와씨발년들 공부존나잘하네
시험 ㅈ망한 엔붕이 입갤
하아디씨도재미암ㅅ다
금을샵시댜
옥수수 동동주 먹을만 하네
가을
사회에 우울증이 너무 심하게 퍼져있다
종일 땀이찼던 두손
진짜 분위기는 이런거지
밴치프레스 100kg 들고 싶다
필터는 모르겄고
스물다섯 스물 하나
진짜인스타보는대 ㅈㄴ못생긴애
걍 뭐가되고싶은건지모르겠음
걍 안잠
와 잤다 일어나고 거울봤는데
아...아앗!
걍 잠
형 동생? 
또잇어
이것두 보고가셈~~~~~
우리집 옆에서 일어났던 살인사건 썰 대기중
a b c ??? 짐작도 못하겠다
나를 좋아하는 사람이 3명이나 있나
이것도 무서워 ㅠ
나두 무서운거풂
보여줄게
걍 지금풀자
내가 인생 말아먹은 이유
그냥 운동이나하자
급딱 엔팁녀들은 왜케 순수하고 귀엽고 말투가?
밑에 유동 175 왜저러는거임
증거 인멸을 습관화 해야겠노
여기 인간들 다 작별인사 왜 하는데 아 시발 뭐냐고
