enfj
나도 샤스타데이지 나왔어
엔프제가 어떤 성격인지 구체적으로 알려줄 수 있어?
플록스 나오는 선택지가 뭐야?
나랑 사귈여자 이리와
원래 이 mbti가 왔다갔다하나?
여기 망했어?
엔프제들은 그다지 진지한 대화는 안 좋아하는 듯...?
너네 동물 좋아하는편이야?
샤스타 데이지! 나왔어
각 꽃에 해당되는 mbti 유형 긁어옴
"성격은 선척적일까, 후천적일까"
나 플록스야
꽃테스트 히비스커스 나옴
엔프제들 꽃 테스트 해방
한국사 최태성 선생님 오랜 팬인데 이 분 엔프제 같아
그림 그리기
엔프제 회피형 답도 없다
엔프제들 은근히 마조경향 있는거같아
책과 심리학을 가까이 하게 되면서 생긴 변화
enfp/enfj/infp가 섞인듯
enfj 남자 기분안나쁘게 거절하는법
엔프제들 도와줘... 번아웃 너무 심하게 왔어
너넨 사람이 한번에 확 좋아져?
엔프제 분들은 호의를 참 잘 베푸는것 같아요
ENFJ들아
ENFJ 개답답함
"엔프제 친구들,뭐좀 물어볼게요 (본인isfp남자)"
ENFJ 남자인데 남 눈치 안보는 방법 없나
그냥 남 돕고 사는게 재밌어서 돕는다는데 왜 이해를 못 해주는걸까.
enfj랑 esfp랑 최악의 궁합이야?
엔프제들 친구랑 연락빈도 어떠심니까
근데 니네는 좋은 사람 생기면 티 팍팍 내는거
안녕
인팁인데
너무외롭고힘든데 아무나친구하실분있나요????????????????????
다들 게임 좋아해?
얘들아 감정기복 어떻게 조절해
아 고민 들어주는거 너무좋아
전에도 말한 엔프제 꼬시는 방법
엔프제갤 엔프제 특징
인간관계 고민 내 예기 좀 들어줘
엔프제한테 막 들이대도 돼?
야 엔프제만 들어야할 충격적인 소식 있음
한달 정도 남았네
엔프제야 사랑해..
상대가 ENFJ인데 무슨 마음인지 좀 봐줄 수 있어?
짝남이 좋은 사람이 아닌 것 같아..
모든 사람이 다 나를 좋아해 줄 수는 없구나
Enfj들 외모 신경 엄청쓸껄
날씨가 춥다
썸 추진력 테스트
이과인 엔프제있어??
'모두들 열심히 살려고 노력하는구나' 하면서 기분 좋을 때
난 ENFJ가 맞나봐
잘못된걸 보고도 넘어가야하는 상황이 너무 힘들어
오늘 되게 마음에 와닿는 문장을 봤어.
Enfj 연애 시작할 때 원래 일케 조심스럽냐
ENFJ 인데 많이 어긋난걸까?
엔프제특중에 유일하게 공감안되는것
정말 오랜만에 만나서 베프된 동창친구가 엔프제였음
그때 여친있는 상태에서 들이댄다는 걔
"여긴 엔프제갤이아니라 명동성당,고해성사 갤러리같다"
애들아..
썸붕
며칠 후에 엔프제 친구가 생일인데
결혼 질문 좀
안녕 ? 엔프제 도와죠
사람한테 기대했다 실망하는거
너희는 사람을 어떻게 생각하냐
너희랑 대화라도 하고싶은데
줄곧 엔프제였는데 직딩되고부터 
Mbti의 현실
Enfj 내 특징 겸 소개 30가지
내가 기준 연애분석
ENFJ 애정결핍
엔프제한테 가스라이팅 당하는데
ENFJ 성향이 원래 이래???
enfj는 좀 그런게 있음
"나entj, 친한친구 두명 enfj 특징"
관리직 하다 힘들어서 그만뒀는데 다시 땡긴다
타유형 와도 반갑고 좋다 한 사람이였는데
여긴 엔프제갤 맞음?
내가 사실 엔프제였다니
enfj 분석 추측임
주변의 엔프제들 특징 (나포함)
우리집이 경제적으로 힘들다는 사실을 알았어요
난 Entj 인데 엔프제 칭구랑 놀때 젤재밌음
엔프제는 야해
나는 엔프제 만나면 꼭 잘해줄거야
여기는 왤케 엔프제 본인들은 없고
enfj가 젤 행복할때는 언제야?
다들 인생영화가 뭐야?
생각하는 ENFJ 의 특징있음?
엔프제가 잔소리간섭 닭살돋는말 잘하지?
Enfj 안녕
10개의 질문으로 판단하는 BIG5
Enfj 유형이 다 같은거 아니야
어장잘할듯
내가 본 enfj 중에 흑화돼서 악마같던 남자
가장 과학적인 심리검사는 big 5라고 하잖아
미움 받을 용기?
쓰레기로 살려면 최고의 재능이라고 생각은 해
바람피는 enfj  심리는뭐야?
ENFJ에서 ENTJ나 ENTP로 바뀌려면
인생 처음으로 엔프제 목격함
너무 과신하지 마라
"엔프제 님들 고민이 있어요,,,!"
엔프제가 날 너무 흠모만하는데
말이 안통하는 사람을 만났을 때
이거 내가 이상한거니.???
엔프제 입니다
엔프제 여자 주변을 둘러보니
내 기준 엔프제 너무노잼ㅁ이야 ㅠ
난인팁인데 엔프제친구랑 공통점
"ENFJ의 무기력, 비관적으로 변했을때 조언 부탁"
내친구 엔프제가 힘들때 힐링되는게뭘까?
Istp인 나는 
이런 경우는 기다리는게.맞겠지?
나만 그런걸수도 있는데 엔프제는
신기하단 말이지...
오 ENTJ 나 왔다 원래 ENFJ 였는데
엔프제갤에 금사빠나 금사식 있나요?
엔프제들아 도와줭
enfj enfp 궁합
안녕 나는 잇프제고
엔팁갤이랑 분위기 다른거 웃기네
야근 vs 회식
짝사랑할 때
너희도 애들한테 t같다는 말 들어?
감정기복
엔프제 녀들만 답해주세요
Enfj들아
왜 엔프제갤은 인프제갤보다 글 리젠률이 낮을까??
관계 정리했네
이건 개인 성향이겠지?
엔프제들아 니네 이상형이 어떻게됨
말을 어떻게 걸까
엔프제는 진짜 골든 리트리버 같아
나 잇팁
나는 내가 너무 힘들어 
너네 중요한 시험 있을 때 어떻게 변해?
절친이 엔프제인 인프제예요
나 그제부터 온 istp인데 enfj한테 질문하나ㅎ
잇프피 구경옴
와 진짜 환승이었나봐영ㅋㅋㅌㅋㅋ
나는 사람만나는게 좋은거같아
ㅎㅇ 어제온 istp 또옴
너무외롭고힘든데 아무나친구하실분있나요????????????????????
istp 여잔데 enfj 남자들 보면 이론적으론 완벽한 남자임
엔프제는 연애 상대가 아냐
ㅎㅇ 나 istp
엔프제도 우울증와??
enfj의 평균적인 연애 레파토리
Enfj가 손절할 때
승무원 여돌 여자bj등과 문란한관계가진엑소 찬열
INTP 여자 질문합니다.
mbti 현질후기..
차였어요
인티제 입장에서 본 엔프제
너희는 아이폰 뭐가 더 이쁘냐
엔프제 진짜로 만나보고싶다
엔프제갤 둘러본 후기
친구가 ENFJ래서 와봤는데
Enfj 지겨운거 진짜 못참지않냐
엔프제 남친이랑 있었던 이야기들
TP인데 FJ로 바뀐케이스야 반갑다 ㅎㅎ
성격 좋다
❤☣⭐✅♿♋사랑해❤☣⭐✅♿♋❤☣⭐✅♿♋사랑해❤☣⭐✅♿♋❤☣⭐✅♿♋사랑해❤
어제 너무 이쁘신분께 번호받았는데 enfj더라
나만 그런가
엔프제가 젤 많이 듣는 말.real
MBTI 유형별 선호도 조사
모든 유형은 N을 S로 바꾸면 더 좋아짐(펌글)
상황이별하고 상황이 더 좋아졌을 때
ㄴ ㅓ 무 외롭고힘든데아무나친구하실분있나여?????????
애들아
엔프제가 마음에 안고 살면 도움되는 것들 
저 인팁인데
엔프제 남친 어떻게 위로해주면 좋을까
enfj인데 공감능력 없는건 뭐야?
자정에 장범준 신곡 나온다~~~
엔쁘제들아 이 만년필 중 하나를 공짜로 준다면 어느거 고를래?
애인 안 떠나가게 하려면 스킨십이 참 중요하다고 생각함
(넋두리) 헤어지고 오랜만에 힘들어서 와봤당ㅜ...
enfj는 왜 맨날 이딴것만 나오냐 씨발
ESFJ/ENFJ
이누야사 신작 보니까
엔프제 사회성 부럽다
enfj가 그렇게 사기를 잘당하냐?
난 내가 INFJ라고 생각했는데 아무래도 ENFJ가 더 맞는 것 같음
ISFJ인데 너네 맘에 든당♡
안녕하세요 행복하세요 사랑합니다!!!!
어릴때 Enfj꿈 끝판왕
생일선물 뭐좋아해 너네
ENFJ반갑다이기야
아침 자 나의 enfj 특징
나무위키 enfj 특징 읽어보면서 나랑 비교한번 해봄
여기 오늘 처음왔는데 나랑 생각 비슷한사람들 많으니까 신기하네
올해는 비우는게 많다
엔프제도 집에 있는 성향인가?
ENFJ 성격 형성 과정
너넨 스낵테스트 뭐나왔냐
똥 마려워
이거 어떻게 해야 함
하소연????
엔프피로 잘살다가 
enfj 복학생 남 완숙한 선배들의 조언을 구한다고 알림
ESFP 등장!!
인프제랑 엔프제 차이가 뭘까
너희는 진짜로 착한거야 아니면 착한 척 하는 거야?
엔프제들아 사람 어디서 주로 만나?
뭔가 소년만화 주인공 같네
모두의 귀여운 엔프제 여기에 등장!!
너흰 isfp어떻게 생각해??
여기 천사갤러리라는데 진짜네
내가 좋아하는사람 VS 나를 좋아해주는 사람
좋아하는 엔프제에게 뒷담화해도 ㄱㅊ?
Istp에서 왔는데 너네는 말투부터 귀엽네
A랑 T 차이.
망갤테스트
인팁인데
엔프제들 힘들면 연락 잘 안돼?
엔프제들아 궁금한 게 있는데
Enfj들아 사람한테 귀엽다
엔프제 갤 먼가 조회수는 높은데
내가 제일 싫어하고 스트레스 받는 일
infp인데enfj친구가 나한테 잘해줘서 너무 고마움
엔프제는 자기만 좋으면 상대가 애인이 있어도 상관없어?
시간 가니 동내친구보다 타지 친구가 좋다
나.. 유형이 바뀐거같아..
내가 enfj인데 말을 잘하는 편은 아님 ㅅㅂ ㅋㅋㅋㅋㅋ
갤주님 그려왔어
애들아 항상 사랑하고 고마워.
Enfj분들! 어떤일하세요?
인팁 어떻게 생각해??
엔프제들은 롱디 어떻게 생각해?
타 유형에서 왔는데 enfj에게 궁금한 게 있어
ENFJ 남자인데 궁금한게 있어
부드럽고 상냥한 느낌이 너무좋아
무섭고 너무 아파
억지로 심어놓은 긍정이 나한테 딱 맞는것같아
엔프제인 전남친이 헤어질 때 했던 말인데 해석좀..
호구잡히지 않는 엔프제는 무슨 유형일까
너네 친한사람한테 정떨어지거나 속상한일있으면
엔프제에게 손절은 뭐야??
있잖아 내가 할 말이 있어
멀쩡히 놀던 친구가 갑자기 차단박음
글 일어보니까 나랑 비슷한것 같기두 아닌거 같기두해..
엔프제들은 좋아하는 사람 앞에서 어케함 (제발 댓글 많이)
지나가다 이 갤 보고 생각나서 16퍼스날리티 다시 해봤는데
엔프제들아 이상형 말해봐봐
맛있는 녀석들 MBTI
살면서 나만의 특징이라 생각했는데 ENFJ특징인거있음
엔프제 남사친이 있는데
힘드러...
국내 ENFJ 갤러리입니다. 많이많이 놀러오세용
47377271718833833339393
Mbti 갤들 보면 유형별 흑화된 모습으로 한번씩 얘기 나오는데
엔프제들은 선물받는거 좋아해?
우리아버지 엔프제임
ESFJ에서 ENFJ 되는 경우 있음?
너네들 거짓말은 어캐 생각하냐 
여기 글 하나 쓰면 조회수 왤케 많이 찍혀?
엔프제 열등감 글있길래 적는 건데
질문이요~
너네 동물실험에 대해 어떻게 생각해
윗 사람한테 칭찬 받으면 조금 부담 돼
ENFJ하고 INFJ 하고 주기적으로 번갈아 나오는네
탈갤
내가 아는 엔프제 비밀
INFP 인데 놀러왔어요
엔프제가 좋은 인프피
enfj들은 뭣땜에 사귀다 차이는거같아?
Enfj가 되는 과정.
여친이 있는데 자꾸 대쉬하는 enfj때문에 돌겠어
엔팁이랑 엔프제 어때?
재회해본 엔프제 있니
나 infp인데 enfj랑 이성적으로
엔프제가 1퍼센트라고?
Enfj 연애특징
엔프제와 엣프제
오늘 mbti처음해본 29살 아재다
이건 어떻게 이해해야 할까???
엔뿌제가 내 이상향인데
인팁인데 구경옴
e .i 랑 사귈때 차이점
잇프제 놀러왔오
남자 엔프제가 전국민중 0.5%라는데
시 쓰고싶다
글쓰고싶어
본인 생각 평가 좀
지가 잘못하고 거리두는 애들은 어케 생각함?
엔프제가 이별할때 특징
너네 먼저 헤어지자한 적 있음?
사랑핸프제
 엔프제T 모솔 정상임?
인프제가 본  enfj 갤러리 특징
너네 못어울리는 사람보면 도와주고싶고 그러냐?
안녕 옆갤에서 놀러왔어
걍 우리는 착한사람 콤플렉스야
그는 당신에게 반하지 않았다
우리엄마 엔프제 나 인티제
심장아프다
생각해보면 특히 isfj랑 궁합이 좋은 것 같아
엔프제면 다 집착 심함?
엔프제들은 연인이 집착심하면 어떰?
엔프제인 내 호구짓 모음
어딜가든
난 아이 대할 때 특이하다고 들음.
가까운 엔프제 특징 28가지
모든 유형중에서 엔프제가 제일 불쌍한놈들 아닐까
심리치료를 받아야 하나
엔프제인데 연애 처음한다? 하지 말아야할거
다들 에니어그램 해봄?
엔프제 특유의 부드러움
앤프제가 화나서 키배뜰때 꼭 쓰는거
머 히나 물어보고 싶은데
여자는 나쁜남자한테 끌리나
나 enfj 남인데
안녕 엔프제
니네 연애 다들 잘하는편이야?
엔프제 고백 어찌 하는지 앎?
ISF(t)J가ENFJ를 만나면서 느낀 점
ENFJ 7w8인데
엔프제는 어떤여자 만나야 힐링 가능하냐
엔프제 특유의 부드러움 
질문 한번만 하고간다
엔프제인 내 애정표현들
나 회장같은거 한번도 해본적없는데 만년 엔프제나옴..
인프제랑 잘 맞아?
썸인지 아닌지 알고시퍼..
학생 때 iq 테스트 같은거 하지 않아?
애드라 너넨 이때 어떻게 할거야ㅑ
엔프제들 사람 만날때
엔프제 인생 한번 들어봐주라
헤어지고 연락 읽씹한거면 끝난거 맞지?
엔프제인 내가 제일 잘 파악하는거
내 남친이 enfj야
"19) 엔프제들아,"
정이 쉽게 떨어지지 않는데
MBTI가 좋아서 그사람이 호감인게 아니라
엔프제가 제일 손해 보는 것
나의 이상형
infp가 본 istj enfj
infj) 어릴때 성격 추측해보다 오게된 인프제의 엔프제갤 감상기
정떨어진 상대한테도 상냥하게 대할수있어?
엔프제 글을 찾아보면
엔프제들아 isfj여자 어떻게 생각해??
나 슬퍼
엔프제가 좋아서 그 사람이 좋은게 아니라
엔프제는 어떨때 사람 놀림?
ENFJ 공감능력 경험한 썰
NF들.txt
난 넓은 인간관계가 좋은데...
나 엔프젠데 특징 적어봄 ㅋㅋ
난 이런데 니들도 이러냐
나 원래 엔프제였는데 야갤하니까 성향 바뀌는듯
엔프제 원래 이래? 진짜 손절하고 싶음
엔프제 고민 좀 상담해주세요 ㅠㅠㅠ
Infj enfj 번갈아 나오는데 정상인가요
크리스마스에 딱 100일되는 커플인데
엔프제 엣프피
이 댓글 겁나 엔프제스러움
에니어 4번 인티제인데 놀러왔어
야 enfj 원래 공감능력제로냐
뭔가 나가고싶어서 막 약속잡고 나가는 편
내 여친 INTJ인데 천생연분같음
니들 관심 하나도 없었는데 한 번 검색해봄
나요즘 진짜 자아를 찾은거같아....
Esfj 남친 사귀는중인데 좋다
엔프제인데 I같다는 소리 들었어
엔프제 왜 다투면 먼저 연락안하나요
enfj 친구 연락안옴
스스로 일 못해서 실수한게 계속 마음에 남는데 어쩌지
나 좀 도와줘
ENFJ인 나 특징 주저리주저리 적어봄
enfj가 사람보는눈이 없다면
enfj특
엔프제가 사람하나 나락으로 만들때
엔프제 유형인 사람을 만나보고 싶어
난 오래사귄건 두번 사귀어봤는데 둘다 바람엔딩이었음
엔프제들아 너희들은 살면서 고백받은적 있냐
여동생이랑 나랑 똑같이 ENFJ임
남자 ENFJ있어??
지나가던 타유형인디
INFJ가 생각해본 NFJ
나를 이해해줄 사람이 없어서 너무 외롭다
Enfj가 화낼때 많이듣는말
엔프제님덜 에니어그램 뭐나와요?
안녕하세요 인프피갤에서 왔습니다 
엔프제 특징
INTP이 본 ENFJ특)
엔프제 특징
이 유형 여자는 어떻게 대해줘야되냐
님들도 금사빠임?
우리엄마가 enfj인데 내가 본 특징
enfj나 isfj 착하다고 환상 뒤지게 갖고다니네 
내 베프가 enfj야
보통 부모님이 감정적이면 자식은 이성적이고 그런가?
갠적으로 인간관계에서 거르는 사람
여러분들 소심하다는 말
TOP4 순하고 착한 유형
엔프제가 하기좋은 직업.
부모님 엠비티아이 해봤어?
isfp가 본 enfj
애들아 이별 후유증 어느정도 가?
엔프제는 사랑하면 좋은 유형인거 같은데
"나도 엔프제인데, 이거 유전"
enfj인데 게으를 수 있음?
이런 관계 어찌 생각함?
아 좆가탕
ㅎㅇㅎㅇ ENTJ 놀러옴
엔프제녀랑
INTP 아들이 살면서 지켜본 ENFJ 아버지
엔프제 단점
착해서 등처먹히기 좋으며 감정기복이 심한 호구님들 안녕하신가
이런 갤러리도 있누
엔프제가 선한 이유
들어본 소리중 가장 이해 안 되던게
INTJ랑 INFJ갤 가봤는데
오 사람이 는다
안녕하새오 메롱이애오
intj 놀러왓어요
본성대로 댕댕이처럼 굴고싶은데
너네도 동정심 많냐?ㅠ
상대방한테 금방 정주고
ENFJ랑 ESFJ 자주 오락가락하는데
여기가 엔프제 갤인가요
비슷한 질문 많았을텐데 이 유형이 좀
혹시 다들 좋아하는 시 있니
응애 나 아기 인붕이
무슨129?
갤에서 왜 좆목을 하고 그르냐
지나가던 잇팁인데 제대로 된 MBTI 궁합표 올리고 간다
"나포함 친구 셋 있는 단톡방에서 ,,;;"
이거 인증하면 되는거야?
뭐야 enfj갤이 있었어????
너네 isfp 어때?
ㄴ ㅓ 무 외롭고힘든데아무나친구하실분있나여?????????
진짜 디시는
ENFJ떴는데
이런 사람만나면 어떻게 할거같음?
이런 사람 어때?
진짜 소름이다.
엔프제 가만히 좀 못 냅두노?
ENFJ - ISTP
엔프제 패시브 
같은 엔프제도 사바사자나?
따뜻한 사람이 되고싶다
난 ENFJ인데 장점도 장점인데 난 단점이 참 불편
너희는 어때?
뭔가 엔프제가 모든 유형중에 호불호 제일 덜 타는 것 같아
최수종 배우가 엔프제 같다
좋아하는 여자애
관심좀 줘
누가 추천해줘서 온 인팁이야
enfj infp 천생연분 에러래
엔프제인데 인프제랑 거울관계야?
나도 여친한테 귀여움 받고싶다
나 엔프제인데 특별하다면 뭐가 특별함?
가을이 온다
오오오오?! 나더 바낌
나 이제 ENFJ아님
나는 ISTJ랑 ENFJ랑 반반인 것 같아
응 엔프제가 희생잘한다거
안녕?나 ENFJ - T
아 미친 이런 갤러리도 있네 ㅋㅋ
엔프제 희생잘함
너네가 서운한게 생겨서 애인을 찼는데
우리나라 5%의 사람들만 있다는 고시군
여기가 바러
아빠 작년에 돌아가시고
ENFJ는 이기적이에요
엔프제에 대한 비난.
ENTP & XNFJ
왕 컴퓨터 배경화면에 시계 위젯 띄워봤는데
여기 그래도
"엔프제의 착한 척에 대해서 말인데,"
enfj갤러리도 있었네.
나같은 엔프제 친구 있니?
사랑의 단계
내가 상담받았을적 이야기
애들아 내가 재밌는거 알려줄까?
안녕하세요 믑티 설문조사 하러 왔습니다
인프제 엔프제는 MBTI 커뮤의 유니콘같은 존재임
엔프제랑 친해지기(실전편)
Enfj 에게 어울리는 직업은 뭐인가요??
사람에대해 맹목적 이상화경향이있다는데
enfj유형
나 t랑 f가 별로차이안나..
isfp 어떻게 생각하니
Nfp들이랑 연애해보신분
성격테스트가 많긴하다
나도 성격테스트들 해봄
나두 테스트 해봤당ㅎㅎ
엔프제가 보는 다른 성격들
Interlude
사랑해
엔프제가 요런가
엔프제의 질투가 궁금해
ENFJ가 비유하는 ENFJ
너네 너무 기여움 ㅠ
남 돕는게 너무 좋다
날씨 너무 좋은거아냐..
성격테스트햇는데 나 뭐하는 사람임?
엔프제와 엔프피의 차이가 뭐니..
ENFJ특 
enfj랑 친해지기(첫인상2)
enfj랑 친해지기(첫 인상편)
내 고민좀 들어줄래?
상대방 장점 보는법좀 알려줘 
와 이런 갤러리도있넹 ㅋㅋㅋ
뭔가 별로인거같아서 검사 세번했는데 똑같이뜨면 진또배기냐
엔프제 단점만 고치면 된다
내 지인 엔프제남 특징
enfj 갤러리도 있네ㅋㅋㅋ
지나가던 2x엔프제 남자다 느와르급 내인생사 들어봐라ㅋㅋㅋㅋ
나가고 싶네
enfj는 선물 받을 때 뭐가 더 좋아?
태풍이 온다ㅏㅏㅏ
난 자상한듯
에고그램 테스트라는게 있넹
여기분들 귀차니즘 심한가요?
너네 대표캐릭터임
엔프제 집착 얀데레끼 있다는데
ㅗㅜㅑ
저두 성격검사 해봤으영
나도 해봤어 성격검사
enfj 획득 방법
Enfj-t 
엔프제성격테스트들 거의 연극적 많이 나오네
난 이렇게 나오네ㅋㅋ
우리 엔(프)젤들아
enfj들도 누구 좋아하면 스토킹함?
사진안올라가서 재업.. 성격테스트해봄
성격 부정적인거 테스트해밧다ㅓ
안녕 intp야
mbti에 관해
enfj는 
"나를 삶의 ""기만자""라고 불러줄레"
ENFJ의 뭘 추천해줄 때 특징
enfj 헤어지면 휴우증 오래가는 편이야?
엔프제랑 한번 싸웠었는데
우리 아버지 enfj임
우원재 11 들어봤니?
설렘을 자극하는 노래 추천
난 반사회적 높게 나왔는데
연애할때 썰
나도 해봤다 성격 스타일 테스트
ENFJ의 안좋은 예(욕 있음ㅇㅇ)
성격테스트 이거 맞는거같음??
다시해봐도 enfj A 나오는데
기끔 이런 생각을 함
a랑 t차이가 뭐야?
엔프제 친구들 연극적이 많이 뜨는데 내가 보기엔 이런거 같다
MBTI검사를 다시 해 보았다. 그런데 세상에
어느 엔프제 이야기 2편
나도 복합적이네
나는 이렇게 나옴...
난 왜 연극적이야 ㅜ
ENFJ - T 성격 테스트
ENFJ인 내 특징
나사너랑해
심심해서
잇티제(ISTJ)랑 사귀어본 엔프제있삼?
ENFJ는 TMI임??
너희들 기 센사람 좋아해?
서른 아홉번째 소개팅~
제주도여행 가고 싶다
다크 엔프제 본 적 있음?
사실 나는 갈등이 정말 싫어
오픈카톡으로 연애상담해준 두명 고마워
어느 엔프제 이야기 1편 (스압주의)
연애하고 싶다.
enfj 남자 관찰 후기
여긴 조회수는 높은데 댓글이 없어ㅜ
엔프제가 많이 없다..
Enfj들아 사람 쉽게 질려해?
ENFJ 내 특징
enfj 본인들 특징써
MBTI신기해서 얘기 더 하고싶은데 조용하노
다음 말을 들었을 때 엔프제의 반응은?
썸이랑 연애했을 때 이랬음
세상이 흉흉하다.
다들 enfj 만나봤어?
엔프제 특징이나 소개 나열한 글 링크점!!
ENFJ - T 자기소개 /쥰내 김
isfp 친구 어떻게 생각해?
안녕!!
ㅈㅂㅅ...
ENFJ 뉴비임다
ENFJ 로 보이는 이성을 처음으로 만남
ENFP ENFJ 궁합..
인프피 어떻게 생각하냐
ENFJ 남친 만나고 싶다
엔프제 친구가 슬퍼하니까 맘아파
엔프제는 한번 정준 사람 얼마나 오래 못잊어?
난 인티제 여잔데 엔프제남친없인 못살아
지금 깨달았네
"전 infp, enfj?"
엔프제들아 우리집 강아지할래?
저는 infp인가요? 아니면 enfj인가요.?
태풍오는데 바닷가로 캠핑가고 싶은데
애드라 나 질문이써!!!!
이거 기분나쁜거 예민한건가?
츤데레 소리 듣는 엔프제 있음?
어제 양주먹고 오늘 푹잤더니 뇌가 깨끗해진느낌
인팁인데 enfj가 f 중에 가장 좋은 이유
요즘 분탕질하러 온 애들이 많아보이는데
얘들아 이것좀 봐봐 진짜 어이가 없네;;
엔프제들 질문 좀
잇팁 인팁들이 요즘
잇팁인데
16 Personalities 콘이 출시되었습니다.
엔프제들 너무 매력있는거아니냐
엔프제들 넘 귀엽다...
다들 한번은 노래가사때문에 울어봤지?
자기 관찰 해봄
자기관리 얼마나 함?
나 인팁인데 진짜 니들이 최고다 ㅠㅠ
엔프제 갤러리까지 와서 앞담까는거
내 주변사람들 mbti
엔프제들아 연애 상담 좀 해줘ㅠㅠ
enfj 연애 질문 점
(진지) 엔팁인데 엔프제 같은 스타일 ㄹㅇ 극혐임
내 느낌상 ISTP/INTP : 주관100%
연애상담도 혹시 받아줄수있니?
어때 얘들아
ENFJ - T인데 진짜로 희귀한거 맞아?
안녕얘들아 
저스디스 엔프제인거 들어봄?
enfj들아 사람 손절했다가 어떨때 다시 받아주냐?
내 삶 이야기 
나 istp인데 전남친 거의다 enfj야
엔프제 그런거있잖슴?
마스크 안써서 싸우는걸 목격.....ㅠ
엔프제의 카톡 대화
내가 생각하는 MBTI
찬물을 끼얹은 것 같아 사과드립니다.
ENFJ가 보는 다른 MBTI
서섥아 미안 ㅡ.ㅡ
너희가 엔프제 남자를 못만나는 이유
enfj남좋아하는데
여기 글을 쭉 훑어 봤는데 어이가 없어서 진짜
중사때 MBTI검사를 했는데
내가 요즘 듣는 노래야 같이 들으면 좋을 것 같은뎅
갑자기 광고좀 할게 동지들 분명 좋아할거야
너네도 가끔 인류애가 막 가슴 속에 솟구치니 
두나랑사해
사랑해
엔프제 인성(본인)
엔프제들 교사 있어???
엔프제를 강아지라고 비유하잖아
막 보수적인 거나 순수해보이는 게
이정도면 정의의 사도 아님??
"엔프제 호구로 보이냐,,,"
아무나 엔프제남 공략하기같은것좀 써줘봐
맘에드는 이성에게 어떻게 접근하냐??
ENFJ행성 탐사 보고서 
엔프제 남자인뎅. ..
너희는 비슷한 성향인 사람들이랑 잘 맞아?
엔프제 까다로운 듯(본인)
변하는 mbti 유형에 대한 고찰
인프제에용
엔프제들아 순수하다는 소리 자주듣니?
너희들은 이런거 좋아함?
와근데진짜신기하다
나 ENFJ 좋아하는사람 있는데 궁금한점..
엔프제가 얀데레 성향이 있다는데 맞어?
엔프제들아 혹시 되고싶은 유형있니?
"심심해서 해봤는데 -A, -T는 뭔 차이임?"
아래 궁합표 보완설명(따지는거 아님 심심풀이로 보자 ^^)
엔프제중에 랩부르는거 좋아하는 사람 있니?
enfj랑 infp가 궁합좋다고하잖아
ENFJ 희귀한 거맞나요?
얘들아 너네 인스타 계정 몇개야..??
코로나 잠식중 대피경보 발령!
3.
2
1
"istp,intp들은 엔프제 보면 어때?"
intp가 본 enfj랑 esfj 차이점
간호사 있어?
방금 까이고옴....
나두 엔프제 빙고 !!
