enfp
내가 사람에 대한 기준점이 높은건가 싶을때가 있음
상대가 나때문에 웃으면 개 좋아함 ㄹㅇㅋㅋㅋ
인프제인데 엔프피랑 친해진 거 맞나?
마상 받았어ㅠ
스트레스 오지게 받는다
나도 엔프피지만 enfp가 좋음
이게 한정판 만년필이래
엔프피가 정말 사랑하면
엔프피는 연애상대로 별로인 거 같음
숙제 하기싫을때 꿀팁
어제 실수로 여기에 글을 못올렸는데 나 코로나걸림
페르소나인 엔프피..?
엥푸피들 나만이러나 
니들
너흰 공주영 공감 가?
다녀오겟습니다..
내일수능보는친구들
연애할때 상대한테 원하는거
진짜 싫은 유형 중 하나(엠비티아이 얘기 아님)
T들은 싸가지없고 F들은 감정적이고 이런말 나오는 케이스 보면
이거 존나 예쁘다 
아 오늘 하루 너무 정신없었다
인티제인데 엔프피 귀엽긴 함
enfp 남친이 트집잡길래 졸라 화냈는데 
entp여자어떰?
본인 듣고 울었던 노래
울 앵뿌삐들 수능잘봐!
엔프피 수능 화이팅
나도 내일 수능본다
엔프제칭구 있는 애들아 고민있어ㅠ
고민있음
근데애들아  난엔프핀데 갑자기 개풀발할때있는데
형들.. 나 고3 수험생인데..
나처럼 자기가 싸이코인지 의문 가지는 사람 있어?
엔프피는 사랑하는 사람한테 어떻게 잘해줌?
인프제랑 엔프피랑 맞는거 맞냐 ㅠ
enfp랑 entp 차이는 이거 아니냐
노래방가고시픔
엔프피방에 들어갔는데
Enfp랑 Estp 원래 잘맞냐????
엔프피를 하염없이 기다리는중
나도 엔프피지만 엔프피 너무 좋은거같아
에너지가 사라진 엔프피는 그냥 인프피 아닐까
인프피는 왤케 활력이 없는거야...
"여기갤은 왜망했니,,,,,"
엔프피는 친구랑 뭐하고 놀아?
엔팁이랑 엔프피랑 섞인것같아요
난 enfp 가 아닌거 같아
안녕 엔프피 친구드라
너네 썸타던 사람이랑 마지막 작별할때 기분이 어떠냐
잘생긴 인프제랑은 그냥 보고만있어도 재밌어
별그대 천송이는 enfp냐?
출근은 재밌는데 일은 노잼
엔프피들은 직업없는 백수가 대시하면
인프제들은 너무 찌질해
엔프피에 대한 맘을 접으려고
엔프피랑 엔팁이랑 머가다름
엔프피인 내가 좋아하는 이성의 행동
Istj-enfp 사귀었다가 헤어지고
님들이 생각하는 가장 ‘엔프피’스러운 영화는 뭐임?
엔프피드랑
나 enfp isfp 번갈아가면서 나오는데 정상인가...??
enfp가 좋아할만한 행동 뭐가 있어
하기 싫은 일... 자살 충동 들 정도인데
사람이너무좋아서큰일
유치한 질문이지만 질문좀 드리겠습니다
엔프피 여자애 연락왔는데 뭐냐.
엔프피 붙드는 방법 알려줘
다이어리 쓰는거 재밋다
엔프피 유독 하기 싫은 일 할 때
mbti마을ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
"결혼, 연애상대로 ENFJ 어떻게 생각하세요??"
엔프피중에 광공 있어???
꽃테스트에서 베로니카 나온 엔푸피잇오??
INFP랑 ENFP랑 왔다갔다하는데 나같은 사람?
죽고싶ㅇ
엔프핀데 친구 별로 없어서 박탈감듦..
김장햇더
NP유형 맞춤공부법
안녕 잇프피 동네에서 놀러왔어. 
엔프피 친구들 보고 느끼는 점
나 엔프피인데 남친도 엔프피임ㅋㅋㅋㅋ너무 잘맞아 
꽃 테스트
나 이직했는데 팀원이 esfj estp 팀장은 estj여서
너네들은 별로 대화안하고 싶을때 대화 어떻게 끊어???
날씨조지개춥네
난엔티제싫으면서한편으로는부러움
어제 센과 치히로 보다가 잤는데(스포잇음)
엔푸피 음악 뭐듣고살어?
잇팁갤 타유형 금지 품
"요즘 성찰해보는 내 특징,성격"
나 진짜 감정기복 왤케심하지
엔프피 엔프제 왓다갔다하는데 머가맞는지 모르겠어
나 새친구 네명 사귀었는데 그중에 세명이 INFP래
누구인가?
악플 단다고 하기보다는 병신 줘패는거임
우이ㅔㅇ애ㅐ애ㅔ 누가 나좀 살려줘
다른친구들 인스타올리는거보면 뭔가 좀 이상하다해야되나
엔프피들은
지브리 테스트 나도 해봄
오늘 정신과 의사 둘이서 운영하는 유투브 봤는데
엔프피는 죽었다 깨어나도 악플 절대 못 달듯
치히로 재밋냐
엔프피들 애니어그램 뭐나옴?
한번우울증걸렸다가점점ㄱㅊ아지고있는데
???
병원 노쇼했는데 ㅈ된거?
다 모르겠고
왜 INTJ ENFP 조합이 유난히 인기많음?
뭔가 친구관계가 극단적임
연애 현타와서 그냥 같은 엔프피 만나려고
나 공부쪽으론 안갈건데 자퇴는 안하고싶음
엔픞랑 엔팁은 한 끝 차이긴 한데
나지금 기분 너무너무너무 좋다 ㅋㅋ
내가 남을 좋아한다는 사실이...
학생의 본분은 배움임 공부따위가 아니라
enfp 2 or 3명이랑 infj 1명 조합이면
enfp 지켜주고싶어
방금 친구때문에 우울했는데
둘 중 남들이 보기에 더 이뿌고 대단해보는거
엥뿌삐칭구드랑 너네 우울할때 어떻게해?
나 enfp 나왔는데
엔프피
좋아하던 노래가 무뎌지면서 아무 감흥이 없어지니까
장난치는거 좋아해?
INTJ/INFJ  -  ENTJ/ENFJ  -  ENTP/ENFP
여잔데
오 얘들아 나 꽃비티아이 결과 찾았어
얘들아 호구테스트 해봐봐
혹시 클럽 입뺀당한 사람 있냐
ENFP♡INTJ 밈에 대해서
돈주고 하는 테스트가 더 정확함?
Enfj 남성입니다
너희들은 책 많이읽음??무슨 책이 제일 재밌었어??
estj랑 대화특
실은 나 인프피가 아닐까
나두해봣어
너무 맘에 드누
나두해봤서
지브리 테스트
엥프피지브리테스트햇서
잇프피가 진짜 짱귀임ㅋㅋㄱㅋ
Estp 어떰?
뭐 유형따라 맞고 안맞고하는게 아니니까
생각보다 정확도 높네
나뭔가 안 엔프피같음
남자는 Enfp가 진국인듯 ㄹㅇㄹㅇ
Enfp랑 esfp 궁합은 어떤 편이야
꽃 테스트 
연애하고싶펑
 나 엔프피인데 애들이 나보고 다 대가리꽃밭이래
너네 무슨 노래 좋아해
나만 엔팁이랑 존나 안맞냐?
나 핸드폰 케이스 산거 볼래???
엔프피 훔쳐보러 간다.
남자 인티제가 꽃 mbti를 하면
너네도 질투 존나만냐
mbti 5번째..
엔프피는 인프피랑 잘 안되기가 힘들지??
나는 인티제 정말 안맞던데..ㅠㅠ 친구로든 이성으로든..
히빗스컷스 있어?
엔프피친구 십여년만에 찾아가면
엔프피갤엔 엔프피는 없다
엔프피들 좋아하는 사람 생기면 다 이러냐?
얘들아 나 격려 한마디만 해줄래..
나 격리될때 친구랑 한말
우리집 리모콘 내놔
니네 estj 어떻게 생각함
너네 어케 꼬심?
꽃테스트
잔잔하게 힘나는 노래.. 
우울해
이 셋 중에서 젤 예쁜게 뭐임?
일주일넘게 사람못만나서
엔프피 애들아 너네도 가끔 병신짓 하고싶냐
나같은새끼들 있는곳임?
꽃
"엔프피) 프리지아, 백정화, 사르비아"
나도 꽃테스트 해쬬
꽃테스트 해봤다
오헝향 조아용
니넨 이성적으로 좋아하는 사람 생기면
ENFP의 들이대기
으엥쁘삐 애교 많음?
enfp 남자랑 잘 연애하는 법.. 
내 꽃테스트
intj 꽃 테스트
낮에는 enfp였다가 저녁엔 infp
난 꽃 이거나옴
인프젠데 엔프피 남친이랑 싸웠거든
니네 꽃비티아이 뭐 나왔어?
인프피는 진짜 정병환자만은거같음
"보아라, 결국..."
bdsm ㅋㅋ
eq랑 꽃bti
나만 백정화 나온 거야?
미루다가 직전에도 안짜는데.. 
INTJ는 유니콘이야
꽃mbti
해야 할 거 회피하는 거 어케고침?
거의 비슷..
eq테스트 신기하네
잇프제랑 연애중인데
갤들 돌아다니다가 한심한 새키들 보여서 써본다
엔프피 인프제 커플 또하나더
선톡오면 어때
인티제인데 나 사실 너네 좋아
별 볼 일 없던 내게 네가 준 이별 덕분에
엔프피들
엔프피갤 하루 글 ‘7개’
엔프피인데 왜 난 T를 흉내내려 하는거 같지
엔프피인 나의 이상형
나ㅏ 엔프피인데 나만그래??
엔프피는 말라죽어도  tj stj가 필요한것같음
디시하기전엔 순수한 INTP였는데 디씨하고 염세적인 ENFP됨
엔프피는 사심못숨기는거 맞지?
난 엔프피 특징 이거 하나는 ㄹㅇ이라고 봄
엔프피는 기분파야?
엔프피 선톡 잘 하는 편이야?
엔프피 화났을때
앤프피 요즘 여사친이 좋아져서 힘들어 (장문)
스트레스 초과..
여가비용으로 20만원으로 남았는데 뭐할까
카페옴 ㅎㅎ
맛난거 만드렀서
엔프피 인턴 둘이랑 사원 
이거 엔프피 같은데 맞음?
괜찮은척 하고 말아버리는게 내 종특인가보다
울가족 MBTI 추측
ixtj인데 놀러왔따!!
어디선가본 이모티콘
아 스토리 공감 눌렀더니 옛날 친구한테 연락왔다
엔픞친구들아 다들 상담 너무 고마워 너네 착하당
모솔 엔프피인데 이상한 근자감이 있음
ENFP애두라 나 하나만 물어볼게
"모솔인티제에 대한 주절주절 - 1 (노잼,쬐끔수정)"
~참조하십시오가 뭐야?
방구 응가
응가
응가 방구
INTJ인데 여기 와보니 신기하네
28 인티제 모쏠임당
사랑 쓰레기통이야
진짜 인프제들은 왜 선연락을 안 할까
나 mbti 별로 안믿었는데 여기오고 생각이 바꼈다
그만 싸워
엔프피 형들은 인프피가 어떤거같아??
방에 모기 있는데 안경 없어져서 잡지도 못하네
난 연애보다 결혼하고 싶다
나만그런건지 내가 좋아하는 사람들은 다
사귈때 나만 그러냐? 내가 생각해도 애정결핍같은데
엔프피가 리더로는 최악 중 하나인 유형일듯
앵브비드라
원래 이별하면 이런거야?
엔프피는 주로 어디잇음?
나 전통 ㅈㄴ 싫어한다
고백하고 싶긴한데
인티젠데 오늘 헤어졌어
와 이렇게 한번만 살아보고 싶다
하 몇달간 나쫓아다니는 사람들이 있었는데
엥뿌삐 출근해
인프제 애인 있는 사람 있어???????
이성에게 본인이 가지고 있는 환상이라 할만한거 있어?
집수니 엔프피있어???
MBTI 유형 별 반응. JPG
여즘 기분이가 넘 좋아요~~
현역떴는데
크아  존예
여기선 힘들걸 말할 수 있어. 나좀 도와줄래..
스네이프가 인티제임?
이성동성 상관없이 사람 사귈때 유형 궁합은 별로 안중요함
엄마가 엔프핀데
엔뿌삐 회사일상
인티제랑 진짜 잘맞긴해
난 좋게 생각하는데
얘두라 유튜브로 반지의제왕시리즈 보려는데
너네도 상처받잖아 근데 왜 아닌척함?
엔프피 남자 입장에서 엔프피 여자
얜 그래도 착한 관종이잖아
도배 ㅈㅅ 노래추천
[혐] 그 이모티콘닉있잖아
누구나 스네이프교수에 한번쯤 빠져들지않아?
요즘 씨발ㅋㅋ 자살하고싶음
오늘아침 일과
친구들이 나랑 안놀아줌
어제 밤에 헤어졌어
우울해 인생에 낙이없어
얘들아 나 남자친구 생일선물 뭐 살지 같이 고민해줄래?
인턴 때 들었던 제일 어이없는 말
평생 만날 사람들에게
파랑vs초록
애니어
오노추
간지나는건 프렌차이즈 카페에서 나오는게 간지나긴 하는데
다이어리 사고싶다
너네 생일선물로 뭐 받고싶음? 
너네는 이별 어떻게 극복해?
ENTP-A 에서  ENFP-T로 바뀜
너무 너무 괴로워
햄찌떡
얘들아 병뚜껑은 다음시즌에도 유지되지?
연어장 맛있게 잘 숙성됐더
ㄹㅇ 인간비타민 ㅋㅋㅋ
enfp들 하루에 카톡 얼마나 해?
너네는 카톡 유형 뭐야?
하루에도 몇번 씩
안녕이란 말은 never 내게 이 세상은 오직 너와 나기에
한국 바둑학원 존나 유행햇던거 어이없지 않노. TXT
아아 나는 정말
연어장 만들었더
사랑은 너무 힘들지만
infj 한번이라도 만났으면
내 친구들중에 ESTP들 많어
엔프피가 인프제와 잘 맞는다는거
갤에 가끔씩 이상한 애덜 오는거 같누
너의 췌장을 먹고싶어에서 등장인물 MBTI
가슴웅장해지는 영화 추천좀
싫어하는 감정 없애는 꿀팁 같은거 있음?
엔프피 여자인데
에휴...
그저께 친구가 자기랑 말고 딴애랑 다니래
무슨 뜻 인지 모르겠다
Enfp는 진국스타일 안좋아해요?
엔프피랑 ISTJ랑 궁합 어때?
엔프피만 유독 그런 건가?
난 어릴때 a였다가 t로 바뀐것같음
엔프피는 에너지가 많은건 아닌것 같음
엔프피의 이상형 성격에 대해 생각해봄
엔프피 성인만 모아놓고 실내 놀이터 데려가면 다들 신나서 놀것같음
엔프피갤 특
학교에서 일기장 검사하는거 미개하고 사악한 행태 아니노.
선톡
어장인가?
엔프피는 이상형이 모야
정반대를 찾아서 잠시 들렀다 감
학교에서 짝남이
너희는 남친한테 선물받을때
잇팁이랑 어때?
정을 주다가도 서운한게 계속 쌓이면
초딩 때 바둑학원에서 야자 했는데. TXT
분별력 있는 부모들 특징. TXT
이런 사람들은 왜 그런거야 ?? 두 번째. TXT
이런 사람들은 왜 그런거야 ??. TXT
급십 인티제 eq테스트 결과
엔프피랑 얘기하다보면 왜 별명이 대가리 꽃밭인지 알게됨
느그들 ㅌNFP만 유지하냐
너희들은 긍정적이어서 좋겠다!
안녕 나는 INFP얌! 너희들을 위해
그럼 너네 좋아하는 이성한테 어케함?
enfp로 추정되는 여성분이 이상한 행동에도 웃어줌 관심 있는건가?
엥뿌삐 eq테스트 했엉!
mbti 다시해봣는데
오프라윈프리쇼에 나온 타인이 날 어캐생각하는가 테스트
dd
인프피 썸남있는데
eq테스트 해봤는데 원래 이런건가???
난 골든 리트리버인것 같아
니네 에고그램 뭐냐
나도 eq 테스트
오랜만에 eq테스트해봤는데 엄청바뀜
짝남 엔풒피
eq테스트... 누구든 나보단 나을거같은데...
intj인데 eq 검사 해봤어
내가 요즘 엄청 좋아하는 사람한테 mbti검사시켜봄
엥뿌삐 남자들 싫어하는 짓이 뭐야??
내 성격에 안맞는 프로그래밍 공부 하다가 한계가 와서 그만두기로함
가르치듯 혼내는 사람 싫음
아후..인팁
남친이 entp인 사람 있어?
한 것도 없는데
분위기 흐려서 미안한데 19금 하나만 물어보자 ㅠㅠ
intj 갤애서 왔음
엥뿌삐 전공 모냐
짝남이 
너를 기다리고 있어...
ENFP였는데 INFP로 바뀌더라 뭐든 정답은 없어
나 엔프피 내 친구는 엣프피인데
ENTP인데 ENFP랑 어케 연애함??
얘들아 너네 첫관계 후에 
나만 선톡 선약 존나하는건가?
엔프피는 자기자신 꾸미는걸 좋아하는거같아
❤⭐우리 헤네시스에서 좀 걷자⭐❤
3737 주인공 찐 엔프피네
우리 담임쌤 엔프피 같음
엔푸피 초딩이랑 말잘통하냐
엔프피 남자분들한테 질문 있습니다.
너네 좋아하는 사람한테 선톡 자주하냐
나는 뒷고기에 막걸리 먹었어
엔프피는 플러팅 어떤식으로해
엔프피들아 너희도 정많아??
eq테스트 해봤는데
엔프피의 끈기
나도 eq했어 
사랑해....
여자친구도 enfp인데
엔프피 인생이 참 재밌는듯 ㅋㅋㅋㅋ
엔프피들도 정많고 인간관계 힘들어하고 그래..?
상대방이 부탁 거절하면 오기 생기냐????
istj인데 여친 너무 힘들다..
일요일 끝났어
토나온다
eq테스트 해봣어?
엔프피들은 남이 본인 좋다고 하는 것보다 본인이 치대는게 더 좋아?
개기여운 고양이짤 찾음
너가 enfp인게 좋아? 
❤낵아 좋아하는 유튜버 두명 엥뿌삐더라❤
난 좋아하는거만 해
내 여자는 enfp였으면 좋겠어요
⭐❤엥뿌엥뿌 안뇽❤⭐
기분이 태도가 되는 사람들 정말 싫다
오류 땜에 삭제했던 사진이 자꾸 갤러리에 뜨는데 왜 이러지
여즘 읽고있는거
옛날에 엄청 재밋게 봤던 웹툰인데
나 전공 네번바꿈
이해가 안되는게
지치고 지겹다
너넨 승부욕 없니?
누가봐도 엔프피랑 인프제
엔프피 인생관) 어떻게든 되겠지
인프제 남친 만나는데
enfp는 나이들면 7080클럽 콜라텍 이런데 자주갈듯
초반에 어색하면 오바해서 분위기 띄우지 않냐
체력이 없어서 그런가 기운 없는 enfp임
의외로 엔프피가 안하는것
자존감 낮은 ENFP있냐
확김에 카톡지우고 번호 바꿨는데
엔프피가 사람 보는 눈이 그렇게 좋다며?
근데 ENFP 대체로 인싸아님?
enfp 다이어트를 대체.어케함
여기 ENFP 많다길래 와봤읍니다
엔프피갤러리 접한 eu
❗❗❗❗❗❗웃어요~^^❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗
엔프피 보면 느끼는점
난 귀엽다는 얘기 듣기싫어
너넨 좋아하는사람한테 먼저 고백해?
엔프피왠지 하이파이브하면 가위낼거같다
여러분이 NTP와의 대화가 껄끄러운 이유
누가 엔프피 괴롭히냐
신고는 나만 하네......
인터넷이 사람 여럿 망친다
항상 얘기하지만 엔프피는 모아니면 도임
야이 나쁜넘들아
망갤에
다들 좋아하는 사람앞에서 어때?
엔프피들에게 질문있어
Enfp들에게
enfp 쇼핑할때 특징 ㅋㅋ
안녕하세요 엔프피에 대해 알아볼까요?
그냥 쟤들은 표현하는법을 모르는거임(좀길다)
어그로 글 들어오면 뭔 유형이냐 물어보지마
도대체 왜 황당한 이유로 enfp를 욕하는 것인가.
ENFP인 사람 만나보고싶다
정보) mbti 성격유형별 범죄자 분포
이런질문이 가장싫어
병신사례 들고와서 일반화하는게 이해가 안감
갤 올때마다 저런글들 보면서 느끼는건데
엔프피도 엔프피 나름이지
나름 이갤에도 정들었나봐
E-F-  라인이 제일 미인이 많은듯
엔프피갤에 엔프피는 없고
엔프피 여자친구 너무 귀여워
enfp 친구
엔프피들은 대체로 예체능 잘하나?
얘드라ㅠㅠㅠㅠㅠ
엔프피 싫어하는 사람 생기면 특징
곧 부모님 결혼기념일이신데 선물 뭐해드려야 할까?
엔프피 좋아하는 사람도 많음.
정신병걸릴거같이 이모티콘 나열하는거 그만해주면 안되냐?
enfp들 기분 안좋냐고 물어보면 안됨?
엔프피 싫어하는 사람들 되게많음 ㅋㅋ
보드카콕 맛있네
ISxJ 애들이랑은 진짜 말이 안통해 ㅋㅋㅋ
❤❗❤❗❤❗❤❗❤❤❗❤❗❗❤❗❤❗❤❗❤❗❗❗❤❗❤❗❤❗❤❗❤❗❗❤❗❤❗❤
INTJ인데 그럴려고 그런게 아닌데 좋아하다보면 다 ENFP더라
평화로운 점심시간과
엔프피 상처 안받게 돌려 말하는 법 있을까
우리나라에 엔프피 많아?
엔프피 학창시절에 공부 어떻게 했음?
엥뿌삐들 죽고싶지만 떡볶이는 먹고싶어 책 읽어봐써?❗❗⭐
얘들아 나 enfp냐?
니네들 이상형 뭐야
enfp 한테 사랑 받는 법 알려주셈.
내이상형
enfp 공포게임
ENFP 갤 글리젠 느린거 웃김 ㅋㅋㅋㅋ
enfp인데 낯가리는사람있어?
야
날씨보니깐 이번주중에 딱 오늘만 한겨울이넹
요즘 드라마에 빠졌어
대충 INFJ 못잃는다는 글
isfj남자랑 사겨본 enfp여자있어?
트위터에서 싸불당함
인프피갤 가서 놀지말고 여기서놀아
내가 엔프피가 맞을까
여기는 왜 정전갤임
진짜 너무 보고싶다
여성 enfp분들에게 질문 있습니다
어릴때 가장 닮고싶었던 캐릭터가 호머 심슨이었음
야근 vs 회식
외로울땐 타이레놀을 한 알 드세요
너네 좋아하는 사람 앞에서 꾸미는거 신경쓰냐?
Enfp에게 실망하는 이유
너네 좋아하는 사람 흘깃보고 그러냐?
요즘 은근히 돈 많이 쓰네....
enfp가 짝남인 enfj야 놀러왔어 물어볼거 있어서
엔프피들이 ㅋㅋㅋㅋ나 초성쓸때
안녕 옆집 인프피야
엔프피는 맨날 행복한가요?
ENFP 감각으로 봤을때 신발 뭐가 더예뻐
나 인프제인데 엔핍들은 왜이렇게 활발해?
엔푸피 사람이 너무 좋다
Enfp 읽씹
S들이 재미없게 산다는 착각은 금물
너희들도 좋아하는 시람한테 급발진 해?
너네도 친구한테 질투 강하니..? 
자살마렵다
연애하고싶은 엔프피
나진짜넘걱정됨애인이읽씹함
나진짜왜케외로울까
intj 놀러옴
엥뿌삐 남자는 어때?
♡♡엥쁩삐 됴아♡♡
요즘 책읽는 데에 맛들렸는데 좋은거 같음
야식먹고싶다
나 istj인데 개념글 이거보고 너무 웃김
마음 편하게 가져야지
너네 이간질 당하면 어케 행동해?
스핏? 오징어 나온사람~~
니들 운세나 타로점 같은거 믿는 편이야?
오랜만에 검사해봄
엔프피한테 설렜었는데 알고보니
혹시 말실수를 안 하는 방법 없으까잉
엔프피들 다그런가
정말 많이 좋아했던 사람이 있어
enfp여자가 좋아하면 무슨신호를보내?
나 지금까지 사귄애들 싹다 이거 선물해줌
형누나들 학창시절에 공부할때 어떻게했어?
Enfp
흐어아으아아아아 ㅠㅠㅠㅠㅠㅠ
너네도 낯 가려?
아는 엔프피누나 개빡대가리같아
엔프피 옆에서 보면 감탄나옴
편지를 쓰려는데 도움 좀 줄 수 있을까 (난 intj다)
너무 외롭고힘든데 아무나친구하실분있나여???????????????????
엔프피 진짜 볼때마다 개때리고 싶다.
엔프피들 다나와!!!!!!
우울해지면 캐롤들어라 엔프피덜아
ENFP랑 나랑 궁합이 잘맞는거 실화야?
정말로 엔프피가 intj랑 infj랑 존나 잘맞아??
엔프피가 눈치 빠른 사람이었음?
인간관계 복잡하게 하는 사람 싫어
모든 유형은 N을 S로 바꾸면 더 좋아짐(펌글)
니네 진짜 이상한 취미 뭐있음? 해보고싶다거나
엔프피 소심할때도 있냐
엔프피의 소확행은?
엔프피들 어떤 알바하니??
나 곤룡포 후드 샀는데
사나랑 재재 enfp여가지고
짝남이 엔프피같은데
놀러옴
인프피가 생각하는 엔프피
난 아무래도 엔프피 아닌가보다
밥먹자는게 여지였어?
엔프피 좆극혐임
엔프피는 엔프피끼리 모이면 거기서도 인싸아싸 나뉨?
인프피로서 엔프피가 신기함 동물원 원숭이
님들도 외모 가꾸는데 관심많음?
난 istx랑 잘맞는듯
님덜 애정결핍 없음??
나도 엔프피지만 엔프피는 정말 모아니면도같음
Enfp 친구...
INTJ 갤에서 놀러옴
엔프피들 근데 티가 너무 안남
생각해보니까
인프제로써 이거 존나 공감됨 진짜 ㅋㅋㅋㅋㅋㅋ
영어판이 더 신뢰도 있다길래 해봤는데
intj 놀러와써
속마음 안내비치는게 엔프피 특징이야?
MBTI 빙고
big5
내가 느낀 엔프피 단점
인프제인데 엔프피 너무 좋다 ㅠ
인프제인데 궁금한거..
경험상 엔프피특
ENFP를 이기거나 묵사발로 내는법
엔프피 너네도 이러냐
엔프피 원래 한번삐치면 잘 안 돌아옴?
엔프피갤 둘러본 후기
엔프피들은 이런말 자주 들어?
의외로 난세 속에서 침착한 편인ENFP
대다수 여성이 클럽+원나잇 경험이 있다고?
섹스하고싶다
정치성향
8기능
너넨 여지준다의 기준이 뭐냐
우울증과 우울감을 착각하지 말자
enfp끼리 죽이 잘맞음?
Estp랑 enfp랑 잘맞음?
난 근데 주변애들 mbti를 모름
나 근데 존나 사회성 없는 ENFP임
좀혼내주세요ENFP님들
너네 오마르의 삶 봐?
엠비티아이 항목 별로 점수 차이가 별로 안나는데 엔프피야
난 그냥 엔프피 특징 딱 65퍼센트정도 맞는듯
나이들면서 말 많아지는 현상
엔프피 짝남 이거 무슨 모멘트인지 알 것 같니
엔프피 조아
나이들면서 강강약약이 되는거 같다
여미새임?
엔프피랑 가장 사이 안좋은유형이 ESTJ아닐까 싶음
나두 그림 잘 그리구 시포....
갑자기 궁금해서 그런데
카페 싫어하는 엔프피?
엔프피로 추측되는 가수 공연 보고왔다.
MBTI 유형별 선호도 조사
단순하게 생각할걸 복잡하게 생각하고
으 징그러 남자새끼가 
뭔 게소리야?
갑자기 뭔 헛소리냐고 
mbti 호불호 조사
밑에 엔프피 아닌거같다는글 보고 
나도 인형 좋아함
Infj 게시글 (안정을 원하면서 혁명을 꿈꾸다)
Enfp
나 엔프핀데 엔프피 아닌 것 같아
썸남 정떨어졌던 모멘트
엔프피는 좋아하는 사람한테 선톡 많이 해?
-sfj 랑 잘맞음?
애들아 나 쌀것 같아
엔프피는 감정 못숨기는 것 같음
크어어어
엔프피 열받게하는법
만만한 이미지 어떻게 없애지...
나는 어떻냐면
아는 후배(미자)가 호텔체크인해달라는데
인티제인데
엔프피가 폰할때 연락씹는이유
나 성격 바뀐듯
관심없는척 같은거 잘해?
8기능 테슷흐 해봤어 ㄷㄷ
너네는 intj 어떻게 생각해?
나 트로피카나 나옴ㅋㅋㅋ
엔프피 애들에게 꼭 해주고 싶은 말
너희 외유내강이야?
이렇게 보면 뭐가 제일 예쁘니?
인싸중에 아싸 아싸중엔 인싸 아 ㅋㅋ
엔쁘삐들이 비호감으로 느끼는건 어떤 유형임?
후후 여기가 나와 비슷한 사람들이 있는 곳인가?
엔프피들은 애인이 100일 떄 선물 챙기지 말자 하면 어떨 것 같아?
친구랑 싸웟는데 프사바꿔도되냐
ENFP를 한 문장으로 정리하면
Enfp Entj 번갈아 나오는데
infp에서 노력형 enfp된 사람들은 대문자E만나면 기빨리는듯
카톡 엔프피 특)
쓸데없지만 유용해 보이는거 좋아하는 엔프피들아
enfp들은 나 변태에요 ㅋㅋ 라고 말하는데
내가 쓰는 밀당법
나만 레드불 나왔어? ㅋㅋㅋㅋㅋ
낼 시험이라 학원에 머리 안감고 갓는데
짜증난다
좋아하는사람 vs 그냥 여사친 차이
enfp는 어떤 성향을 젤 좋아할까?
이거 뭔가 엔프피 정신상태같아
너네 밀당 이런거 없지?
엔프피 원래 쓸데없지만 쓸데있어 보이는거에 환장함?
다른 사람한테 위로 받으면 
엔프피들아 이 중에서 준다면 어느 만년필 받을래?
개뻘글) mbti별 강아지-뇌피셜
너네우울증있기도해?
"나 데자와,매새깡 나왔어"
엔프피 특
새우깡인 사람 손
반갑다 10 birds 아
