intj
게으른건 지능 높은새끼들만 용서됨
지잡대 가기싫다...
(2) INTJ가 보는 INTJ친구
이상형 테스트
인티제녀섹스자지보지응디빠구리강간질내사정비아그라딸딸이파이즈리젖보지가슴똥꾸멍
요즘 같은 시대에 결혼식 축가로 이거 부르면 매장 당하냐
이상형 테스트 해봄
인티제들은 왜 온라인에서도 찐따냐;
1-3차 루프많이한 인티제 없냐?
INFP 용어 총정리
에고그램 해봤다
테스트 할때마다 결과가 다다르네
인프피들은 인터넷 일진인데 어케 오프에선 찐따임
"어떤 사람이 싫다, 별로다라는 생각은 안 하고 삶"
카카오톡 프로필 뮤직에 의미 부여 하는 편?
게으른건 지능이 낮아서 그런거 아님?
뭔 방구석 히틀러가 나왔노
과거에한거
성취없는 인티제들은 병신임
인티제가 게으르단건 또 뭔 개소리냐
내 인생에 가장 도움이 됬던 문장
에고그램 aaaac였는데 abaac로 떨어졌다
뭐든지 적당한 게 좋다
내이상횽
이상형 박터지네
이상형 테스트
에고그램 ababa
이상형
이상형
이상형 나옴
노래가사가 인티제스러워서 찾아봤는데
인팁인데 인티제 되고싶어
디시콘충들 대가리 박살내고 싶네
에고그램
근데 에고그램 이거 나만 ㅈㄴ 거슬리는 거임?
밑에 누가 에고그램 중간선택지 고르게 되는게 많다고 해서
엥뿌삐 <----- 이거 왜 하는 거냐?
전화통화 먼저 안끊는 intj
에고그램 ABABA나왔는데
인티제 고집 세냐? 
에고그램 이거 나옴
혹시 인티제라는 mbti에 공감하고 있다면
인티제들 IQ 얼마 나와?
intp 엮겨워 ㅋㅋ
본인 intj인데 민트초코 좋아함
병원 노쇼했는데 ㅈ된거?
Intj 비만이 왜 없냐
에고그램 이거 나왔는데 좋은말이 하나도 없노
사유리인가 뭔가
너네 인생이 존나 허무하고 무의미하다고 생각 안 하냐
(1) INTJ가 본 INFP친구
외모차별이 성차별로 둔갑하는 경우가 많은거 같음
나는 이거나옴 너네는뭐나오냐
나랑 얼굴 빼고 다 똑같은 사람 있었으면 좋겠다
니네 혹시 생산직 교대근무 이런거 싫어해?
에고그램 이거나오네
니넨 애인이 똑똑한 사람이면 좋을거 같음?
나랑 친구해줄사람
에고그램
너네 출세하길 원하냐?
잠 최대한안자고싶어하는 인티제있냐
여친 intj인데....... 
비만 intj 있냐?
너네도 소개팅 같은 거 해??
에고그램 이새끼는 뼈 잘때리네
인프피가 씹스럽다는 거 이런 거임?
친목 하려고 종교 다니는 인티제 있냐?
인티제중에 부기능완전막히고 3차기능 오른넘잇냐
인스타그램 계정 2개씩 활동하는 애들은 뭐임?
에고그램 ABABA
정보) MBTI 소득 순위(한국)
나도 에고그램 해봄. 콤푸타닝겐
에고그램 나도해봄
잉뿌삐 뿌직뿌직
너네 이럴때 어떻게 하냐
집적회로 내장타입
니들은 에고그램도 사회성이 없냐
에고그램 해봤는데
에고그램 해봤는데 intj같음?
isfp의 인티제친구 관찰후기
다시 인프제 되써
에고그램 해봄
에고그램
에고그램 두번해봤는데 두번다 이런거나옴
본인 에고그램
니들 에고그램 머나오냐
이 말 어떻게 받아들여짐?
Intj 특징
intj랑 intp 뭐가다름?
조국 이쯤되면 예언가 아니냐?
여자가 남친 군대기다리는거 나만 ㅂㅅ같냐?
인간관계 만족도 올리는법
INTJ/INFJ  -  ENTJ/ENFJ  -  ENTP/ENFP
처음엔 그런가보다 했음
권위나 명성에 끌리면 사실 인티제 아닌거야?
친구랑 통화할때 할얘기 없는거 나만그럼?
인프제에서 인티제됨
니네도 상담 받는거 싫어함?
상황이 불합리한데 내가 을의 입장이면 감정 컨트롤 어떻게 하냐 다들
imtj 도덕성 높은편?
인티제 친구들 혹시 마약 좋아해?
intj인지 istj인지 헷갈리면 istj냐?
인프제 ㅈ되게 하고 싶은데 어케해야되냐
니들 sns하냥
부모님때문에 존나고민임
니네 책 읽는건 좋아하냐 재밌게 본 책 추천좀
나 intj인데 시발 여기오니까 고향에 온기분이노
시발 설사하다 뒤질뻔함
니들도 영화봄?
Wtf
Intj 짝남을 1년동안 짝사랑하는 enfp임
너희 부캐 테스트 해봤어?
내 인생에 실패란 없었어
번호 따는 심리가 뭐임
인티제들 섹/스 좋아함?
잠수이별 어케생각함
매사에 계산적인게 나쁜거냐?
아이폰은 원래 얼리어답터의 상징이었는데
인티제는 MBTI에 대해 어떤 생각을 갖고 있나요?
니들이 생각하기에 사회생활 최강 유형은 뭐같냐?
Istj인지 intj 인지 모르겠음
포레스트 꽃테스트
일본 유명 게임개발자는 enfp infp더라고요
ESFP인 사람들은 투표권을 다뺏어야한다.
나도 똑똑한 사람 좋아하는데 조건은
인스타충들 페북감성 개좆같다 개추 ㅋㅋ
오늘 좀 많이 화나더라
제주도 여행 계획 짬(feat. XNFP)
확실히 난 똑똑한 남자가 좋더라
본인 INTP인데
mbti 검사하면 자꾸 다른거 나오는데
포레스트(식물키우기) 테스트 결과
잡대간 intj들 있냐
수치심없는 핑프들 좆같지않냐
곰 발바닥이란 것도 있냐
인붕이 희망 학과 ㅁㅌㅊ
아이폰 싸움 ㄴㄴ
새로운 꽃테스트
뒷북 에고그램
꽃 테스트해봄
저거밑에 테스트 해봄
다른 꽃 테스트는 너네 뭐나오냐? 링크0
난 진짜 내가 인티제라는게 좋으면서도 무서울 때가 있는게
106.101은 지가 글쓰고
인간 불신 어떻게 해소하냐
아이폰 걍 익숙하고 편해서 쓰는건데 뭔 말이많냐
문재앙 근황.....jpg
INTJ랑 INTP랑 많이 다름?
인티제가 건축가형이라고??
아이폰은 원래 감성을 넣은 폰이고 디자인에 신경썼다고?
대개 사람들은 거슬리는 상대방 무시를 못하나봄
니들이 하도 꽃테스트 해서 나도 해봤다
통제 할 수 없다는 것은 너무 괴롭다....
각 NF 유형의 불건강 형태.txt
한동안 우울하고 무기력했는데 요새 너무 좋음
여자들이 원하는 말을 해주는게 의미가 있음?
인티제들은 호감가는 사람한테 상처받으면 어때?
메타인지 존나게 높은건 나만그러냐?
나 인티제인데
인싸 코스프레 하는게 마음대로 되냐
밑에 글 보고 드는 의문점인데
오타쿠는 거르는게 맞다
내 주변에 다 프리지아 나옴
난 히비스커스 나옴
안뇽 에리카들아 난 프리지아야
난 해바라기나왓는데
잠안와서 쓰는 본인 외부활동 특 
니네 꽃 테스트 뭐나왔어
사서 고생하는새기들 있냐?
대충 밖에서 찐따인거 숨기고 킹반인인척 연기하면
애플 왜 쓰냐고 욕하는건 포르쉐 욕하는거랑 같음
난 생각이 부정에서 출발한다고 생각함
INFP인데 10년지기 INTJ 친구있음
시골집 비우고사는데 옆집애가 와서 넷플릭스보는듯
아이폰 쓰는것에 대해 태클 걸어야 하냐
intj 는 원래 강제로 당하고 수치당하는 걸 좋아하는 mbti 임
어서 주워온 일화
조 승 연 작 가? 이사람 사짜 냄새나지 않냐
인티제들은 나중에 본인이 돈 벌어서 본인 집사고 할때
2단계인데 왜 재택을 안하는거야
아이폰을 왜쓰냐니
완장아 분탕글 보이면 썰어
성욕 ㅈ되는데 아무나 못만나겠다
히토미가 저런거구나
너넨 나태함 때문에 공부에 영향 안 받냐
성욕 갖다 버리고 싶다
날씬하고 잘생겼을때랑 살찌고 못생겼을때랑 사람들 대우가
INTJ로서 일방적으로 한마디만 할게
"한국에서는 쿨찐, 이성충보다는 차라리 감성찐따가 살기좋은거같음"
내가 기업의 인사관리자면 꼰대유형은 무조건 광탈시킴
좋아하는 명언 이나 좌우명이 다들 뭐임?
인티제는 허무주의가 제일 큰 적 같다.
인티제 특: 자존감 높으면서도 낮음
남한테 본인 계획 말함?
말 싸움 이기는 법
나 istj인지 intj인지 infj인지 isfj인지 모르겠다
INTJ 공감글 보면서 제일 공감됐던거
사유리 같은 사람이 많아져야지
만화..jpg
남한테 민폐끼쳐놓고 쓴소리는 듣기 싫어하는 새끼들이 제일 싫어
19) 인티제 동인지
부친처럼 살기 싫다.
씹개소리) 착한 사마리아인 법 ㅋㅋㅋㅋㅋㅋㅋㅋ
난 istp인데 intj 애들이랑 감성이 제일 잘맞음
명문대 게이들은 수능 공부 언제부터 제대로 했노?
인티제 여자는 가늠이 안가
나는 왜
꽃 볼래?
너네 세계 4대 뮤지컬 중 뭐가 제일 좋아?
중학교 졸업 기념 뮤지컬 연습하는데 너무 좆같다
너네 은근 로맨틱한 기질 있지 않냐
"INTJ는 완벽주의자가 절대 아니다. 오히려, 완벽주의자는 S이다."
우파 Enfp인데 대통령 공약 ㅁㅌㅊ??
모르는게 자랑인 애들이랑 핑프가 제일 싫음
정말... 대단하다..!! 놀랍다..!!  ...jpg
검사결과 맨날 이 두개사이에서 왔다갔다하네
20대 여자들은 왜 이렇게 멍청한지 모르겠어 ㅇㅅㅇ
난 문재인이랑 중국 지지함
잊었다고 생각한 사람이 다시 생각날 때
니들 관심 없겠지만 꽃 테스트 뭐 나왔냐
본인 intj인데 멍청한 intj들이 너무 싫음
"혐) 문재인, 중국 싫어하면 더 혐일 확률 높음"
지금 유행하는건데
사과 유도당할 때가 제일 짜증남
Se 기능 없이 사는건 무슨 기분이냐?
이론상으로는 ESTP랑 잘 맞을거같노
일단은 인프피라고 결과나옴
우리집 mbti
말싸움할 때 존나 더러워질 줄 알아야하더라
본인 모쏠+ㅈㄴ 쑥맥인데 
출산율 떡락하면서 떠오른 잡생각
내가 세운 계획이 내 의지가 아닌 외부 요인에 의해서 흐뜨러지면
애인이 있으면 좋겠다고 생각은 하지만
intj가 성격 안 좋다고 할 수 있음?
여자 인트제 생일기간에 감정에서 보다 자유로워지는 방법
인티제 국가 어떰?
인티제가 해야하는 결혼
태어난건 저주다...
너네 판타지 세계같은 망상 하냐
Intj 학창시절 썰
유능한데 비도덕적vs무능한데 도덕적
인티제가 혁명가 기질이 있는 듯
니네 다 길치냐?
내 친구(였던) MBTI 궁예질 좀 부탁해
난 스스로 오만하다고 생각하지 않았는데
참...... intj는 공무원하지마
Intj 애니 좋아함?
집값으로 호들갑 떠는거보면 짜증난다
나이 먹을수록 살기 힘들지 않냐?
나만 이런 페미냐?
똑똑한 여자랑 연애하고싶다
학교는 없어져도 된다
님들 친구 많음?
intj 학창시절 썰
야 나만 윗사람하고 많이 싸우냐?
귀찮음에 지배당한 INTJ의 삶이란
자숙 유튜버
내가 세상에서 제일 싫어하는 새끼
??? : 절대 돌아오지 않을 것이니 걱정 안하셔도 됩니다. 
인티제가 거짓말 안하는 이유
엄마가 인티제인데
아인슈타인 테슬라 존폰노이만 스티브잡스
어르신 INTj들아 asmr 들음?
"핸드폰 액정 깨는 사람, 물건 잃어버리는 사람 이해가 안됨"
너네는 이 사건에 대해 어떻게 생각함?
Istp << 어떰
인티제는 인팁 상위호환이다
나이먹을수록 감정에 무관심해진다
아이돌 보면 사탄 숭배하는 내용이 많은데
intj랑 연애중인데 intj 너무 신기해
한국 INTJ 최고아웃풋
8기능중 가장 열망하는 기능은
키아누리브스 INTJ인가?
좆같았던 3년간의 일이 성공했으니까 외치고 튐
요즘 연애하는데 뭔가 좆된기분임..
INFP라서 똑똑한 인티제들한테 질문이 있다.
외향적 찐따 vs. 내향적 인싸
이 표대로면 INFP는 논리기능 거의 없는거나 다름없다던데
INTJ들 가정불화 많이 겪음?
진중권 INTJ냐?
풀소유 스님 예전 영상들 보면 귀여운척하고 어리숙한척하는
내 테마곡 예시 (굳이 안 들어도 알 듯)
기억력 얘긴데
이노래 어떰
외향
유튜브에 올라오는 INTJ 플레이리스트 나만 공감 안 되냐
엔프피가 뭔데
싫어하는 친구 어떻게 대해?
esfp가 intj반대냐?
인티제녀랑 사귀고 싶다
지 mbti 인팁이라는 새끼가
솔직히 우리 모두 알잖아
잇티제들이 원래 사소한 것도 기억을 잘함?
요즘에 내 안에 E(외향적)성향이 잠재되어 있는게 아닐까 의심중임
각자 어떤 mbti의 친구랑 젤 친하냐
친구가 동물사진 보내는데
게임은 질병이다
인티제 전여친한테 연락하고 싶다
삭발 한번 해보고 싶지 않음?
'내가 옳다' 강할수록 스트레스 많이 받는다
여러 성격유형 만나보고 느낀점. 연애
나 INTJ-T인데 특징 적고감 
ㅋㅋㅋㅋㅋㅋ
방청소 어떻게 하는거냐
한국 양육 교육 성장기 문제점. TXT
시간 낭비 싫어하는 인트제 갤 답다.
intj 호불호
학생들 파파후랑쿠 보구 가^^
대인관계에 약해서 가끔 서럽지않냐
INTJ 현실주의자인척 하지만 사실은 이상주의자이다
너넨 너네 삶에 만족하고있음?
지스트 대학원 어떰
사람들한테 서운함을 느껴??
자존감낮은사람특)
여자아니고서야 남자가 고백받는 경우가 있냐???
세상에서 제일 역겨운 인간들이
너넨 페르소나를 안 써도 되는 친구 있냐?
고1때부터 27살때까지 10년간 INTJ로 살아옴
intj가 가장 원하는 삶은
정신적 사랑 vs 성욕
인간이 행복하기 위해 유리한 조건
인티제가 존나 소수자 같은데 이런 통계도 있다
연애랑 사랑은 존나 다름
감수성이 예민한 것도 일종의 지능이라고 생각함
소수자로 사는 건 힘들고 고통스러워
엔프피갤 눈팅하고 왓는데
인티제 특) 지하철 반대로 탐
인티제에게 고백했슴
인붕이 만약에 대통령 되면 할일 ㅁㅌㅊ...?
인티제 천직 프로그래머 아니냐?
오랜만
대선때 문죄인 4차 산업혁명 정책으로 안철수랑 경쟁하는 것 같았는데
제발 조언좀
"학교교육 종사자들, 해당부서 공무원들은 학폭 문제에 대해. JPG"
INTJ여자는 상상도 못하겟네
페미니즘 까거나 여자들 까면 비추 오지게 박히네
자존감 존나 높은 유형이 뭘까
고백했는데 까였다.
Intj 본인 표정관리 좀 하라는 소리 좀 들었음 ㅋㅋ
한국인 인티제 최대 아웃풋
우리엄마 intj나왔는데 존나빡침
집에 있는거 알고 심심할때마다 전화하는 인간
엔티제 망갤에서 왔는데
"장래희망, 진로 적고 가셈"
싫어하는 사람에게 강제로 키스하는.jpg
나 고딩 때 enfp 나왔는데 성인되고 intj로 바뀜
기독교믿는 페미니스트
동성애 정리
이성애는 질병이다.
MBTI 유형 별 반응. JPG
평생 펑펑쓰고도 남을 돈이 주어진다면
INTJ가 가장 원하는 삶
"선빵 필유죄, 수동태는 죄가 없다"
난 우회하는걸 비겁하고 수치스럽게 생각함
연애고1자
Intj는 카카오톡 프로필 뮤직에 의미 부여 하는 편??
시발 배려없는 배불러터진 인간 존나 싫다....
향수 뿌리는거 좆병신같지않음?
찐특 10가지
게으른데 고집쎈 친구 보면서 저렇게는 살기 싫다 생각중
귀여운 고양이 짤
"하이, 솔갤에서 왔다, 이런거 결과로 갤도 있네"
mbti 검사는 원래 누구든 추구하는 이상향같은게 포함되는 거 같음
ㄱㅎㅅ이 인티제고 말고가 그렇게 중요함?
인팁들 좀 정떨어짐
엘지폰 쓰는 intj 있냐
고민 털어놓기 가장 좋은 유형은 intj같음
삼전 사 말아?
MBTI 만화 1 (infp&intj)
내가 머리나쁜 인티제인데 ㅈ같다 ㄹㅇ
우리가족 MBTI 감동실화..
모솔아다 보면 신기하기는 해
